id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,16652.0,21257.0,6329.0,29270.0,78495.0,25419.0,16007.0,14319.999999999998,98747.0,132815.0
02,02,100.0,10144.0,11850.0,3674.0,16710.0,54769.00000000001,15258.000000000002,8990.0,8493.0,62867.99999999999,80829.0
03,03,100.0,9923.0,10334.0,2385.0,10815.0,40177.0,10072.0,4547.0,4592.0,46079.0,59104.99999999999
04,04,100.0,10317.0,13658.000000000002,4040.0,16200.0,47660.0,20952.0,15863.999999999998,18390.0,73248.0,88340.0
05,05,100.0,9212.0,12627.0,3731.0,10255.0,27522.000000000004,12231.0,8708.0,8299.0,45523.0,50464.0
06,06,100.0,7353.0,10981.0,3215.9999999999995,10562.0,25514.0,12164.0,9054.0,10140.0,45258.0,47442.0
07,07,100.0,11348.0,15044.999999999998,4523.0,14725.0,42454.0,18285.0,13141.0,13644.999999999998,65795.0,72297.0
08,08,100.0,13469.0,18443.0,5698.0,17181.0,54602.0,19924.0,13282.0,12320.0,74968.0,85300.0
09,09,100.0,5202.0,5119.0,1386.0,6559.0,16701.0,4718.0,2628.0,3438.0000000000005,22113.0,27932.0
10,10,100.0,6312.0,7633.0,2066.0,6615.000000000001,17504.0,5737.0,4495.0,4855.0,26983.999999999996,30561.0
11,11,100.0,8825.0,9510.0,2539.0,12649.0,28694.0,7669.0,5402.0,4684.0,38211.0,51960.0
12,12,100.0,9170.0,12531.0,3829.9999999999995,10659.0,27654.000000000004,12286.0,8357.0,7676.000000000001,44650.0,50300.0
