id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
010111,01,01,11,14985,9177,9118,5808,3310,5867,100.0,61.24124124124124,60.84751418084752,38.75875875875876,22.088755422088756,39.15248581915249
010112,01,01,12,12742,6787,8117,5955,2162,4625,100.0,53.2647935959818,63.70271542928897,46.73520640401821,16.967509025270758,36.297284570711035
010113,01,01,13,57883,25386,40621,32497,8124,17262,100.0,43.85743655304666,70.17777240295078,56.14256344695334,14.035208955997444,29.82222759704922
010114,01,01,14,31840,13663,22306,18177,4129,9534,100.0,42.91143216080402,70.05653266331659,57.08856783919598,12.967964824120603,29.943467336683415
010221,01,02,21,46275,23252,31229,23023,8206,15046,100.0,50.247433819556996,67.48568341437061,49.752566180443004,17.733117233927604,32.51431658562939
010222,01,02,22,40042,21079,27241,18963,8278,12801,100.0,52.6422256630538,68.03106737925178,47.35777433694621,20.67329304230558,31.968932620748213
010331,01,03,31,38809,24550,22904,14259,8645,15905,100.0,63.258522507665745,59.01723826947357,36.741477492334255,22.275760777139322,40.98276173052643
010332,01,03,32,39469,25272,25880,14197,11683,13589,100.0,64.02999822645621,65.57044769312625,35.97000177354379,29.60044591958246,34.42955230687375
010441,01,04,41,46354,22239,32207,24115,8092,14147,100.0,47.976442162488674,69.48051948051948,52.023557837511326,17.456961643008153,30.519480519480517
010442,01,04,42,57349,36344,33310,21005,12305,24039,100.0,63.37338052973897,58.0829657012328,36.62661947026103,21.45634623097177,41.9170342987672
020101,02,01,01,40530,28052,26132,12478,13654,14398,100.0,69.21292869479399,64.47569701455713,30.78707130520602,33.6886257093511,35.52430298544288
020202,02,02,02,65647,28732,48017,36915,11102,17630,100.0,43.76742273066553,73.14424116867488,56.23257726933447,16.91166389934041,26.855758831325115
