id,district_id,forecast_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
0101,01,01,100.0,19105.0,2142.0,723.0,2312.0,1081.0,1582.0,1842.0000000000002,2428.0,1232.0,848.0,393.0,1712.0,254.99999999999997,484.99999999999994,7109.999999999999,3335.0,1339.0,389.0,11321.0,3088.0,696.0,5217.0,503.0,1353.0,1893.0,2853.0,1676.0000000000002
0102,01,02,100.0,13909.0,1179.0,778.0,1440.0,519.0,775.0,752.0,3136.0,1442.0,894.9999999999999,629.0,2878.0,529.0,986.9999999999999,3381.0,1384.0,808.0,195.0,15766.0,6556.0,595.0,6445.999999999999,1776.0000000000002,1472.0,360.0,852.9999999999999,2570.0
0103,01,03,100.0,12004.0,658.0,842.0,1030.0,348.0,542.0,473.00000000000006,2843.0,2100.0,1023.0,562.0,3493.0,839.0,1138.0,2828.0,1187.0,476.99999999999994,340.0,24629.0,14180.000000000002,216.0,7456.0,2210.0,1567.0,239.0,532.0,3839.0
0104,01,04,100.0,17930.0,1205.0,1107.0,1546.0,524.0,739.0,706.0,4311.0,3397.9999999999995,1376.0,715.0,4202.0,1104.0,1261.0,2794.0,1141.0,532.0,202.0,24262.0,12727.0,401.0,7923.0,2004.0,1696.0,432.0,769.0,3725.0
0201,02,01,100.0,4277.0,324.0,327.0,500.0,193.0,254.0,268.0,833.0,566.0,158.0,164.0,875.0,295.0,260.0,1431.0,562.0,262.0,94.0,16015.0,10624.0,279.0,4250.0,1337.0,824.0,145.0,343.0,3296.0
0202,02,02,100.0,10566.0,1293.0,561.0,1544.0,561.0,816.0,1108.0,1351.0,501.99999999999994,371.0,462.0,1391.0,274.0,392.0,1063.0,451.99999999999994,193.0,72.0,8823.0,5106.0,284.0,2818.0,911.9999999999999,577.0,72.0,1571.0,1522.0
0203,02,03,100.0,6997.0,865.0,363.0,1045.0,467.0,597.0,809.0,714.0,401.0,179.0,172.0,728.0,194.0,211.0,580.0,199.0,105.0,49.0,11838.0,9536.0,175.0,1548.0,356.0,336.0,45.0,949.0,2159.0
0204,02,04,100.0,6134.0,562.0,192.0,726.0,265.0,514.0,479.0,1030.0,429.0,480.99999999999994,137.0,906.0,175.0,281.0,1975.0,844.9999999999999,375.0,168.0,3443.0,759.0,147.0,1580.0,121.0,532.0,1619.0000000000002,475.0,554.0
0205,02,05,100.0,13521.0,1714.9999999999998,438.99999999999994,2146.0,715.0,1257.0,1308.0,1628.0,426.99999999999994,556.0,204.0,1178.0,311.0,348.0,2415.0,976.0,447.0,283.0,4129.0,894.0,173.0,1980.9999999999998,81.0,761.0,1085.0,1498.0,631.0
0301,03,01,100.0,833.0,20.0,21.0,53.0,34.0,20.0,24.0,356.0,74.0,48.0,12.0,162.0,52.0,49.0,636.0,286.0,74.0,63.0,1531.0,141.0,76.0,661.0,19.0,242.0,223.0,28.000000000000004,27.0
