id,district_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,100.0,62948.0,5184.0,3450.0,6328.0,2472.0,3638.0000000000005,3772.9999999999995,12718.0,8172.0,4142.0,2299.0,12285.0,2727.0,3871.0,16113.0,7047.0,3156.0,1126.0,75978.0,36551.0,1907.9999999999998,27042.0,6493.000000000001,6088.0,2924.0,5007.0,11810.0
02,02,100.0,41495.0,4759.0,1882.0,5961.0,2201.0,3438.0000000000005,3972.0,5556.0,2325.0,1745.0,1139.0,5078.0,1249.0,1492.0,7464.0,3034.0,1382.0,666.0,44248.0,26919.0,1058.0,12177.0,2807.0,3030.0,2966.0,4836.0,8162.0
03,03,100.0,38702.0,3715.9999999999995,1313.0,4763.0,2261.0,2623.0,3292.0,7466.0,2030.9999999999998,1910.0000000000002,803.9999999999999,3345.0000000000005,668.0,921.0000000000001,11625.0,5008.0,1896.0,1243.0,17479.0,3108.0,969.9999999999999,7668.000000000001,491.0,2974.0,2480.0,4351.0,1737.0
04,04,100.0,50724.0,4271.0,2824.0,5220.0,2462.0,2502.0,3211.9999999999995,12623.0,2752.0,3071.0,2420.0,9312.0,1499.0,3221.0,19057.0,7103.0,4525.0,1019.9999999999999,36794.0,12551.0,4360.0,13491.999999999998,2000.0,3227.0000000000005,1688.0,4908.0,7378.0
05,05,100.0,28257.0,555.0,852.9999999999999,1643.0,645.0,533.0,989.0,12383.0,3436.0,2680.0,1730.9999999999998,8043.000000000001,1727.0,2708.0,12203.0,5193.0,1454.0,2750.0,36416.0,13644.999999999998,1894.0000000000002,12707.0,1905.0,4418.0,932.0,635.0,5730.0
06,06,100.0,30427.0,1698.0,2000.0,2528.0,1839.0,1196.0,1782.9999999999998,9622.0,1341.0,1664.9999999999998,1805.9999999999998,6252.0,1290.0,1810.0000000000002,8849.0,3579.0,1739.0,763.0,22605.0,7350.0,2683.0,7990.000000000001,1034.0,2538.0,685.0,4816.0,4602.0
07,07,100.0,41551.0,2665.0,2491.0,3951.0,1574.0,1563.0,2157.0,13258.000000000002,2710.0,2382.0,2949.0,10586.0,1802.0,3585.0,12066.0,4724.0,2380.0,1467.0,46281.0,22351.0,1745.0,15993.0,3604.9999999999995,4795.0,900.0,2944.0,9900.0
08,08,100.0,43179.0,2961.0,2023.9999999999998,4316.0,1587.0,1842.0000000000002,2775.0,12819.0,3924.0,3214.0,1951.0000000000002,12856.0,2122.0,4766.0,5955.0,2203.0,986.9999999999999,930.0000000000001,66543.0,36804.0,974.0,23443.0,8546.0,4223.0,952.9999999999999,2691.0,14425.0
09,09,100.0,17060.0,712.0,548.0,1195.0,638.0,623.0,801.0,5433.0,1587.0,1679.0,476.0,3007.0,656.0,1013.0000000000001,6559.999999999999,2522.0,1011.9999999999999,1033.0,12711.0,2730.0,491.0,5740.0,501.99999999999994,2356.0,1344.0,796.0,1355.0
10,10,100.0,14257.0,186.0,405.0,432.0,200.99999999999997,225.99999999999997,219.0,5316.0,1440.0,2632.0,250.0,2565.0,418.0,1007.0,19999.0,8621.0,1742.0000000000002,5579.0,17301.0,1239.0,374.0,5657.0,213.0,2746.0,4953.0,181.0,933.0
11,11,100.0,20089.0,722.0,595.0,1267.0,523.0,763.0,606.0,6251.0,2438.0,2235.0,645.0,6036.0,1258.0,2151.0,17636.0,7411.0,1882.0,3949.0,23897.0,2165.0,690.0,10677.0,332.0,5083.0,9260.0,664.0,1630.9999999999998
12,12,100.0,27864.999999999996,1410.0,1319.0,2116.0,761.0,634.0,737.0,10894.0,3411.0,2025.0,1525.0,7723.999999999999,1673.0,2500.0,7763.0,3354.0,1089.0,1199.0,36475.0,17070.0,1168.0,11700.0,2054.0,3359.0000000000005,967.0,836.9999999999999,6813.0
