id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01011101,01,01,11,01,100.0,152.0,115.99999999999999,34.0,377.0,839.0,185.0,183.0,189.0,988.0000000000001,1405.0
01011102,01,01,11,02,100.0,3.0,3.0,3.0,6.0,44.0,9.0,0.0,3.0,25.0,53.0
01011103,01,01,11,03,100.0,206.0,261.0,92.0,380.0,986.0,373.0,320.0,361.0,1411.0,1810.0000000000002
01011104,01,01,11,04,100.0,176.0,324.0,96.0,556.0,1075.0,348.0,250.99999999999997,179.0,1359.0,1810.0000000000002
01011105,01,01,11,05,100.0,66.0,76.0,21.0,120.0,421.0,195.0,83.0,65.0,499.0,789.0
01011201,01,01,12,01,100.0,98.0,144.0,39.0,259.0,504.0,177.0,118.0,155.0,693.0,1036.0
01011202,01,01,12,02,100.0,22.0,28.000000000000004,15.0,27.0,109.00000000000001,47.0,46.0,21.0,163.0,231.99999999999997
01011203,01,01,12,03,100.0,52.0,46.0,6.0,59.0,299.0,86.0,48.0,41.0,301.0,433.0
01011204,01,01,12,04,100.0,394.0,341.0,89.0,505.0,1823.9999999999998,509.0,362.0,317.0,2167.0,2924.0
01011301,01,01,13,01,100.0,257.0,193.0,55.00000000000001,350.0,1529.0,337.0,157.0,131.0,1457.0,2132.0
01011302,01,01,13,02,100.0,415.00000000000006,501.0,139.0,484.99999999999994,2388.0,671.0,308.0,188.0,2495.0,3400.0
01011303,01,01,13,03,100.0,343.0,356.0,71.0,703.0,2369.0,468.0,301.0,200.0,2271.0,3482.0
01011304,01,01,13,04,100.0,362.0,415.00000000000006,131.0,540.0,1431.0,426.99999999999994,252.99999999999997,273.0,1948.0,2427.0
01011305,01,01,13,05,100.0,338.0,266.0,84.0,409.99999999999994,1670.0,483.0,198.0,250.99999999999997,1705.0,2470.0
01011306,01,01,13,06,100.0,375.0,335.0,66.0,1261.0,1945.0,472.0,271.0,214.0,2452.0,3351.0
01011401,01,01,14,01,100.0,716.0,739.0,179.0,921.0000000000001,4141.0,911.0,289.0,189.0,4015.9999999999995,5776.0
01011402,01,01,14,02,100.0,544.0,479.0,87.0,541.0,2920.0,632.0,208.0,167.0,2797.0,3758.0
01022101,01,02,21,01,100.0,155.0,182.0,46.0,277.0,753.0,219.0,161.0,120.0,869.0,1303.0
