id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3114,100.0,1747.0,56.1,1907.0,61.2,1367.0,43.9,540.0,17.3,1207.0,38.8,3114,127.0,107.0,31.0,454.0,941.0,344.0,398.0,712.0,1501.0,1207.0,1747,100.0,101.0,19.0,354.0,677.0,163.0,186.0,147.0,818.0,1207.0,1747,555.0,47.0,66.0,41.0,20.0,84.0,24.0,98.0,23.0,25.0,20.0,70.0,9.0,28,295.0,112.0,56.0,19.0,442.0,80.0,56.0,237.0,13.0,55.0,21.0,40.0,70.0
01011102,192,100.0,71.0,37.0,140.0,72.9,121.0,63.0,19.0,9.9,52.0,27.1,192,7.0,3.0,0.0,31.0,39.0,42.0,37.0,33.0,77.0,52.0,71,4.0,3.0,0.0,18.0,27.0,19.0,0.0,0.0,25.0,52.0,71,40.0,0.0,3.0,0.0,6.0,7.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0
01011103,5518,100.0,3248.0,58.9,3370.0,61.1,2270.0,41.1,1100.0,19.9,2148.0,38.9,5518,273.0,394.0,137.0,722.0,1590.0,733.0,769.0,900.0,2467.0,2148.0,3248,234.0,334.0,125.0,512.0,1045.0,387.0,324.0,287.0,1441.0,2148.0,3248,989.0,135.0,31.0,97.0,22.0,54.0,45.0,225.0,82.0,129.0,31.0,157.0,18.0,69,439.0,167.0,75.0,35.0,1257.0,315.0,73.0,598.0,49.0,219.0,40.0,39.0,116.0
01011104,4704,100.0,3030.0,64.4,2904.0,61.7,1674.0,35.6,1230.0,26.1,1800.0,38.3,4704,285.0,388.0,175.0,893.0,1605.0,643.0,387.0,328.0,2135.0,1800.0,3030,206.0,322.0,153.0,646.0,1024.0,304.0,227.0,148.0,1413.0,1800.0,3030,761.0,96.0,40.0,85.0,22.0,43.0,28.0,143.0,85.0,34.0,21.0,112.0,51.0,13,237.0,98.0,62.0,7.0,1301.0,424.0,82.0,607.0,218.0,73.0,28.0,41.0,199.0
01011105,1135,100.0,657.0,57.9,677.0,59.6,478.0,42.1,199.0,17.5,458.0,40.4,1135,74.0,67.0,21.0,92.0,316.0,222.0,174.0,169.0,529.0,458.0,657,65.0,58.0,15.0,60.0,213.0,121.0,77.0,48.0,329.0,458.0,657,153.0,10.0,7.0,28.0,18.0,13.0,6.0,23.0,3.0,12.0,0.0,8.0,0.0,5,149.0,89.0,31.0,9.0,231.0,27.0,18.0,141.0,10.0,9.0,3.0,32.0,9.0
01011201,2190,100.0,1171.0,53.5,1418.0,64.7,1019.0,46.5,399.0,18.2,772.0,35.3,2190,82.0,145.0,52.0,267.0,578.0,333.0,336.0,397.0,1039.0,772.0,1171,66.0,114.0,39.0,183.0,378.0,153.0,136.0,102.0,551.0,772.0,1171,318.0,15.0,19.0,46.0,9.0,18.0,18.0,26.0,85.0,24.0,6.0,15.0,0.0,6,315.0,139.0,73.0,11.0,245.0,43.0,12.0,152.0,24.0,4.0,41.0,21.0,43.0
01011202,608,100.0,288.0,47.4,387.0,63.7,320.0,52.6,67.0,11.0,221.0,36.3,608,39.0,36.0,12.0,37.0,206.0,116.0,85.0,77.0,270.0,221.0,288,27.0,26.0,6.0,21.0,132.0,43.0,24.0,9.0,135.0,221.0,288,131.0,23.0,3.0,10.0,14.0,6.0,13.0,10.0,0.0,18.0,0.0,13.0,0.0,7,37.0,21.0,9.0,0.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,23.0,6.0
01011203,1004,100.0,512.0,51.0,629.0,62.6,492.0,49.0,137.0,13.6,375.0,37.4,1004,45.0,42.0,19.0,96.0,319.0,204.0,116.0,163.0,492.0,375.0,512,39.0,33.0,10.0,58.0,214.0,82.0,37.0,39.0,250.0,375.0,512,180.0,6.0,14.0,17.0,13.0,11.0,18.0,22.0,9.0,9.0,0.0,9.0,0.0,6,205.0,137.0,12.0,0.0,50.0,13.0,6.0,21.0,3.0,0.0,3.0,32.0,6.0
01011204,7463,100.0,3303.0,44.3,5287.0,70.8,4160.0,55.7,1127.0,15.1,2176.0,29.2,7463,367.0,378.0,111.0,712.0,2375.0,1074.0,888.0,1558.0,3691.0,2176.0,3303,266.0,308.0,80.0,428.0,1341.0,393.0,285.0,202.0,1643.0,2176.0,3303,1155.0,92.0,43.0,95.0,54.0,77.0,72.0,168.0,237.0,51.0,28.0,129.0,16.0,43,702.0,369.0,107.0,27.0,644.0,127.0,23.0,355.0,22.0,119.0,112.0,74.0,96.0
01011301,6431,100.0,2538.0,39.5,4616.0,71.8,3893.0,60.5,723.0,11.2,1815.0,28.2,6431,440.0,331.0,61.0,652.0,2840.0,962.0,573.0,572.0,3083.0,1815.0,2538,224.0,156.0,27.0,334.0,1295.0,279.0,142.0,81.0,1228.0,1815.0,2538,1173.0,126.0,41.0,104.0,99.0,105.0,98.0,168.0,50.0,62.0,18.0,62.0,13.0,15,338.0,176.0,49.0,24.0,368.0,78.0,47.0,151.0,0.0,28.0,18.0,139.0,46.0
