district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,1,11,1,2069,144.0,115.0,27.0,399.0,814.0,184.0,172.0,214.0,972.0,1427.0
1,1,11,2,78,0.0,9.0,0.0,6.0,38.0,10.0,6.0,9.0,31.0,63.0
1,1,11,3,2922,211.0,240.0,99.0,377.0,980.0,347.0,334.0,334.0,1381.0,1774.0
1,1,11,4,3010,183.0,334.0,118.0,548.0,1073.0,347.0,224.0,183.0,1365.0,1811.0
1,1,11,5,1002,93.0,60.0,16.0,108.0,414.0,150.0,90.0,71.0,485.0,749.0
1,1,12,1,1438,105.0,119.0,51.0,211.0,502.0,175.0,128.0,147.0,675.0,1004.0
1,1,12,2,326,31.0,28.0,3.0,33.0,137.0,47.0,23.0,24.0,163.0,237.0
1,1,12,3,604,54.0,43.0,15.0,53.0,249.0,95.0,52.0,43.0,288.0,412.0
1,1,12,4,4232,362.0,347.0,78.0,447.0,1836.0,501.0,329.0,332.0,2109.0,2838.0
1,1,13,1,2952,229.0,204.0,42.0,325.0,1529.0,323.0,155.0,145.0,1458.0,2083.0
1,1,13,2,5108,394.0,473.0,134.0,523.0,2432.0,700.0,294.0,158.0,2484.0,3462.0
1,1,13,3,4846,329.0,348.0,74.0,757.0,2377.0,473.0,261.0,227.0,2267.0,3537.0
1,1,13,4,3675,371.0,397.0,111.0,491.0,1365.0,412.0,266.0,262.0,1882.0,2290.0
1,1,13,5,3484,298.0,269.0,86.0,389.0,1554.0,460.0,212.0,216.0,1619.0,2325.0
1,1,13,6,4754,364.0,329.0,75.0,1115.0,1935.0,457.0,271.0,208.0,2397.0,3219.0
1,1,14,1,7991,732.0,738.0,160.0,879.0,4092.0,889.0,298.0,203.0,3976.0,5779.0
1,1,14,2,5550,534.0,498.0,66.0,562.0,2949.0,582.0,199.0,160.0,2767.0,3779.0
1,2,21,1,1992,147.0,190.0,49.0,266.0,817.0,244.0,167.0,112.0,865.0,1391.0
1,2,21,2,4198,297.0,350.0,112.0,682.0,1522.0,555.0,343.0,337.0,1953.0,2917.0
1,2,21,3,203,19.0,33.0,9.0,28.0,64.0,18.0,15.0,17.0,99.0,151.0
1,2,21,4,9539,648.0,876.0,245.0,1381.0,3538.0,1159.0,862.0,830.0,4410.0,6202.0
1,2,21,5,3154,236.0,321.0,107.0,470.0,1097.0,451.0,243.0,229.0,1462.0,1996.0
1,2,21,6,4058,281.0,359.0,101.0,512.0,1531.0,476.0,408.0,390.0,2026.0,2338.0
1,2,22,1,5549,399.0,542.0,138.0,840.0,2159.0,645.0,455.0,371.0,2646.0,3447.0
1,2,22,2,1744,164.0,170.0,44.0,242.0,741.0,186.0,97.0,100.0,816.0,1009.0
1,2,22,3,4230,364.0,559.0,147.0,518.0,1321.0,559.0,306.0,456.0,2085.0,2386.0
1,2,22,4,2639,185.0,212.0,53.0,349.0,1096.0,332.0,221.0,191.0,1180.0,1628.0
1,2,22,5,2117,229.0,302.0,95.0,236.0,613.0,256.0,203.0,183.0,1042.0,1109.0
1,2,22,6,1223,88.0,128.0,40.0,141.0,454.0,145.0,126.0,101.0,598.0,646.0
1,2,22,7,2734,122.0,148.0,46.0,796.0,959.0,285.0,166.0,212.0,1302.0,1986.0
1,3,31,1,17167,1597.0,2230.0,648.0,2378.0,5724.0,2137.0,1350.0,1103.0,8052.0,11340.0
1,3,31,2,7417,604.0,888.0,262.0,1157.0,2441.0,991.0,548.0,526.0,3506.0,4665.0
1,3,32,1,9576,956.0,1479.0,424.0,1011.0,2980.0,1159.0,778.0,789.0,4735.0,4491.0
1,3,32,2,6024,565.0,779.0,221.0,811.0,1904.0,728.0,503.0,513.0,2988.0,3007.0
1,3,32,3,9479,784.0,1162.0,398.0,1396.0,3256.0,1169.0,697.0,617.0,4410.0,5930.0
1,4,41,1,10355,844.0,991.0,286.0,1360.0,3813.0,1346.0,938.0,777.0,4831.0,6596.0
1,4,41,2,6854,683.0,683.0,194.0,760.0,2499.0,816.0,648.0,571.0,3292.0,4037.0
1,4,41,3,4718,322.0,415.0,155.0,800.0,1773.0,622.0,361.0,270.0,2198.0,3286.0
1,4,42,1,16597,1277.0,1972.0,605.0,2334.0,5615.0,2280.0,1358.0,1156.0,7716.0,10653.0
1,4,42,2,10048,670.0,857.0,297.0,1886.0,4024.0,1110.0,700.0,504.0,4484.0,7018.0
1,4,42,3,9739,679.0,988.0,311.0,1266.0,3389.0,1327.0,871.0,908.0,4511.0,6448.0
2,1,1,1,4924,356.0,507.0,161.0,816.0,1781.0,614.0,392.0,297.0,2270.0,3031.0
2,1,1,2,9327,757.0,1277.0,419.0,1071.0,2900.0,1290.0,812.0,801.0,4667.0,4553.0
2,1,1,3,10715,916.0,1402.0,452.0,1175.0,3286.0,1632.0,904.0,948.0,5186.0,5360.0
2,1,1,4,3279,229.0,444.0,156.0,369.0,1000.0,467.0,322.0,292.0,1589.0,1625.0
2,2,2,1,699,94.0,101.0,18.0,63.0,280.0,45.0,36.0,62.0,329.0,388.0
2,2,2,2,2723,222.0,248.0,90.0,391.0,1003.0,360.0,198.0,211.0,1303.0,1766.0
2,2,2,3,4422,357.0,399.0,102.0,505.0,1787.0,587.0,391.0,294.0,2147.0,2732.0
2,2,2,4,5450,384.0,438.0,140.0,642.0,2286.0,659.0,483.0,418.0,2586.0,3449.0
2,2,2,5,6207,430.0,524.0,170.0,802.0,2333.0,874.0,533.0,541.0,3021.0,3711.0
2,2,2,6,8876,685.0,864.0,296.0,973.0,3589.0,1193.0,664.0,612.0,4360.0,5276.0
2,3,3,1,5698,321.0,538.0,208.0,632.0,1887.0,869.0,526.0,717.0,2767.0,3422.0
2,3,3,2,7134,470.0,674.0,223.0,796.0,2644.0,977.0,669.0,681.0,3422.0,4249.0
2,3,4,1,7568,462.0,616.0,242.0,860.0,3242.0,1024.0,533.0,589.0,3598.0,4870.0
2,3,4,2,5685,338.0,448.0,140.0,680.0,2361.0,757.0,417.0,544.0,2678.0,3720.0
2,4,5,1,1554,149.0,215.0,56.0,183.0,487.0,181.0,127.0,156.0,819.0,859.0
2,4,5,2,2347,214.0,241.0,43.0,316.0,1066.0,217.0,122.0,128.0,1185.0,1501.0
2,4,5,3,3139,352.0,226.0,59.0,385.0,1565.0,287.0,152.0,113.0,1538.0,2034.0
2,4,7,1,5786,518.0,502.0,152.0,1100.0,2367.0,510.0,340.0,297.0,2804.0,3767.0
2,4,7,2,3261,244.0,190.0,42.0,650.0,1650.0,253.0,123.0,109.0,1557.0,2253.0
2,4,7,3,789,79.0,97.0,31.0,127.0,377.0,43.0,28.0,7.0,353.0,691.0
2,5,6,1,2966,240.0,194.0,35.0,406.0,1693.0,213.0,122.0,63.0,1394.0,2096.0
2,5,6,2,6967,618.0,482.0,114.0,897.0,3858.0,576.0,243.0,179.0,3441.0,4864.0
2,5,8,1,7491,634.0,541.0,153.0,1112.0,4040.0,633.0,255.0,123.0,3561.0,5393.0
2,5,8,2,7147,526.0,357.0,63.0,1081.0,4296.0,494.0,219.0,111.0,3426.0,5238.0
2,5,8,3,2715,250.0,110.0,38.0,470.0,1513.0,189.0,90.0,55.0,1234.0,1918.0
2,5,8,4,1148,170.0,139.0,28.0,106.0,480.0,109.0,49.0,67.0,548.0,617.0
3,1,1,1,685,70.0,57.0,10.0,91.0,288.0,61.0,47.0,61.0,257.0,466.0
3,1,1,2,2605,341.0,307.0,84.0,475.0,908.0,200.0,116.0,174.0,1159.0,1990.0
3,1,1,4,49,0.0,10.0,4.0,7.0,12.0,9.0,7.0,0.0,19.0,28.0
3,2,2,3,500,45.0,82.0,21.0,90.0,180.0,33.0,24.0,25.0,189.0,419.0
