id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3420,100.0,2069.0,60.5,1993.0,58.3,1351.0,39.5,642.0,18.8,1427.0,41.7,3420,162.0,124.0,30.0,510.0,1105.0,335.0,393.0,761.0,1634.0,1427.0,2069,144.0,115.0,27.0,399.0,814.0,184.0,172.0,214.0,972.0,1427.0,2069,601.0,45.0,52.0,66.0,27.0,83.0,19.0,106.0,28.0,22.0,30.0,113.0,18.0,31,343.0,135.0,69.0,25.0,447.0,88.0,38.0,232.0,7.0,37.0,16.0,46.0,65.0
01011102,186,100.0,78.0,41.9,123.0,66.1,108.0,58.1,15.0,8.1,63.0,33.9,186,0.0,9.0,3.0,20.0,62.0,27.0,31.0,34.0,73.0,63.0,78,0.0,9.0,0.0,6.0,38.0,10.0,6.0,9.0,31.0,63.0,78,50.0,0.0,0.0,4.0,3.0,6.0,6.0,15.0,0.0,7.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,3.0,0.0,0.0,6.0,4.0
01011103,5083,100.0,2922.0,57.5,3309.0,65.1,2161.0,42.5,1148.0,22.6,1774.0,34.9,5083,255.0,306.0,111.0,600.0,1492.0,650.0,748.0,921.0,2356.0,1774.0,2922,211.0,240.0,99.0,377.0,980.0,347.0,334.0,334.0,1381.0,1774.0,2922,978.0,156.0,35.0,95.0,18.0,55.0,50.0,193.0,71.0,116.0,35.0,140.0,12.0,75,437.0,177.0,93.0,31.0,904.0,340.0,75.0,339.0,41.0,84.0,26.0,73.0,106.0
01011104,4641,100.0,3010.0,64.9,2830.0,61.0,1631.0,35.1,1199.0,25.8,1811.0,39.0,4641,266.0,398.0,143.0,787.0,1619.0,609.0,453.0,366.0,2073.0,1811.0,3010,183.0,334.0,118.0,548.0,1073.0,347.0,224.0,183.0,1365.0,1811.0,3010,653.0,91.0,43.0,77.0,34.0,50.0,44.0,98.0,54.0,21.0,19.0,130.0,57.0,25,264.0,111.0,65.0,6.0,1309.0,388.0,75.0,687.0,212.0,123.0,19.0,42.0,198.0
01011105,1531,100.0,1002.0,65.4,782.0,51.1,529.0,34.6,253.0,16.5,749.0,48.9,1531,106.0,72.0,19.0,134.0,545.0,235.0,191.0,229.0,710.0,749.0,1002,93.0,60.0,16.0,108.0,414.0,150.0,90.0,71.0,485.0,749.0,1002,273.0,19.0,13.0,37.0,19.0,19.0,12.0,51.0,15.0,9.0,0.0,12.0,3.0,6,221.0,131.0,47.0,21.0,308.0,33.0,12.0,226.0,3.0,15.0,3.0,36.0,15.0
01011201,2403,100.0,1438.0,59.8,1399.0,58.2,965.0,40.2,434.0,18.1,1004.0,41.8,2403,123.0,141.0,66.0,282.0,696.0,310.0,354.0,431.0,1145.0,1004.0,1438,105.0,119.0,51.0,211.0,502.0,175.0,128.0,147.0,675.0,1004.0,1438,392.0,30.0,3.0,34.0,7.0,28.0,22.0,34.0,96.0,33.0,9.0,50.0,6.0,20,356.0,156.0,98.0,12.0,310.0,57.0,24.0,189.0,26.0,12.0,44.0,39.0,33.0
01011202,648,100.0,326.0,50.3,411.0,63.4,322.0,49.7,89.0,13.7,237.0,36.6,648,43.0,36.0,6.0,67.0,212.0,104.0,85.0,95.0,300.0,237.0,326,31.0,28.0,3.0,33.0,137.0,47.0,23.0,24.0,163.0,237.0,326,135.0,21.0,0.0,13.0,19.0,3.0,12.0,6.0,0.0,20.0,0.0,9.0,0.0,6,40.0,15.0,9.0,0.0,29.0,3.0,3.0,10.0,0.0,0.0,0.0,46.0,0.0
01011203,1133,100.0,604.0,53.3,721.0,63.6,529.0,46.7,192.0,16.9,412.0,36.4,1133,72.0,55.0,18.0,91.0,368.0,199.0,149.0,181.0,518.0,412.0,604,54.0,43.0,15.0,53.0,249.0,95.0,52.0,43.0,288.0,412.0,604,207.0,10.0,27.0,24.0,9.0,9.0,18.0,24.0,19.0,18.0,0.0,0.0,0.0,0,227.0,150.0,12.0,3.0,65.0,19.0,6.0,28.0,0.0,3.0,12.0,24.0,6.0
01011204,8376,100.0,4232.0,50.5,5538.0,66.1,4144.0,49.5,1394.0,16.6,2838.0,33.9,8376,491.0,415.0,102.0,709.0,2954.0,1084.0,950.0,1671.0,4086.0,2838.0,4232,362.0,347.0,78.0,447.0,1836.0,501.0,329.0,332.0,2109.0,2838.0,4232,1347.0,112.0,57.0,113.0,66.0,107.0,67.0,181.0,239.0,47.0,31.0,132.0,12.0,53,886.0,468.0,159.0,49.0,882.0,179.0,27.0,501.0,37.0,168.0,171.0,130.0,124.0
01011301,6899,100.0,2952.0,42.8,4816.0,69.8,3947.0,57.2,869.0,12.6,2083.0,30.2,6899,444.0,410.0,85.0,656.0,2994.0,1022.0,626.0,662.0,3328.0,2083.0,2952,229.0,204.0,42.0,325.0,1529.0,323.0,155.0,145.0,1458.0,2083.0,2952,1322.0,126.0,43.0,130.0,119.0,113.0,107.0,176.0,52.0,71.0,19.0,59.0,8.0,16,401.0,196.0,75.0,16.0,415.0,91.0,39.0,171.0,3.0,47.0,25.0,169.0,63.0
