id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,397279,22396,29426,9207,49556,144907,47430,43775,50582,192412,147298,100.0,5.63734806017937,7.406885337508401,2.317514895073739,12.473853387669623,36.47487030525147,11.938713095834414,11.018704738986958,12.732110179496022,48.43246182154103,37.07671434936153
02,02,293625,16578,21454,6374,29771,117014,39550,31880,31004,143370,88729,100.0,5.645977011494253,7.306598552575565,2.1707960834397615,10.139123031077055,39.85151128139634,13.469561515538528,10.857386121753938,10.559046402724563,48.82758620689655,30.21847594721158
03,03,423407,24667,38115,11373,37271,132899,62528,54197,62357,215792,79059,100.0,5.825836606385818,9.001976821356283,2.6860680149359837,8.802641430113342,31.388002560184407,14.767823866870412,12.800213506153653,14.727437194000098,50.965619368598055,18.672105090374036
04,04,341428,16552,23157,7517,34241,91872,41251,48220,78618,176989,89947,100.0,4.847874222383636,6.782396288529354,2.2016354839087597,10.028761554412643,26.908162189392787,12.081903065946555,14.123036189181907,23.026231006244362,51.8378691847183,26.34435371439952
05,05,255516,15652,23811,7489,25477,63902,30000,36004,53181,130267,64419,100.0,6.1256437953004905,9.318790212745972,2.930931918157767,9.970804176646473,25.00900139325913,11.740947729300709,14.090702734858091,20.813178039731365,50.98193459509385,25.211337059127416
06,06,310515,14938,25671,8411,29393,67712,38714,46663,79013,163947,54332,100.0,4.810717678695071,8.26723346698227,2.708725826449608,9.46588731623271,21.80635396035618,12.467674669500669,15.027615413104037,25.44579166867945,52.79841553548138,17.497383379224836
07,07,355068,19735,27619,8570,34624,95869,43127,51058,74466,181201,79911,100.0,5.55809028129823,7.778510031881217,2.4136221794135206,9.75137156826298,27.000180247163925,12.146124122703258,14.379780774386877,20.972320794889992,51.032759922043105,22.505829869208153
08,08,330284,19006,26819,8339,31961,105694,39488,41665,57312,165531,92371,100.0,5.754441632049994,8.119981591599956,2.524796841506098,9.67682358212932,32.000944641581185,11.955771396737354,12.614901115403713,17.352339198992382,50.117777427910525,27.967143428080078
09,09,291402,17428,23767,6589,26590,82993,33927,40235,59873,147732,45420,100.0,5.980741381322022,8.156086780461354,2.261137535088984,9.124851579604808,28.48058695547731,11.642679185455144,13.80738635973672,20.54653022285365,50.69697531245496,15.586715259332468
10,10,289512,18063,27394,7916,25476,74208,31203,43229,62023,145686,51106,100.0,6.239119621984581,9.462129376329823,2.734256265716102,8.799635248279863,25.632098151371963,10.777791594130813,14.931678134239688,21.423291607947167,50.321230208074276,17.65246345574622
11,11,310088,20170,26851,7396,30220,96603,33388,37213,58247,155764,72766,100.0,6.504605144346121,8.659154820567066,2.385129382626867,9.745620598023788,31.153414514589407,10.767266066406956,12.00078687340368,18.784022600036117,50.23219215190527,23.466241841025774
12,12,268261,15188,23402,7412,26460,62930,31677,39358,61834,136171,58431,100.0,5.66165040762541,8.72359381348761,2.7629808283723687,9.863528429402708,23.4584975080239,11.808276268261134,14.671532574619494,23.04994017020737,50.76063982464838,21.78139945799054
