id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0110,01,10,124130,6911,8545,2471,12745,47126,16485,13673,16174,60762,44171,100.0,5.5675501490373,6.883912027712881,1.990654958511238,10.267461532264562,37.96503665511963,13.280431805365343,11.015064851365503,13.02988802062354,48.95029404656409,35.58446789656006
0120,01,20,90266,4786,6012,1895,11857,33632,9985,10279,11820,43137,31916,100.0,5.302107105665478,6.660315068796667,2.099350807613055,13.135621385682317,37.25876852857111,11.061750825338445,11.38745485564886,13.094631422684067,47.7887576717701,35.35772051492256
0130,01,30,79328,4976,7598,2460,11088,26487,9418,8199,9102,38518,31112,100.0,6.27269060104881,9.577954820492133,3.101048810004034,13.977410246066963,33.38921944332392,11.872226704316256,10.335568777732956,11.473880597014926,48.5553650665591,39.21944332392094
0140,01,40,103555,5723,7271,2381,13866,37662,11542,11624,13486,49995,40099,100.0,5.526531794698469,7.021389599729612,2.2992612621312345,13.389985997778957,36.369079233257686,11.14576794939887,11.224952923567187,13.02303123943798,48.278692482255806,38.72241803872338
0210,02,10,41446,2381,3760,1403,5327,13122,5423,4920,5110,20493,15653,100.0,5.744824591034116,9.072045553250012,3.3851276359600444,12.852868793128408,31.66047386961347,13.084495488105006,11.870868117550549,12.329295951358395,49.445061043285236,37.76721517154852
0220,02,20,64847,3557,4701,1470,6178,23080,8990,8946,7925,32213,17806,100.0,5.485219054081145,7.249371597760883,2.2668743349730907,9.527040572424323,35.591469150461855,13.863401545175567,13.795549524264809,12.221074220858329,49.67538976359739,27.45847918947677
0230,02,30,46467,2179,3225,1065,4632,16883,7214,6090,5179,22293,15575,100.0,4.689349430778832,6.9404093227451735,2.291949125185616,9.96836464587772,36.33331181268427,15.524996233886416,13.106075279230422,11.145544149611553,47.97598295564594,33.51841091527321
0240,02,40,52415,3041,3558,964,5424,20361,6005,5126,7936,26000,14785,100.0,5.801774301249642,6.788133167986264,1.8391681770485546,10.348182772107222,38.84575026232949,11.456644090432128,9.779643231899266,15.140703996947439,49.6041209577411,28.207574167700084
0250,02,50,88450,5420,6210,1472,8210,43568,11918,6798,4854,42371,24910,100.0,6.127755794234031,7.020915771622385,1.6642170717919729,9.28208027133974,49.25720746184285,13.474279253815716,7.685698134539287,5.487846240814019,47.903900508762014,28.16280384397965
0310,03,10,17758,1229,1714,429,1673,4774,1935,2109,3895,8897,3659,100.0,6.920824417164095,9.65198783646807,2.4158125915080526,9.421105980403198,26.883658069602433,10.896497353305552,11.876337425385742,21.933776326162857,50.10136276607726,20.604797837594326
