id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
081002,08,10,02,100.0,1354.0,2344.0,885.0,2559.0,8844.0,2977.0,2121.0,1786.0,10963.0,14437.0
081003,08,10,03,100.0,1191.0,1716.0,595.0,1818.0,8924.0,2719.0,1741.0,1467.0,9892.0,12949.0
081004,08,10,04,100.0,1588.0,2230.0,803.9999999999999,2228.0,9168.0,2625.0,1664.9999999999998,1420.0,10381.0,14230.000000000002
081005,08,10,05,100.0,951.0,1823.0,548.0,1124.0,3095.0,1451.0,1090.0,768.0,5226.0,5276.0
082006,08,20,06,100.0,1166.0,1552.0,480.99999999999994,1511.0,4125.0,1551.0,1045.0,806.0,5706.0,7556.0
082007,08,20,07,100.0,688.0,966.0,288.0,751.0,2412.0,1175.0,877.0,756.0,3846.0,3757.0
082008,08,20,08,100.0,1037.0,1589.0,465.00000000000006,1102.0,3317.0,1511.0,1124.0,969.9999999999999,5450.0,5328.0
083009,08,30,09,100.0,1055.0,1295.0,425.0,960.0,3039.0,1371.0,1130.0,1255.0,5281.0,4470.0
083010,08,30,10,100.0,1107.0,1377.0,412.0,955.0000000000001,2971.0,1330.0,1201.0,1034.0,5212.0,4370.0
084011,08,40,11,100.0,355.0,500.0,161.0,355.0,997.0000000000001,537.0,393.0,341.0,1803.0,1659.0
084012,08,40,12,100.0,1424.0,2090.0,661.0,1400.0,3786.0,2030.9999999999998,1589.0,1344.0,7125.0,6136.0
091001,09,10,01,100.0,438.99999999999994,487.0,137.0,405.0,2242.0,597.0,295.0,174.0,2335.0,2955.0
091002,09,10,02,100.0,245.00000000000003,252.99999999999997,55.00000000000001,329.0,1274.0,273.0,157.0,112.99999999999999,1281.0,1811.0
091003,09,10,03,100.0,483.0,493.0,146.0,540.0,2103.0,471.0,290.0,274.0,2370.0,2967.0
091004,09,10,04,100.0,551.0,499.0,154.0,515.0,1738.0,448.00000000000006,265.0,254.99999999999997,2154.0,2654.0
092005,09,20,05,100.0,825.0,888.0000000000001,217.0,1523.0,3576.0,714.0,374.0,234.0,3851.0,6255.0
092006,09,20,06,100.0,515.0,441.0,119.0,835.0,2295.0,366.0,179.0,133.0,2238.0,3822.9999999999995
092007,09,20,07,100.0,668.0,686.0,157.0,1317.0,2902.0,574.0,301.0,192.0,3170.0,5150.0
