id,district_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,100.0,59216.0,5194.0,3375.0,6820.0,2641.0,3790.0,11590.0,8338.0,4178.0,2217.0,4151.0,12063.0,2759.0,3599.0,24095.0,8870.0,8357.0,1221.0,80168.0,36023.0,2637.0,29068.0,6664.0,7056.0,3365.0,5285.0,12164.0
02,02,100.0,40251.0,5051.0,2030.0,6680.0,2203.0,3789.0,5440.0,2661.0,1780.9999999999998,1230.0,4104.0,5132.0,1301.0,1274.0,12478.0,4228.0,4608.0,733.0,45022.0,25376.0,1368.0,12882.0,2773.0,3682.0,3636.0,4869.0,8462.0
03,03,100.0,39008.0,4253.0,1513.0,5532.0,2447.0,2964.0,7167.0,2393.0,2376.0,852.0,3554.0,4327.0,849.0,1278.0,19824.0,6777.0,6281.0,1251.0,24056.0,4569.0,1642.0000000000002,9805.0,691.0,3847.0,3143.0,4582.0,2499.0
04,04,100.0,40943.0,3372.0,2415.0,4791.0,2116.0,2184.0,10668.0,2487.0,3007.0,2231.0,2611.0,9141.0,1585.0,2923.0,26830.0,8486.0,11083.0,1066.0,38331.0,12708.0,4698.0,13419.999999999998,2000.0,3629.9999999999995,1823.0,4609.0,8070.999999999999
05,05,100.0,28585.000000000004,584.0,851.0,1648.0,669.0,603.0,12297.0,4095.0000000000005,2933.0,1777.0,1042.0,9173.0,1991.0,3084.0,16889.0,5337.0,5633.0,2551.0,42647.0,14857.0,2332.0,15176.0,2137.0,5713.0,1196.0,628.0,6854.000000000001
06,06,100.0,28505.0,1794.0000000000002,1964.0,2607.0,1707.0,1218.0,9366.0,1444.0,1678.0,1835.0000000000002,1932.9999999999998,6613.0,1314.0,1932.9999999999998,13981.0,4160.0,5629.0,752.0,25167.0,7766.0,2901.0,8710.0,1224.0,2874.0,892.0,4498.0,5070.0
07,07,100.0,39442.0,2758.0,2461.0,4212.0,1632.9999999999998,1737.0,12544.0,2816.0,2516.0,2977.0,2252.0,10583.0,1897.0,3165.0,17109.0,5418.0,6425.0,1349.0,49012.0,22414.0,2097.0,16695.0,3808.0,5347.0,1177.0,3204.9999999999995,11249.0
08,08,100.0,41131.0,2980.0,2095.0,4635.0,1533.0,1975.0,12153.0,4208.0,3429.0,1834.0,2945.0,12792.0,1977.0,4624.0,9384.0,2417.0,3686.9999999999995,858.0,69847.0,36693.0,1232.0,25151.0,8905.0,5201.0,1103.0,2842.0,14961.000000000002
09,09,100.0,19602.0,1032.0,660.0,1757.0,776.0,928.9999999999999,5656.0,1879.0,2418.0,558.0,1026.0,4173.0,866.0,1455.0,12318.0,3794.0,4387.0,1203.0,19602.0,4224.0,902.9999999999999,8555.0,782.0,3475.0,1777.0,1045.0,2056.0
10,10,100.0,17377.0,244.0,462.0,586.0,294.0,327.0,5273.0,1842.0000000000002,4771.0,325.0,265.0,3915.0,690.0,1558.0,26444.0,9257.0,5622.0,5482.0,25419.0,2018.0,658.0,9415.0,284.0,4637.0,6631.999999999999,204.99999999999997,1210.0
11,11,100.0,22257.0,996.0000000000001,826.0,1846.0,584.0,1038.0,5837.0,2894.0,3055.0,648.0,816.0,7075.0,1355.0,2568.0,23117.0,8047.0,5601.0,3690.0,31408.0,3127.0,1106.0,14278.0,530.0,6731.999999999999,11955.0,876.0,2065.0
12,12,100.0,27567.0,1465.0,1322.0,2212.0,748.0,721.0,10492.0,3847.0,2164.0,1480.0,774.0,8147.0,1828.0,2537.0,10990.0,3743.0,3709.0000000000005,1131.0,40799.0,18242.0,1446.0,13166.0,2268.0,3957.0,1150.0,835.0,7383.0
