id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3090,1698,1929,1392,537,1161,3090,124,104,35,465,877,398,360,727,1482,1161,1698,109,95,23,359,621,200,150,141,784,1161,1698,532,41,63,49,25,71,22,88,28,24,16,61,18,15,298,136,45,22,390,77,37,217,15,40,12,27,108
01011102,202,75,139,127,12,63,202,9,9,3,15,54,49,36,27,84,63,75,6,3,0,12,36,12,3,3,27,63,75,42,0,6,6,6,6,3,6,0,0,0,0,0,0,9,3,3,0,9,0,0,3,0,3,3,3,3
01011103,5489,3180,3386,2309,1077,2103,5489,287,404,119,723,1590,744,755,867,2457,2103,3180,243,357,98,506,1046,368,320,242,1423,2103,3180,975,150,28,89,18,42,50,203,84,125,33,192,28,81,405,154,93,26,1122,282,60,537,53,231,33,43,176
01011104,4560,2908,2871,1652,1219,1689,4560,285,384,121,845,1583,662,366,314,2069,1689,2908,228,326,104,597,996,324,196,137,1365,1689,2908,752,115,46,70,28,49,31,150,74,33,12,86,40,16,262,100,63,10,1274,456,68,574,211,43,22,52,172
01011105,1110,622,657,488,169,453,1110,79,61,24,86,324,222,166,148,511,453,622,66,45,18,62,218,109,67,37,301,453,622,164,9,6,21,12,18,7,33,8,7,0,6,0,3,163,91,23,6,195,18,3,124,6,12,0,21,6
01011201,2026,1000,1378,1026,352,648,2026,75,130,40,245,509,335,336,356,973,648,1000,63,108,30,143,336,123,129,68,464,648,1000,293,28,9,35,6,18,15,16,94,18,3,9,3,3,269,113,74,6,214,35,9,149,21,15,28,22,51
01011202,549,245,366,304,62,183,549,36,43,10,43,182,100,65,70,257,183,245,21,37,10,30,102,18,18,9,125,183,245,101,21,7,9,11,4,12,6,0,6,0,15,0,9,26,14,3,0,18,12,0,0,0,0,0,37,0
01011203,962,481,607,481,126,355,962,54,39,18,96,289,189,127,150,482,355,481,33,30,9,69,187,78,51,24,241,355,481,178,18,13,21,9,12,21,18,9,10,0,3,0,3,206,142,9,0,29,17,0,9,0,0,9,22,3
01011204,6765,2776,4939,3989,950,1826,6765,278,327,98,649,1981,1025,850,1557,3382,1826,2776,200,256,64,364,1072,360,252,208,1395,1826,2776,1009,58,46,82,60,62,55,154,225,36,24,91,13,33,558,268,94,24,591,87,12,352,24,138,94,59,80
01011301,6173,2314,4511,3859,652,1662,6173,436,316,55,624,2705,950,542,545,2992,1662,2314,208,139,19,315,1179,251,110,93,1137,1662,2314,1022,110,39,90,92,84,68,141,39,60,24,74,16,27,313,163,48,25,302,61,40,124,0,27,31,124,43
01011302,12281,4439,9234,7842,1392,3047,12281,687,1004,228,1161,5015,2238,1034,914,5997,3047,4439,329,451,87,575,2176,527,185,109,2189,3047,4439,2169,333,48,283,183,164,273,208,83,57,38,151,15,42,412,163,71,21,538,187,30,192,24,45,48,372,69
01011303,8886,3518,6352,5368,984,2534,8886,415,346,109,1105,3290,1238,867,1516,4196,2534,3518,254,235,71,618,1667,368,210,95,1628,2534,3518,1284,170,56,146,89,130,108,172,74,49,15,99,19,25,406,174,81,26,616,95,46,323,40,90,231,157,112
01011304,8479,2771,6768,5708,1060,1711,8479,385,452,151,818,1988,987,932,2766,4516,1711,2771,268,307,99,448,982,365,175,127,1391,1711,2771,648,59,36,84,19,83,32,105,58,21,7,189,23,30,299,107,67,27,585,210,16,225,0,37,531,43,112
01011305,7281,2304,5805,4977,828,1476,7281,350,331,100,637,2152,1024,749,1938,3602,1476,2304,207,211,63,290,987,326,127,93,1066,1476,2304,664,71,15,70,28,60,52,88,80,22,19,62,3,18,402,213,54,24,480,150,9,203,24,34,85,87,90
01011306,8861,3145,6838,5716,1122,2023,8861,514,403,129,959,2976,1356,1009,1515,4340,2023,3145,287,264,90,539,1315,358,183,109,1536,2023,3145,1056,76,39,113,43,88,74,183,74,43,46,207,51,51,312,86,67,33,851,508,24,220,16,75,121,148,188
01011401,15751,5833,11567,9918,1649,4184,15751,1138,1177,247,1544,7125,2547,1051,922,7774,4184,5833,551,528,108,794,2997,548,196,111,2916,4184,5833,2866,388,115,353,203,224,283,277,89,111,33,218,46,58,543,250,100,19,785,160,48,337,14,130,58,339,104
01011402,13014,4479,9897,8535,1362,3117,13014,1039,927,163,1084,6380,1965,705,751,6480,3117,4479,451,350,49,506,2488,409,136,90,2267,3117,4479,2396,338,90,367,169,249,290,213,49,48,22,79,9,30,375,126,79,9,361,95,30,122,12,15,34,330,68
01022101,3451,1750,2247,1701,546,1204,3451,196,155,77,713,1226,484,304,296,1530,1204,1750,149,134,52,352,617,221,129,96,798,1204,1750,738,55,46,44,18,25,18,295,72,93,19,119,37,39,84,33,12,3,570,145,15,344,143,18,15,22,100
01022102,6336,3655,3816,2681,1135,2520,6336,351,404,132,1130,2283,884,599,553,2878,2520,3655,294,333,110,542,1378,466,304,228,1664,2520,3655,1275,78,70,108,31,39,46,404,192,54,76,316,54,114,164,55,28,12,1387,580,28,587,140,73,53,25,218
01022103,251,165,133,86,47,118,251,25,39,6,19,78,38,27,19,109,118,165,19,26,6,16,56,18,18,6,76,118,165,35,3,3,3,0,3,0,13,4,3,0,3,0,0,6,3,0,0,89,30,6,15,6,0,10,0,16
01022104,18040,8443,12701,9597,3104,5339,18040,942,1084,327,2898,6206,2576,1994,2013,8587,5339,8443,632,798,220,1262,3055,1140,738,598,3942,5339,8443,2780,231,128,295,87,131,134,860,192,167,157,674,95,260,501,175,111,36,3013,1454,90,1059,364,210,111,136,513
01022105,5272,2967,3443,2305,1138,1829,5272,305,389,141,912,1777,672,519,557,2511,1829,2967,253,342,114,493,972,380,225,188,1394,1829,2967,932,63,49,83,15,33,24,222,196,86,41,250,33,152,202,63,43,6,1219,564,27,473,215,47,18,33,200
