district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,1,11,1,1698,532.0,41.0,63.0,49.0,25.0,71.0,22.0,88.0,28.0,24.0,16.0,61.0,18.0,15,298.0,136.0,45.0,22.0,390.0,77.0,37.0,217.0,15.0,40.0,12.0,27.0,108.0
1,1,11,2,75,42.0,0.0,6.0,6.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0,9.0,3.0,3.0,0.0,9.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0
1,1,11,3,3180,975.0,150.0,28.0,89.0,18.0,42.0,50.0,203.0,84.0,125.0,33.0,192.0,28.0,81,405.0,154.0,93.0,26.0,1122.0,282.0,60.0,537.0,53.0,231.0,33.0,43.0,176.0
1,1,11,4,2908,752.0,115.0,46.0,70.0,28.0,49.0,31.0,150.0,74.0,33.0,12.0,86.0,40.0,16,262.0,100.0,63.0,10.0,1274.0,456.0,68.0,574.0,211.0,43.0,22.0,52.0,172.0
1,1,11,5,622,164.0,9.0,6.0,21.0,12.0,18.0,7.0,33.0,8.0,7.0,0.0,6.0,0.0,3,163.0,91.0,23.0,6.0,195.0,18.0,3.0,124.0,6.0,12.0,0.0,21.0,6.0
1,1,12,1,1000,293.0,28.0,9.0,35.0,6.0,18.0,15.0,16.0,94.0,18.0,3.0,9.0,3.0,3,269.0,113.0,74.0,6.0,214.0,35.0,9.0,149.0,21.0,15.0,28.0,22.0,51.0
1,1,12,2,245,101.0,21.0,7.0,9.0,11.0,4.0,12.0,6.0,0.0,6.0,0.0,15.0,0.0,9,26.0,14.0,3.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
1,1,12,3,481,178.0,18.0,13.0,21.0,9.0,12.0,21.0,18.0,9.0,10.0,0.0,3.0,0.0,3,206.0,142.0,9.0,0.0,29.0,17.0,0.0,9.0,0.0,0.0,9.0,22.0,3.0
1,1,12,4,2776,1009.0,58.0,46.0,82.0,60.0,62.0,55.0,154.0,225.0,36.0,24.0,91.0,13.0,33,558.0,268.0,94.0,24.0,591.0,87.0,12.0,352.0,24.0,138.0,94.0,59.0,80.0
1,1,13,1,2314,1022.0,110.0,39.0,90.0,92.0,84.0,68.0,141.0,39.0,60.0,24.0,74.0,16.0,27,313.0,163.0,48.0,25.0,302.0,61.0,40.0,124.0,0.0,27.0,31.0,124.0,43.0
