district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,10,1,1,2223,133.0,160.0,28.0,328.0,919.0,252.0,174.0,229.0,1093.0,1509.0
1,10,1,2,1392,93.0,116.0,25.0,150.0,617.0,176.0,118.0,97.0,675.0,1065.0
1,10,1,3,3352,219.0,277.0,90.0,421.0,1189.0,400.0,366.0,390.0,1592.0,2094.0
1,10,1,4,3215,193.0,326.0,116.0,557.0,1176.0,389.0,263.0,195.0,1503.0,1974.0
1,10,2,5,2010,120.0,168.0,35.0,268.0,917.0,201.0,142.0,159.0,944.0,1552.0
1,10,2,6,1049,102.0,100.0,27.0,75.0,452.0,154.0,85.0,54.0,543.0,723.0
1,10,2,7,4908,387.0,449.0,138.0,501.0,2155.0,502.0,397.0,379.0,2481.0,3317.0
1,10,3,8,3510,263.0,243.0,73.0,385.0,1794.0,385.0,189.0,178.0,1769.0,2520.0
1,10,3,9,5335,417.0,508.0,167.0,516.0,2466.0,719.0,349.0,193.0,2684.0,3521.0
1,10,3,10,5368,399.0,423.0,119.0,689.0,2624.0,560.0,336.0,218.0,2526.0,3894.0
1,10,3,11,4671,408.0,509.0,126.0,742.0,1813.0,454.0,326.0,293.0,2348.0,3051.0
1,10,3,12,4940,440.0,387.0,91.0,480.0,2424.0,530.0,311.0,277.0,2354.0,3310.0
1,10,3,13,5312,400.0,408.0,120.0,1004.0,2292.0,564.0,290.0,234.0,2668.0,3633.0
1,10,4,14,3203,356.0,378.0,60.0,272.0,1690.0,268.0,95.0,84.0,1627.0,2428.0
1,10,4,15,5531,395.0,539.0,139.0,619.0,2661.0,731.0,268.0,179.0,2810.0,3724.0
1,10,4,16,5656,508.0,574.0,129.0,497.0,2820.0,714.0,263.0,151.0,2895.0,3774.0
1,20,5,17,2237,170.0,252.0,80.0,270.0,897.0,216.0,206.0,146.0,1024.0,1576.0
1,20,5,18,4437,296.0,385.0,118.0,682.0,1685.0,568.0,356.0,347.0,2058.0,3065.0
1,20,5,19,5095,317.0,457.0,166.0,692.0,1955.0,621.0,435.0,452.0,2354.0,3490.0
1,20,5,20,4698,282.0,426.0,104.0,641.0,1740.0,594.0,494.0,417.0,2181.0,2905.0
1,20,5,21,3176,225.0,304.0,120.0,495.0,1070.0,405.0,290.0,267.0,1420.0,2019.0
1,20,5,22,4370,328.0,370.0,138.0,521.0,1616.0,524.0,399.0,474.0,2223.0,2566.0
1,20,6,23,5710,388.0,518.0,168.0,746.0,2258.0,727.0,501.0,404.0,2744.0,3533.0
1,20,6,24,4526,398.0,334.0,88.0,514.0,2522.0,360.0,159.0,151.0,2155.0,3206.0
1,20,6,25,4189,321.0,484.0,183.0,479.0,1298.0,551.0,406.0,467.0,2048.0,2375.0
1,20,6,26,2612,163.0,213.0,62.0,248.0,1082.0,377.0,212.0,255.0,1235.0,1612.0
1,20,6,27,2236,216.0,320.0,110.0,245.0,655.0,263.0,206.0,221.0,1090.0,1183.0
1,20,6,28,1455,111.0,152.0,44.0,124.0,595.0,168.0,135.0,126.0,714.0,792.0
1,20,6,29,2866,143.0,172.0,47.0,624.0,1157.0,262.0,202.0,259.0,1385.0,1972.0
1,30,7,30,5833,502.0,792.0,231.0,738.0,1867.0,743.0,512.0,448.0,2769.0,3839.0
1,30,7,31,5216,425.0,649.0,209.0,671.0,1802.0,604.0,494.0,362.0,2449.0,3402.0
1,30,7,32,6214,579.0,792.0,275.0,806.0,2116.0,755.0,481.0,410.0,2953.0,3952.0
1,30,7,33,7306,536.0,895.0,295.0,903.0,2429.0,1036.0,631.0,581.0,3517.0,4519.0
1,30,8,34,9700,896.0,1445.0,484.0,931.0,2935.0,1252.0,891.0,866.0,4846.0,4474.0
1,30,8,35,6601,515.0,820.0,237.0,1079.0,1983.0,759.0,617.0,591.0,3284.0,3512.0
1,30,8,36,9843,750.0,1177.0,417.0,1374.0,3349.0,1272.0,821.0,683.0,4661.0,6137.0
