id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,373944,191210,251263,182734,68529,122681,100.0,51.13332477590228,67.19268125708662,48.866675224097726,18.326006032988897,32.807318742913374
02,02,281860,116113,209736,165747,43989,72124,100.0,41.195274249627474,74.41140991981835,58.80472575037252,15.606684169445826,25.58859008018165
03,03,398732,75212,350079,323520,26559,48653,100.0,18.86279506034128,87.79806988152443,81.13720493965872,6.660864941865714,12.201930118475568
04,04,338405,135366,255997,203039,52958,82408,100.0,40.00118201563216,75.64811394630694,59.99881798436785,15.649295961939098,24.35188605369306
05,05,240998,82812,196511,158186,38325,44487,100.0,34.362110888887045,81.54051070963244,65.63788911111295,15.90262159851949,18.459489290367557
06,06,305430,78646,263457,226784,36673,41973,100.0,25.74927151884229,86.25773499656222,74.25072848115771,12.00700651540451,13.742265003437776
07,07,347927,123372,280497,224555,55942,67430,100.0,35.45916241050565,80.61949776821,64.54083758949434,16.07866017871565,19.380502231790004
08,08,328659,145638,247277,183021,64256,81382,100.0,44.31279837156445,75.23816478477693,55.68720162843556,19.550963156341375,24.761835215223073
09,09,262543,33945,241210,228598,12612,21333,100.0,12.929310627211542,91.8744738957047,87.07068937278845,4.803784522916247,8.125526104295297
10,10,264461,44997,240629,219464,21165,23832,100.0,17.014607068717126,90.9884633272959,82.98539293128287,8.003070396013023,9.011536672704104
11,11,283334,63351,242997,219983,23014,40337,100.0,22.359123860885035,85.76344526248172,77.64087613911497,8.122569123366768,14.236554737518265
12,12,262683,81529,219113,181154,37959,43570,100.0,31.03702942329728,83.41346794425219,68.96297057670272,14.450497367549481,16.586532055747803
