id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01011101,01,01,11,01,3187,130,118,22,472,988,364,378,715,1537,1276,100.0,4.0790712268591145,3.702541575149043,0.6903043614684656,14.810166300596173,31.00094132412928,11.421399435205522,11.860684028867272,22.434891747725132,48.22717288986508,40.037652965171006
01011102,01,01,11,02,188,6,0,3,21,47,42,39,30,78,64,100.0,3.1914893617021276,0.0,1.5957446808510638,11.170212765957446,25.0,22.340425531914892,20.74468085106383,15.957446808510639,41.48936170212766,34.04255319148936
01011103,01,01,11,03,5192,256,347,124,627,1499,698,748,893,2390,1834,100.0,4.930662557781202,6.683359013867489,2.3882896764252695,12.076271186440678,28.8713405238829,13.443759630200308,14.40677966101695,17.199537750385208,46.03235747303544,35.32357473035439
01011104,01,01,11,04,4685,300,390,140,881,1592,639,400,343,2145,1793,100.0,6.403415154749199,8.32443970117396,2.9882604055496262,18.80469583778015,33.98078975453575,13.639274279615796,8.537886872998932,7.3212379935965854,45.78441835645678,38.27107790821771
01011105,01,01,11,05,1180,77,56,24,90,357,214,182,180,563,492,100.0,6.525423728813559,4.745762711864407,2.0338983050847457,7.627118644067797,30.254237288135595,18.135593220338983,15.423728813559324,15.254237288135593,47.71186440677966,41.69491525423729
01011201,01,01,12,01,2236,97,119,49,285,610,344,344,388,1055,801,100.0,4.338103756708408,5.322003577817531,2.191413237924866,12.745974955277282,27.280858676207515,15.384615384615385,15.384615384615385,17.352415026833633,47.1824686940966,35.82289803220036
01011202,01,01,12,02,620,18,52,6,63,206,119,68,88,265,235,100.0,2.903225806451613,8.38709677419355,0.967741935483871,10.161290322580644,33.225806451612904,19.193548387096772,10.967741935483872,14.193548387096774,42.74193548387097,37.903225806451616
01011203,01,01,12,03,1039,55,45,25,99,325,189,135,166,509,393,100.0,5.2935514918190565,4.331087584215592,2.4061597690086622,9.528392685274301,31.28007699711261,18.190567853705485,12.993262752646775,15.976900866217516,48.98941289701636,37.82483156881617
01011204,01,01,12,04,7707,378,372,112,728,2536,1084,932,1565,3795,2326,100.0,4.904632152588556,4.826780848579213,1.4532243415077202,9.44595821980018,32.90515116128196,14.06513559102115,12.092902556117815,20.306215129103414,49.24094978590892,30.180355520954976
01011301,01,01,13,01,6611,439,367,63,649,2910,1016,596,571,3207,1940,100.0,6.640447738617455,5.551353804265617,0.9529571925578582,9.816971713810316,44.017546513386776,15.368325518075935,9.015277567690214,8.637119951595826,48.510058992588114,29.345031008924522
01011302,01,01,13,02,12604,726,993,279,1125,4972,2382,1126,1001,6122,3296,100.0,5.760076166296414,7.8784512853062525,2.213582989527134,8.92573786099651,39.44779435099968,18.898762297683273,8.933671850206283,7.941923198984449,48.57188194224056,26.15042843541733
01011303,01,01,13,03,9580,421,413,109,1214,3745,1249,892,1537,4513,3123,100.0,4.3945720250521925,4.311064718162839,1.1377870563674322,12.672233820459288,39.091858037578284,13.03757828810021,9.31106471816284,16.04384133611691,47.10855949895616,32.59916492693111
