id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
0101,01,01,100.0,3850.0,3997.0,1038.0,7045.0,21215.0,5483.0,2846.0,2020.0,23099.0,32452.999999999996
0102,01,02,100.0,3092.0,4043.0,1169.0,6625.0,14563.0,5175.0,3354.0,2933.0,19212.0,25781.0
0103,01,03,100.0,4456.0,6387.0,1857.9999999999998,6791.0,15300.0,5993.0,3345.0000000000005,3011.0,22364.0,27945.999999999996
0104,01,04,100.0,4368.0,5856.0,1755.0,8615.0,19808.0,7301.000000000001,4351.0,3567.0,25691.000000000004,36501.0
0201,02,01,100.0,2266.0,3703.0,1125.0,3559.0000000000005,8715.0,3906.0,2072.0,2002.0,13282.0,14052.000000000002
0202,02,02,100.0,1963.0,2485.0,768.0,3315.9999999999995,10644.0,3465.9999999999995,2050.0,1787.0,12800.0,16338.0
0203,02,03,100.0,1535.0,2397.0,793.0,3157.0,9790.0,3481.0,1811.0,2300.0,12139.0,16021.0
0204,02,04,100.0,1272.0,1322.0,357.0,2364.0,5952.0,1265.0,743.0,332.0,6604.000000000001,9009.0
0205,02,05,100.0,1885.0000000000002,1534.0,365.0,3701.0,12826.0,1913.0,790.0,401.0,11083.0,16704.0
0301,03,01,100.0,270.0,277.0,57.99999999999999,277.0,787.0,192.0,132.0,110.00000000000001,965.0,1484.0
0302,03,02,100.0,710.0,788.0,231.0,731.0,1839.0,684.0,426.99999999999994,249.00000000000003,2906.0,2877.0
0303,03,03,100.0,499.0,530.0,166.0,554.0,1251.0,408.0,233.0,159.0,1710.0000000000002,2227.0
0304,03,04,100.0,1433.0,1537.0,372.0,1424.0,4803.0,1350.0,709.0,480.0,6124.0,6900.0
0305,03,05,100.0,933.0,925.0,269.0,1273.0,3272.0,828.9999999999999,397.0,197.0,3774.0,5602.0
0306,03,06,100.0,2476.0,2386.0,479.0,3561.9999999999995,12713.0,2617.0,934.0,543.0,12630.0,17608.0
0307,03,07,100.0,1842.0000000000002,1837.0,370.0,1985.0000000000002,8585.0,2030.0,683.0,405.0,8855.0,11955.0
0401,04,01,100.0,853.9999999999999,1052.0,279.0,1123.0,3009.0,1295.0,927.9999999999999,753.0,4504.0,5135.0
0402,04,02,100.0,1006.0,1385.0,434.0,2261.0,4465.0,1776.0000000000002,1161.0,1186.0,6417.0,8794.0
0403,04,03,100.0,4400.0,5503.0,1602.0,7200.0,21451.0,9470.0,7043.000000000001,7151.000000000001,31713.0,39686.0
0404,04,04,100.0,1165.0,1828.0,483.0,1490.0,4642.0,2588.0,1852.0,1901.0000000000002,8268.0,8843.0
0405,04,05,100.0,2387.0,3080.0,860.0,3729.9999999999995,10595.0,4681.0,3665.9999999999995,3611.9999999999995,16215.0,19934.0
0406,04,06,100.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,3.0,0.0,16.0
0501,05,01,100.0,3645.0000000000005,4850.0,1398.0,4521.0,11246.0,4924.0,3450.0,2881.0,17947.0,20070.0
0502,05,02,100.0,2934.0,4090.9999999999995,1158.0,3818.0,8603.0,3904.9999999999995,2710.0,2152.0,14094.999999999998,16004.0
