id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,15766.0,20283.0,5820.0,29076.0,70886.0,23952.0,13896.0,11531.0,90366.0,122681.0
02,02,100.0,8921.0,11441.0,3408.0,16097.0,47927.0,14031.0,7466.0,6822.0,55908.00000000001,72124.0
03,03,100.0,8163.0,8280.0,1945.0,9806.0,33250.0,8109.999999999999,3515.0,2143.0,36964.0,48653.0
04,04,100.0,9812.0,12847.999999999998,3658.0,15816.999999999998,44162.0,19810.0,14653.0,14606.0,67117.0,82408.0
05,05,100.0,8158.0,11231.0,3171.0,10283.0,24680.0,11046.0,7838.0,6405.0,40058.0,44487.0
06,06,100.0,6726.000000000001,9840.0,2826.0,9480.0,22715.0,11260.0,8196.0,7603.0,39904.0,41973.0
07,07,100.0,10423.0,14228.0,4011.0,14829.0,39609.0,17437.0,12072.0,10763.0,60547.0,67430.0
08,08,100.0,13032.0,17741.0,5227.0,18236.0,50944.0,18917.0,11707.0,9834.0,70399.0,81382.0
09,09,100.0,3769.0,4104.0,1142.0,5271.0,12323.0,3865.0,2181.0,1290.0,15972.999999999998,21333.0
10,10,100.0,5248.0,6223.0,1539.0,6295.0,14252.000000000002,4916.0,3993.0,2531.0,21731.0,23832.0
11,11,100.0,7106.0,7655.0,2011.0,10989.0,22116.0,6581.999999999999,4572.0,2320.0,30050.0,40337.0
12,12,100.0,8367.0,11463.0,3395.0000000000005,9856.0,24448.0,11009.0,7336.0,5655.0,39806.0,43570.0
