district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,10,1,1,3406,100.0,2103.0,61.7,1988.0,58.4,1303.0,38.3,685.0,20.1,1418.0,41.6
1,10,1,2,1816,100.0,1214.0,66.9,913.0,50.3,602.0,33.1,311.0,17.1,903.0,49.7
1,10,1,3,5333,100.0,3182.0,59.7,3393.0,63.6,2151.0,40.3,1242.0,23.3,1940.0,36.4
1,10,1,4,4694,100.0,3075.0,65.5,2859.0,60.9,1619.0,34.5,1240.0,26.4,1835.0,39.1
1,10,2,5,2784,100.0,1811.0,65.1,1440.0,51.7,973.0,34.9,467.0,16.8,1344.0,48.3
1,10,2,6,1806,100.0,971.0,53.8,1143.0,63.3,835.0,46.2,308.0,17.1,663.0,36.7
1,10,2,7,8481,100.0,4506.0,53.1,5529.0,65.2,3975.0,46.9,1554.0,18.3,2952.0,34.8
1,10,3,8,7113,100.0,3246.0,45.6,4807.0,67.6,3867.0,54.4,940.0,13.2,2306.0,32.4
1,10,3,9,12307,100.0,5125.0,41.6,8977.0,72.9,7182.0,58.4,1795.0,14.6,3330.0,27.1
1,10,3,10,10045,100.0,5070.0,50.5,6411.0,63.8,4975.0,49.5,1436.0,14.3,3634.0,36.2
1,10,3,11,9205,100.0,4434.0,48.2,6296.0,68.4,4771.0,51.8,1525.0,16.6,2909.0,31.6
1,10,3,12,9877,100.0,4652.0,47.1,6784.0,68.7,5225.0,52.9,1559.0,15.8,3093.0,31.3
1,10,3,13,11047,100.0,5305.0,48.0,7408.0,67.1,5742.0,52.0,1666.0,15.1,3639.0,32.9
1,10,4,14,5393,100.0,2998.0,55.6,3152.0,58.4,2395.0,44.4,757.0,14.0,2241.0,41.6
1,10,4,15,12833,100.0,5308.0,41.4,9289.0,72.4,7525.0,58.6,1764.0,13.7,3544.0,27.6
1,10,4,16,13290,100.0,5438.0,40.9,9717.0,73.1,7852.0,59.1,1865.0,14.0,3573.0,26.9
1,20,5,17,3733,100.0,2190.0,58.7,2205.0,59.1,1543.0,41.3,662.0,17.7,1528.0,40.9
1,20,5,18,6897,100.0,4397.0,63.8,3860.0,56.0,2500.0,36.2,1360.0,19.7,3037.0,44.0
1,20,5,19,9080,100.0,4968.0,54.7,5711.0,62.9,4112.0,45.3,1599.0,17.6,3369.0,37.1
1,20,5,20,9421,100.0,4553.0,48.3,6655.0,70.6,4868.0,51.7,1787.0,19.0,2766.0,29.4
1,20,5,21,5192,100.0,3090.0,59.5,3241.0,62.4,2102.0,40.5,1139.0,21.9,1951.0,37.6
1,20,5,22,11351,100.0,4105.0,36.2,9044.0,79.7,7246.0,63.8,1798.0,15.8,2307.0,20.3
1,20,6,23,10766,100.0,5544.0,51.5,7381.0,68.6,5222.0,48.5,2159.0,20.1,3385.0,31.4
1,20,6,24,6111,100.0,4267.0,69.8,3126.0,51.2,1844.0,30.2,1282.0,21.0,2985.0,48.8
1,20,6,25,6877,100.0,4137.0,60.2,4546.0,66.1,2740.0,39.8,1806.0,26.3,2331.0,33.9
1,20,6,26,5840,100.0,2522.0,43.2,4322.0,74.0,3318.0,56.8,1004.0,17.2,1518.0,26.0
1,20,6,27,3219,100.0,2081.0,64.6,2170.0,67.4,1138.0,35.4,1032.0,32.1,1049.0,32.6
1,20,6,28,3252,100.0,1424.0,43.8,2482.0,76.3,1828.0,56.2,654.0,20.1,770.0,23.7
1,20,6,29,5926,100.0,2904.0,49.0,3897.0,65.8,3022.0,51.0,875.0,14.8,2029.0,34.2
1,30,7,30,7917,100.0,5702.0,72.0,4195.0,53.0,2215.0,28.0,1980.0,25.0,3722.0,47.0
1,30,7,31,8558,100.0,5039.0,58.9,5323.0,62.2,3519.0,41.1,1804.0,21.1,3235.0,37.8
1,30,7,32,9758,100.0,6125.0,62.8,5870.0,60.2,3633.0,37.2,2237.0,22.9,3888.0,39.8
1,30,7,33,11486,100.0,7142.0,62.2,7104.0,61.8,4344.0,37.8,2760.0,24.0,4382.0,38.2
1,30,8,34,14323,100.0,9633.0,67.3,9901.0,69.1,4690.0,32.7,5211.0,36.4,4422.0,30.9
1,30,8,35,10590,100.0,6403.0,60.5,7260.0,68.6,4187.0,39.5,3073.0,29.0,3330.0,31.4
1,30,8,36,14727,100.0,9585.0,65.1,8839.0,60.0,5142.0,34.9,3697.0,25.1,5888.0,40.0
1,40,9,37,10614,100.0,5234.0,49.3,7455.0,70.2,5380.0,50.7,2075.0,19.5,3159.0,29.8
1,40,9,38,9666,100.0,5133.0,53.1,6375.0,66.0,4533.0,46.9,1842.0,19.1,3291.0,34.0
1,40,9,39,5952,100.0,3153.0,53.0,3756.0,63.1,2799.0,47.0,957.0,16.1,2196.0,36.9
1,40,9,40,6773,100.0,2541.0,37.5,5625.0,83.1,4232.0,62.5,1393.0,20.6,1148.0,16.9
