district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,1,11,1,2054,628.0,60.0,68.0,78.0,21.0,87.0,28.0,109.0,22.0,16.0,29.0,86.0,16.0,22,327.0,118.0,73.0,27.0,466.0,107.0,51.0,241.0,9.0,43.0,15.0,47.0,78.0
1,1,11,2,76,42.0,0.0,0.0,6.0,3.0,3.0,6.0,12.0,0.0,3.0,6.0,6.0,0.0,0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0
1,1,11,3,2885,962.0,148.0,33.0,93.0,21.0,41.0,50.0,209.0,84.0,104.0,31.0,156.0,19.0,75,441.0,174.0,98.0,40.0,890.0,310.0,56.0,364.0,58.0,96.0,33.0,54.0,122.0
1,1,11,4,3110,736.0,109.0,47.0,78.0,36.0,54.0,45.0,122.0,46.0,25.0,21.0,121.0,51.0,25,283.0,117.0,62.0,6.0,1345.0,410.0,63.0,676.0,193.0,119.0,24.0,45.0,205.0
1,1,11,5,899,247.0,21.0,12.0,22.0,19.0,19.0,16.0,65.0,3.0,12.0,3.0,9.0,0.0,0,195.0,118.0,31.0,13.0,288.0,40.0,6.0,198.0,3.0,13.0,0.0,37.0,34.0
1,1,12,1,1438,402.0,33.0,12.0,36.0,16.0,34.0,18.0,34.0,99.0,39.0,10.0,47.0,7.0,21,356.0,163.0,89.0,16.0,317.0,50.0,25.0,186.0,27.0,9.0,38.0,39.0,41.0
1,1,12,2,303,134.0,18.0,3.0,15.0,18.0,7.0,9.0,6.0,0.0,19.0,0.0,7.0,4.0,3,36.0,18.0,9.0,0.0,24.0,3.0,3.0,9.0,0.0,0.0,0.0,27.0,3.0
1,1,12,3,593,197.0,6.0,16.0,19.0,12.0,9.0,17.0,19.0,24.0,12.0,0.0,6.0,0.0,6,217.0,141.0,21.0,0.0,65.0,21.0,6.0,16.0,3.0,0.0,15.0,29.0,11.0
1,1,12,4,4152,1331.0,117.0,58.0,94.0,65.0,83.0,92.0,196.0,221.0,61.0,24.0,128.0,12.0,52,836.0,453.0,157.0,30.0,862.0,198.0,41.0,469.0,29.0,151.0,169.0,126.0,119.0
1,1,13,1,2964,1292.0,150.0,31.0,115.0,112.0,108.0,104.0,181.0,53.0,68.0,30.0,80.0,16.0,12,403.0,208.0,58.0,34.0,433.0,95.0,49.0,171.0,0.0,43.0,25.0,163.0,56.0
