id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3085,100.0,1710.0,55.4,1911.0,61.9,1375.0,44.6,536.0,17.4,1174.0,38.1,3085,129.0,106.0,32.0,451.0,898.0,370.0,376.0,723.0,1491.0,1174.0,1710,113.0,100.0,17.0,359.0,624.0,196.0,146.0,155.0,801.0,1174.0,1710,554.0,46.0,62.0,48.0,21.0,69.0,31.0,96.0,30.0,26.0,18.0,56.0,9.0,22,282.0,107.0,40.0,26.0,442.0,70.0,45.0,251.0,19.0,44.0,21.0,27.0,71.0
01011102,198,100.0,74.0,37.4,139.0,70.2,124.0,62.6,15.0,7.6,59.0,29.8,198,9.0,9.0,3.0,12.0,56.0,50.0,31.0,28.0,80.0,59.0,74,6.0,3.0,0.0,6.0,38.0,18.0,3.0,0.0,25.0,59.0,74,42.0,0.0,6.0,3.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0
01011103,5537,100.0,3241.0,58.5,3389.0,61.2,2296.0,41.5,1093.0,19.7,2148.0,38.8,5537,266.0,407.0,123.0,726.0,1612.0,738.0,794.0,871.0,2475.0,2148.0,3241,233.0,355.0,102.0,508.0,1063.0,360.0,347.0,273.0,1458.0,2148.0,3241,963.0,121.0,31.0,107.0,12.0,40.0,39.0,203.0,94.0,129.0,38.0,182.0,18.0,80,426.0,157.0,92.0,23.0,1227.0,320.0,64.0,576.0,40.0,239.0,37.0,48.0,120.0
01011104,4622,100.0,2943.0,63.7,2911.0,63.0,1679.0,36.3,1232.0,26.7,1711.0,37.0,4622,292.0,407.0,119.0,829.0,1602.0,673.0,381.0,319.0,2092.0,1711.0,2943,214.0,346.0,101.0,600.0,1013.0,325.0,207.0,137.0,1382.0,1711.0,2943,750.0,111.0,52.0,74.0,27.0,43.0,36.0,148.0,74.0,30.0,13.0,89.0,43.0,17,257.0,101.0,81.0,10.0,1200.0,420.0,57.0,574.0,203.0,61.0,22.0,52.0,207.0
01011105,1150,100.0,660.0,57.4,678.0,59.0,490.0,42.6,188.0,16.3,472.0,41.0,1150,65.0,59.0,31.0,110.0,325.0,217.0,169.0,174.0,526.0,472.0,660,56.0,44.0,25.0,81.0,222.0,117.0,56.0,59.0,312.0,472.0,660,155.0,15.0,9.0,20.0,15.0,13.0,7.0,30.0,3.0,3.0,0.0,4.0,0.0,0,172.0,101.0,25.0,3.0,211.0,16.0,9.0,146.0,3.0,10.0,0.0,33.0,25.0
01011201,2096,100.0,1044.0,49.8,1432.0,68.3,1052.0,50.2,380.0,18.1,664.0,31.7,2096,91.0,132.0,35.0,269.0,531.0,366.0,303.0,369.0,999.0,664.0,1044,71.0,98.0,25.0,181.0,333.0,151.0,121.0,64.0,490.0,664.0,1044,286.0,23.0,10.0,37.0,10.0,16.0,24.0,14.0,89.0,20.0,3.0,7.0,0.0,0,314.0,139.0,76.0,8.0,203.0,48.0,10.0,116.0,15.0,6.0,43.0,15.0,41.0
01011202,568,100.0,244.0,43.0,383.0,67.4,324.0,57.0,59.0,10.4,185.0,32.6,568,28.0,40.0,9.0,34.0,186.0,108.0,83.0,80.0,255.0,185.0,244,19.0,27.0,6.0,15.0,97.0,43.0,25.0,12.0,115.0,185.0,244,120.0,22.0,3.0,10.0,18.0,3.0,7.0,9.0,0.0,12.0,0.0,11.0,0.0,5,36.0,21.0,6.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
01011203,961,100.0,496.0,51.6,592.0,61.6,465.0,48.4,127.0,13.2,369.0,38.4,961,44.0,54.0,17.0,82.0,299.0,178.0,116.0,171.0,467.0,369.0,496,31.0,42.0,8.0,55.0,193.0,76.0,52.0,39.0,229.0,369.0,496,178.0,12.0,12.0,15.0,12.0,9.0,22.0,17.0,9.0,6.0,0.0,6.0,0.0,3,189.0,120.0,6.0,0.0,41.0,11.0,6.0,15.0,0.0,0.0,10.0,27.0,10.0
01011204,7021,100.0,3006.0,42.8,5061.0,72.1,4015.0,57.2,1046.0,14.9,1960.0,27.9,7021,332.0,342.0,94.0,632.0,2118.0,1044.0,893.0,1566.0,3482.0,1960.0,3006,237.0,269.0,64.0,363.0,1199.0,377.0,290.0,207.0,1497.0,1960.0,3006,1039.0,56.0,47.0,94.0,54.0,58.0,61.0,158.0,229.0,42.0,28.0,105.0,11.0,37,613.0,331.0,91.0,31.0,589.0,91.0,18.0,338.0,21.0,123.0,125.0,76.0,78.0
01011301,6333,100.0,2446.0,38.6,4573.0,72.2,3887.0,61.4,686.0,10.8,1760.0,27.8,6333,405.0,351.0,51.0,627.0,2756.0,972.0,600.0,571.0,3055.0,1760.0,2446,201.0,180.0,18.0,329.0,1219.0,256.0,152.0,91.0,1195.0,1760.0,2446,1095.0,135.0,31.0,98.0,104.0,96.0,89.0,167.0,33.0,50.0,16.0,83.0,18.0,31,306.0,170.0,34.0,22.0,389.0,89.0,50.0,145.0,0.0,21.0,20.0,125.0,28.0
