district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,1,11,1,1710,554.0,46.0,62.0,48.0,21.0,69.0,31.0,96.0,30.0,26.0,18.0,56.0,9.0,22,282.0,107.0,40.0,26.0,442.0,70.0,45.0,251.0,19.0,44.0,21.0,27.0,71.0
1,1,11,2,74,42.0,0.0,6.0,3.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0
1,1,11,3,3241,963.0,121.0,31.0,107.0,12.0,40.0,39.0,203.0,94.0,129.0,38.0,182.0,18.0,80,426.0,157.0,92.0,23.0,1227.0,320.0,64.0,576.0,40.0,239.0,37.0,48.0,120.0
1,1,11,4,2943,750.0,111.0,52.0,74.0,27.0,43.0,36.0,148.0,74.0,30.0,13.0,89.0,43.0,17,257.0,101.0,81.0,10.0,1200.0,420.0,57.0,574.0,203.0,61.0,22.0,52.0,207.0
1,1,11,5,660,155.0,15.0,9.0,20.0,15.0,13.0,7.0,30.0,3.0,3.0,0.0,4.0,0.0,0,172.0,101.0,25.0,3.0,211.0,16.0,9.0,146.0,3.0,10.0,0.0,33.0,25.0
1,1,12,1,1044,286.0,23.0,10.0,37.0,10.0,16.0,24.0,14.0,89.0,20.0,3.0,7.0,0.0,0,314.0,139.0,76.0,8.0,203.0,48.0,10.0,116.0,15.0,6.0,43.0,15.0,41.0
1,1,12,2,244,120.0,22.0,3.0,10.0,18.0,3.0,7.0,9.0,0.0,12.0,0.0,11.0,0.0,5,36.0,21.0,6.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
1,1,12,3,496,178.0,12.0,12.0,15.0,12.0,9.0,22.0,17.0,9.0,6.0,0.0,6.0,0.0,3,189.0,120.0,6.0,0.0,41.0,11.0,6.0,15.0,0.0,0.0,10.0,27.0,10.0
1,1,12,4,3006,1039.0,56.0,47.0,94.0,54.0,58.0,61.0,158.0,229.0,42.0,28.0,105.0,11.0,37,613.0,331.0,91.0,31.0,589.0,91.0,18.0,338.0,21.0,123.0,125.0,76.0,78.0
1,1,13,1,2446,1095.0,135.0,31.0,98.0,104.0,96.0,89.0,167.0,33.0,50.0,16.0,83.0,18.0,31,306.0,170.0,34.0,22.0,389.0,89.0,50.0,145.0,0.0,21.0,20.0,125.0,28.0
1,1,13,2,4600,2251.0,353.0,51.0,282.0,168.0,176.0,272.0,215.0,85.0,68.0,44.0,165.0,10.0,40,430.0,157.0,74.0,21.0,557.0,177.0,44.0,223.0,21.0,75.0,66.0,359.0,56.0
1,1,13,3,3779,1384.0,177.0,57.0,151.0,82.0,146.0,126.0,160.0,82.0,62.0,12.0,100.0,21.0,25,431.0,202.0,73.0,31.0,725.0,114.0,44.0,375.0,31.0,116.0,219.0,177.0,80.0
1,1,13,4,2941,677.0,63.0,29.0,81.0,10.0,117.0,36.0,109.0,57.0,21.0,16.0,183.0,33.0,11,347.0,135.0,73.0,37.0,636.0,238.0,18.0,220.0,9.0,44.0,555.0,41.0,115.0
1,1,13,5,2502,699.0,71.0,18.0,83.0,35.0,60.0,55.0,95.0,82.0,26.0,12.0,64.0,3.0,20,416.0,222.0,63.0,25.0,541.0,153.0,9.0,268.0,21.0,63.0,84.0,77.0,103.0
1,1,13,6,3357,1152.0,103.0,36.0,113.0,53.0,91.0,80.0,227.0,66.0,47.0,31.0,141.0,33.0,25,325.0,107.0,69.0,22.0,917.0,517.0,29.0,278.0,22.0,97.0,123.0,163.0,179.0
1,1,14,1,6118,2935.0,383.0,111.0,366.0,237.0,229.0,262.0,301.0,100.0,111.0,36.0,202.0,47.0,35,578.0,257.0,106.0,29.0,931.0,171.0,51.0,451.0,20.0,163.0,61.0,363.0,93.0
1,1,14,2,4662,2539.0,352.0,92.0,366.0,201.0,241.0,302.0,211.0,68.0,56.0,32.0,101.0,9.0,33,402.0,140.0,111.0,13.0,325.0,76.0,36.0,131.0,9.0,15.0,47.0,347.0,50.0
