district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,1,11,1,1710,113.0,100.0,17.0,359.0,624.0,196.0,146.0,155.0,801.0,1174.0
1,1,11,2,74,6.0,3.0,0.0,6.0,38.0,18.0,3.0,0.0,25.0,59.0
1,1,11,3,3241,233.0,355.0,102.0,508.0,1063.0,360.0,347.0,273.0,1458.0,2148.0
1,1,11,4,2943,214.0,346.0,101.0,600.0,1013.0,325.0,207.0,137.0,1382.0,1711.0
1,1,11,5,660,56.0,44.0,25.0,81.0,222.0,117.0,56.0,59.0,312.0,472.0
1,1,12,1,1044,71.0,98.0,25.0,181.0,333.0,151.0,121.0,64.0,490.0,664.0
1,1,12,2,244,19.0,27.0,6.0,15.0,97.0,43.0,25.0,12.0,115.0,185.0
1,1,12,3,496,31.0,42.0,8.0,55.0,193.0,76.0,52.0,39.0,229.0,369.0
1,1,12,4,3006,237.0,269.0,64.0,363.0,1199.0,377.0,290.0,207.0,1497.0,1960.0
1,1,13,1,2446,201.0,180.0,18.0,329.0,1219.0,256.0,152.0,91.0,1195.0,1760.0
1,1,13,2,4600,311.0,427.0,94.0,621.0,2238.0,583.0,201.0,125.0,2263.0,3183.0
1,1,13,3,3779,271.0,246.0,64.0,653.0,1856.0,381.0,209.0,99.0,1755.0,2732.0
1,1,13,4,2941,292.0,320.0,105.0,457.0,1066.0,390.0,196.0,115.0,1499.0,1840.0
1,1,13,5,2502,227.0,220.0,65.0,317.0,1075.0,353.0,129.0,116.0,1139.0,1629.0
1,1,13,6,3357,263.0,264.0,72.0,659.0,1405.0,389.0,190.0,115.0,1635.0,2235.0
1,1,14,1,6118,540.0,594.0,102.0,776.0,3183.0,571.0,223.0,129.0,3057.0,4414.0
1,1,14,2,4662,456.0,385.0,67.0,483.0,2617.0,433.0,130.0,91.0,2386.0,3237.0
1,2,21,1,1767,148.0,133.0,39.0,338.0,641.0,228.0,140.0,100.0,800.0,1201.0
1,2,21,2,3663,268.0,310.0,124.0,549.0,1367.0,482.0,313.0,250.0,1676.0,2524.0
1,2,21,3,179,12.0,32.0,7.0,20.0,64.0,27.0,10.0,7.0,83.0,131.0
1,2,21,4,8731,581.0,822.0,222.0,1323.0,3203.0,1163.0,807.0,610.0,3994.0,5595.0
1,2,21,5,2994,244.0,330.0,88.0,504.0,1024.0,383.0,209.0,212.0,1398.0,1874.0
1,2,21,6,4185,321.0,432.0,149.0,565.0,1524.0,531.0,381.0,282.0,2010.0,2559.0
1,2,22,1,5568,465.0,504.0,182.0,990.0,2092.0,664.0,383.0,288.0,2525.0,3513.0
1,2,22,2,972,91.0,144.0,46.0,145.0,284.0,128.0,53.0,81.0,488.0,481.0
1,2,22,3,3960,339.0,533.0,137.0,511.0,1261.0,495.0,309.0,375.0,1971.0,2241.0
1,2,22,4,2300,159.0,195.0,49.0,351.0,882.0,312.0,176.0,176.0,1085.0,1443.0
1,2,22,5,1969,185.0,285.0,100.0,252.0,591.0,223.0,161.0,172.0,963.0,1063.0
1,2,22,6,1186,105.0,118.0,24.0,150.0,430.0,164.0,104.0,91.0,583.0,638.0
1,2,22,7,2401,106.0,142.0,58.0,672.0,804.0,275.0,171.0,173.0,1155.0,1689.0
1,3,31,1,16273,1587.0,2043.0,673.0,2609.0,5363.0,2011.0,1082.0,905.0,7512.0,10725.0
1,3,31,2,6909,589.0,859.0,283.0,1054.0,2291.0,932.0,488.0,413.0,3272.0,4301.0
1,3,32,1,8835,894.0,1426.0,382.0,1089.0,2688.0,1092.0,694.0,570.0,4280.0,4217.0
1,3,32,2,5298,522.0,726.0,184.0,625.0,1705.0,719.0,383.0,434.0,2619.0,2534.0
1,3,32,3,9081,872.0,1189.0,345.0,1441.0,3025.0,1088.0,573.0,548.0,4204.0,5675.0
1,4,41,1,9435,742.0,956.0,248.0,1361.0,3372.0,1312.0,853.0,591.0,4343.0,6027.0
1,4,41,2,6053,521.0,611.0,177.0,844.0,2109.0,811.0,528.0,452.0,2901.0,3645.0
1,4,41,3,4200,336.0,409.0,116.0,669.0,1582.0,562.0,302.0,224.0,1968.0,2825.0
1,4,42,1,15807,1326.0,1958.0,635.0,2508.0,5151.0,2189.0,1037.0,1003.0,7354.0,10178.0
1,4,42,2,9418,670.0,859.0,280.0,1916.0,3559.0,1092.0,657.0,385.0,4282.0,6544.0
1,4,42,3,9193,696.0,916.0,283.0,1398.0,3157.0,1267.0,749.0,727.0,4192.0,6143.0
2,1,1,1,4628,384.0,514.0,209.0,858.0,1571.0,551.0,335.0,206.0,2159.0,2856.0
2,1,1,2,9057,807.0,1302.0,381.0,1183.0,2783.0,1239.0,668.0,694.0,4564.0,4344.0
2,1,1,3,10851,947.0,1479.0,415.0,1482.0,3494.0,1510.0,754.0,770.0,5167.0,5599.0
2,1,1,4,3303,244.0,490.0,164.0,415.0,1005.0,508.0,229.0,248.0,1611.0,1662.0
2,2,2,1,392,51.0,45.0,10.0,36.0,180.0,25.0,28.0,17.0,185.0,233.0
2,2,2,2,2579,164.0,251.0,110.0,458.0,894.0,340.0,197.0,165.0,1206.0,1729.0
2,2,2,3,4031,318.0,381.0,97.0,524.0,1625.0,528.0,306.0,252.0,1956.0,2478.0
