id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01011101,01,01,11,01,3269,153,127,32,502,999,348,389,719,1584,1338,100.0,4.680330376261853,3.8849801162434994,0.9788926277148976,15.356378097277453,30.559804221474458,10.64545732639951,11.899663505659223,21.994493728969104,48.45518507188743,40.929947996329155
01011102,01,01,11,02,185,4,9,3,15,51,36,40,27,71,61,100.0,2.1621621621621623,4.864864864864865,1.6216216216216217,8.108108108108109,27.56756756756757,19.45945945945946,21.62162162162162,14.594594594594595,38.37837837837838,32.972972972972975
01011103,01,01,11,03,5073,254,329,122,578,1430,682,770,908,2336,1787,100.0,5.006899270648532,6.485314409619554,2.4048886260595306,11.393652671003352,28.18844864971417,13.443721663709837,15.17839542676917,17.89867928247585,46.04770352848413,35.225704711216245
01011104,01,01,11,04,4781,277,396,135,912,1661,629,426,345,2160,1909,100.0,5.793766994352645,8.28278602802761,2.823677055009412,19.075507216063585,34.74168583978247,13.15624346371052,8.9102698180297,7.216063585024053,45.178832880150594,39.92888517046643
01011105,01,01,11,05,1322,83,64,13,103,455,199,185,220,602,605,100.0,6.278366111951589,4.841149773071105,0.9833585476550681,7.791225416036308,34.41754916792738,15.052950075642965,13.993948562783661,16.64145234493192,45.53706505295008,45.76399394856278
01011201,01,01,12,01,2387,106,149,61,279,708,326,354,404,1113,964,100.0,4.440720569752828,6.242144951822371,2.5555090071219104,11.688311688311687,29.660661918726433,13.65731043150398,14.830330959363216,16.92501047339757,46.62756598240469,40.38542103058232
01011202,01,01,12,02,635,30,39,9,43,240,89,93,92,274,238,100.0,4.724409448818897,6.141732283464567,1.4173228346456692,6.771653543307086,37.79527559055118,14.015748031496065,14.645669291338583,14.488188976377952,43.1496062992126,37.480314960629926
01011203,01,01,12,03,1086,57,51,24,101,343,200,131,179,512,404,100.0,5.248618784530387,4.696132596685083,2.209944751381215,9.300184162062616,31.583793738489874,18.41620626151013,12.062615101289135,16.482504604051567,47.14548802946593,37.20073664825046
01011204,01,01,12,04,8117,432,401,104,769,2771,1057,973,1610,3994,2627,100.0,5.322163360847604,4.9402488604164105,1.2812615498336823,9.473943575212516,34.1382284095109,13.022052482444252,11.987187384501663,19.834914377232966,49.20537144265123,32.36417395589504
01011301,01,01,13,01,6841,453,390,84,639,2991,1043,605,636,3314,2077,100.0,6.621838912439702,5.700920917994445,1.227890659260342,9.340739657944745,43.721678117234326,15.246309019149248,8.843736295863177,9.296886420114019,48.44321005700921,30.36105832480632
01011302,01,01,13,02,12640,699,1016,291,1060,4985,2376,1238,975,6094,3406,100.0,5.530063291139241,8.037974683544304,2.3022151898734178,8.38607594936709,39.438291139240505,18.79746835443038,9.794303797468354,7.7136075949367084,48.212025316455694,26.946202531645568
01011303,01,01,13,03,9923,445,482,91,1251,3899,1272,940,1543,4671,3387,100.0,4.48453088783634,4.857401995364305,0.9170613725687795,12.60707447344553,39.29255265544695,12.818704020961402,9.472941650710471,15.54973294366623,47.07245792603044,34.13282273505997
01011304,01,01,13,04,8765,469,530,173,829,2260,902,980,2622,4661,2233,100.0,5.350827153451227,6.046776953793497,1.9737592698231603,9.45807187678266,25.784369652025102,10.29092983456931,11.180832857957787,29.914432401597264,53.17741015402168,25.47632629777524
01011305,01,01,13,05,8007,389,376,110,688,2611,1032,866,1935,3945,2005,100.0,4.858249032096915,4.6958910952916195,1.3737979268140377,8.59248157861871,32.60896715374047,12.888722367928063,10.81553640564506,24.166354439865117,49.26938928437617,25.040589484201327
01011306,01,01,13,06,10416,614,498,115,1416,3712,1382,1145,1534,5111,3044,100.0,5.894777265745008,4.78110599078341,1.1040706605222734,13.594470046082948,35.63748079877112,13.268049155145931,10.992703533026113,14.727342549923195,49.06874039938556,29.22427035330261
01011401,01,01,14,01,17588,1244,1343,280,1720,7855,2788,1346,1012,8560,5395,100.0,7.073004321128042,7.635888105526495,1.591994541733,9.779395042074142,44.661132590402545,15.851717079827154,7.652945189902207,5.753923129406414,48.66954741869456,30.674323402319764
01011402,01,01,14,02,13593,1040,1084,196,1001,6330,2315,831,796,6722,3625,100.0,7.650996836607077,7.974692856617377,1.4419186345913337,7.364084455234312,46.568086515118075,17.030824689178253,6.113440741558155,5.855955271095416,49.451923784300746,26.668138012212168
01022101,01,02,21,01,3566,182,214,64,646,1333,465,377,285,1597,1336,100.0,5.103757711721817,6.001121704991587,1.79472798653954,18.11553561413348,37.38081884464386,13.039820527201346,10.572069545709478,7.992148065058889,44.78407178911946,37.4649467190129
01022102,01,02,21,02,6658,360,411,140,1237,2445,819,651,595,3049,2816,100.0,5.407029137879243,6.173024932412136,2.102733553619706,18.5791528987684,36.722739561429854,12.300991288675277,9.777711024331632,8.93661760288375,45.794532892760586,42.29498347852208
01022103,01,02,21,03,266,23,39,12,27,78,38,27,22,112,146,100.0,8.646616541353383,14.661654135338345,4.511278195488721,10.150375939849624,29.32330827067669,14.285714285714285,10.150375939849624,8.270676691729323,42.10526315789473,54.88721804511278
01022104,01,02,21,04,18736,989,1120,343,2798,6840,2392,2094,2160,8781,6039,100.0,5.2786080273270715,5.977796754910333,1.8307002561912893,14.933817250213494,36.50725875320239,12.766865926558497,11.176345004269855,11.52860802732707,46.866994022203244,32.23206660973527
01022105,01,02,21,05,5318,304,393,111,836,1934,632,569,539,2472,1995,100.0,5.7164347499059796,7.389996239187664,2.0872508461827755,15.720195562241443,36.367055283941326,11.884166980067695,10.69951109439639,10.13538924407672,46.48364046634073,37.51410304625799
01022106,01,02,21,06,11512,580,713,212,1298,3461,1664,1650,1934,5836,2335,100.0,5.038220986796387,6.193537178596247,1.841556636553162,11.275191104933983,30.064280750521196,14.454482279360667,14.33287004864489,16.799861014593468,50.694927032661575,20.283182765809592
01022201,01,02,22,01,10990,660,681,197,1763,4335,1388,991,975,5142,3352,100.0,6.005459508644222,6.196542311191993,1.7925386715195633,16.041856232939036,39.4449499545041,12.629663330300273,9.017288444040036,8.871701546860782,46.78798908098271,30.500454959053684
01022202,01,02,22,02,2058,145,190,59,317,706,273,181,187,1024,657,100.0,7.0456754130223525,9.23226433430515,2.866861030126336,15.403304178814384,34.305150631681244,13.26530612244898,8.794946550048591,9.086491739552963,49.75704567541302,31.924198250728864
01022203,01,02,22,03,7021,489,645,161,1010,2183,858,674,1001,3460,2359,100.0,6.964819826235578,9.186725537672697,2.293120638085743,14.385415183022362,31.092436974789916,12.220481412904146,9.599772112234724,14.257228315054835,49.28072924084888,33.59920239282154
01022204,01,02,22,04,6008,323,340,96,707,1982,843,707,1010,2965,1562,100.0,5.376165113182423,5.659121171770972,1.5978695073235687,11.767643142476699,32.98934753661784,14.031291611185088,11.767643142476699,16.81091877496671,49.3508655126498,25.998668442077232
01022205,01,02,22,05,3310,247,339,114,415,865,418,387,525,1606,1078,100.0,7.462235649546828,10.241691842900302,3.444108761329305,12.537764350453173,26.132930513595166,12.628398791540786,11.691842900302115,15.861027190332328,48.51963746223565,32.56797583081571
01022206,01,02,22,06,3048,147,203,57,354,967,478,358,484,1437,679,100.0,4.822834645669291,6.66010498687664,1.8700787401574805,11.614173228346457,31.7257217847769,15.68241469816273,11.745406824146981,15.879265091863518,47.145669291338585,22.27690288713911
01022207,01,02,22,07,5730,223,243,86,1007,1512,759,646,1254,2761,1875,100.0,3.8917975567190224,4.2408376963350785,1.50087260034904,17.574171029668413,26.387434554973822,13.24607329842932,11.273996509598604,21.8848167539267,48.18499127399651,32.72251308900523
01033101,01,03,31,01,26876,1981,2546,756,4044,9101,3340,2395,2713,12746,11108,100.0,7.370888525078137,9.473135883315969,2.812918589075755,15.046881976484597,33.862926030659324,12.42744456020241,8.911296323857718,10.09450811132609,47.42521208513172,41.330555142134244
01033102,01,03,31,02,12119,816,1031,338,1968,4145,1591,1005,1225,5821,4717,100.0,6.733228814258601,8.507302582721346,2.789008994141431,16.23896361085898,34.20249195478175,13.12814588662431,8.292763429325852,10.10809472728773,48.032015842891326,38.922353329482625
01033201,01,03,32,01,13826,1114,1573,482,1721,4207,1709,1325,1695,6860,4261,100.0,8.057283379140749,11.377115579343267,3.4861854477072187,12.447562563286562,30.42817879357732,12.360769564588457,9.583393606249096,12.259511066107335,49.61666425575004,30.81874728771879
01033202,01,03,32,02,9735,648,904,253,1021,2775,1243,1125,1766,4902,2621,100.0,6.656394453004623,9.28608115048793,2.598870056497175,10.487930148947099,28.50539291217257,12.768361581920903,11.556240369799692,18.140729327170003,50.354391371340526,26.923472008217768
01033203,01,03,32,03,14513,990,1278,445,2294,4969,1807,1260,1470,6701,5886,100.0,6.821470405843037,8.805898160270102,3.0662164955557087,15.80651829394336,34.238269138014196,12.450906084200373,8.68187142561841,10.128849996554813,46.172397161165854,40.55674223110315
01044101,01,04,41,01,20775,1142,1353,384,2871,6708,2771,2451,3095,10031,6399,100.0,5.49699157641396,6.512635379061373,1.848375451263538,13.819494584837544,32.288808664259925,13.338146811071,11.797833935018051,14.897713598074608,48.28399518652226,30.801444043321304
01044102,01,04,41,02,16564,956,983,310,1797,4728,2072,2025,3693,8528,3956,100.0,5.7715527650326015,5.934556870321178,1.8715286162762617,10.848828785317556,28.54382999275537,12.509055783627144,12.225307896643322,22.295339290026565,51.48514851485149,23.883120019319005
01044103,01,04,41,03,8715,494,531,198,1331,3338,1127,908,788,4108,3210,100.0,5.668387837062536,6.0929432013769365,2.2719449225473323,15.272518646012623,38.3017785427424,12.931726907630523,10.418818129661503,9.04188181296615,47.13711990820425,36.83304647160069
01044201,01,04,42,01,24168,1535,2116,693,3913,8360,3036,2091,2424,11266,10626,100.0,6.351373717312148,8.755379013571666,2.867428003972195,16.190830850711684,34.59119496855346,12.56206554121152,8.651936444885798,10.02979145978153,46.61535915259848,43.96722939424032
01044202,01,04,42,02,16972,933,1032,328,3101,6968,1915,1489,1206,7761,6914,100.0,5.497289653547019,6.0806033466886635,1.9325948621258544,18.271270327598398,41.05585670516144,11.283290124911618,8.7732736271506,7.105821352816403,45.728258307801084,40.73768559981145
