id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,379610,22949,27367,8036,50685,133060,50339,38353,48821,182408,127593,100.0,6.0454150312162485,7.209241063196438,2.116909459708648,13.351861120623798,35.051763652169335,13.260714944284924,10.103263876083348,12.860830852717262,48.05142119543742,33.61160138036406
02,02,285963,18459,19914,5609,30744,117093,38790,26725,28629,139146,76016,100.0,6.4550308956053755,6.963837979039246,1.9614425642478222,10.751041218619193,40.94690571857198,13.564691935669998,9.345614642453743,10.011435045792636,48.65874256459752,26.582459968597338
03,03,404534,27662,34282,8842,31969,133853,65787,41843,60296,205755,53895,100.0,6.837991367845471,8.474442197689193,2.185724809286735,7.902673199286092,33.08819530620418,16.262415520079895,10.34350635546085,14.905051244147588,50.862226660799834,13.322736778614406
04,04,338923,16143,21201,6879,33184,86061,50018,46248,79189,174644,83171,100.0,4.763028770546702,6.255403144667078,2.029664555075932,9.791014478214816,25.392493280184585,14.75792436630149,13.645577314021178,23.36489409098822,51.52910838154979,24.539792224192517
05,05,241905,14746,20612,6680,24670,55773,34361,31739,53324,123469,46218,100.0,6.095781401789959,8.520700274901303,2.761414604906885,10.198218308840246,23.05574502387301,14.20433641305471,13.12043984208677,22.043364130547115,51.04028440916889,19.10584733676443
06,06,307088,15741,24175,8088,28189,63871,46676,41090,79258,161952,43630,100.0,5.125892252383681,7.872336268431199,2.6337727296410147,9.179453446569061,20.798924086906684,15.199551919970823,13.380529359662377,25.80953993643516,52.73797738758923,14.207653832126296
07,07,349265,19513,25437,8200,34815,89730,51888,46543,73139,178276,69431,100.0,5.586875295262909,7.283008603782229,2.3477874966000027,9.968075816357207,25.691094154868082,14.856341173607431,13.325984567591941,20.940832891930196,51.04319070047099,19.87917483858961
08,08,329767,20403,25133,8003,34870,102196,43828,37432,57902,165278,83390,100.0,6.1870957372933,7.621441805881123,2.4268650289446794,10.57413264517068,30.990365925031917,13.290596087540596,11.35104482862142,17.558457941516284,50.119629920519635,25.287551513644484
09,09,267167,16201,19277,5635,21569,72140,38593,34007,59745,136145,23719,100.0,6.063997424831659,7.215337223534343,2.1091676741513736,8.073227606702924,27.001837801824323,14.445272058300612,12.728742696515663,22.362417514139096,50.95876361975843,8.877967713078338
10,10,267452,17247,22739,6335,21007,67463,35273,44700,52688,134782,27073,100.0,6.448633773536934,8.502086355682515,2.3686493277298357,7.854493516593632,25.22433932070054,13.18853476511673,16.71327939219,19.699983548449815,50.39483720443294,10.12256404887606
11,11,288320,19048,21669,5804,27122,86683,35128,36443,56423,145075,45343,100.0,6.606548279689234,7.515607658157602,2.013041065482797,9.4069089900111,30.06485849056604,12.183684794672587,12.639775249722533,19.569575471698116,50.31735571587126,15.726623196448392
12,12,263920,15494,21756,7242,25905,57810,38191,35051,62471,134273,45979,100.0,5.870718399515005,8.243407093058503,2.744013337374962,9.815474386177629,21.90436495907851,14.47067293119127,13.280918460139437,23.670430433464688,50.87640193998181,17.421567141558047
