id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
010111,01,01,11,14630,8880,8930,5750,3180,5700,100.0,60.697197539302806,61.038961038961034,39.302802460697194,21.736158578263844,38.961038961038966
010112,01,01,12,12225,6264,7992,5961,2031,4233,100.0,51.23926380368098,65.37423312883436,48.76073619631902,16.613496932515336,34.625766871165645
010113,01,01,13,56592,23641,40440,32951,7489,16152,100.0,41.774455753463386,71.45886344359627,58.22554424653661,13.233319197059657,28.541136556403735
010114,01,01,14,31181,12717,22161,18464,3697,9020,100.0,40.78445207017094,71.07212725698342,59.21554792982906,11.856579327154357,28.92787274301658
010221,01,02,21,46056,22687,31389,23369,8020,14667,100.0,49.25959701233281,68.15398645127671,50.74040298766719,17.41358346360952,31.846013548723295
010222,01,02,22,38165,19346,26603,18819,7784,11562,100.0,50.69042316258352,69.7052273025023,49.30957683741648,20.39565046508581,30.294772697497706
010331,01,03,31,38995,24343,23170,14652,8518,15825,100.0,62.42595204513399,59.41787408642134,37.57404795486601,21.84382613155533,40.582125913578665
010332,01,03,32,38074,24075,25306,13999,11307,12768,100.0,63.23212691075274,66.46530440720701,36.76787308924725,29.69743131795976,33.534695592792986
010441,01,04,41,46054,21304,32489,24750,7739,13565,100.0,46.25873974030486,70.54544664958527,53.741260259695146,16.80418638989013,29.45455335041473
010442,01,04,42,57638,36217,33537,21421,12116,24101,100.0,62.83528227905202,58.18557201846004,37.16471772094799,21.02085429751206,41.81442798153996
020101,02,01,01,40450,27933,26015,12517,13498,14435,100.0,69.05562422744129,64.31396786155747,30.944375772558715,33.369592088998765,35.68603213844252
020202,02,02,02,64928,27646,48018,37282,10736,16910,100.0,42.57947264662395,73.95576638738295,57.42052735337605,16.5352390340069,26.044233612617052
020303,02,03,03,22158,12840,14440,9318,5122,7718,100.0,57.94746818304901,65.16833649246323,42.05253181695099,23.11580467551223,34.83166350753678
020304,02,03,04,26474,13130,17906,13344,4562,8568,100.0,49.59582987081665,67.63617133791645,50.40417012918334,17.2320012087331,32.363828662083556
020405,02,04,05,23844,6569,19789,17275,2514,4055,100.0,27.549907733601746,82.99362523066598,72.45009226639826,10.54353296426774,17.006374769334005
020407,02,04,07,24668,8791,18792,15877,2915,5876,100.0,35.63726285065672,76.17966596400194,64.36273714934327,11.816928814658667,23.82033403599805
020506,02,05,06,30699,9299,24178,21400,2778,6521,100.0,30.29088895403759,78.7582657415551,69.70911104596242,9.04915469559269,21.2417342584449
020508,02,05,08,52742,16740,40809,36002,4807,11933,100.0,31.739410716317167,77.37476773728717,68.26058928368283,9.114178453604339,22.625232262712828
