id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
010111,01,01,11,14630,771,925,305,2110,4596,1894,1810,2219,6753,5700,100.0,5.269993164730007,6.322624743677376,2.0847573479152426,14.42241968557758,31.4149008885851,12.946001367054,12.371838687628161,15.167464114832535,46.15857826384142,38.961038961038966
010112,01,01,12,12225,625,640,198,1192,4062,1672,1551,2285,5893,4233,100.0,5.112474437627812,5.23517382413088,1.6196319018404908,9.750511247443763,33.22699386503067,13.676891615541923,12.687116564417177,18.691206543967283,48.20449897750511,34.625766871165645
010113,01,01,13,56592,3069,3292,864,5883,20458,8007,5774,9245,27796,16152,100.0,5.423027989821883,5.817076618603336,1.5267175572519083,10.39546225614928,36.14998586372632,14.148642917726887,10.202855527283008,16.336231269437377,49.116482895108845,28.541136556403735
010114,01,01,14,31181,2284,2427,476,2721,14185,5103,2177,1808,15282,9020,100.0,7.3249735415798085,7.783586158237387,1.5265706680350215,8.72646804143549,45.49244732369071,16.365735544081332,6.981815849395464,5.798402873544787,49.01061543888907,28.92787274301658
010221,01,02,21,46056,2438,2890,882,6842,16091,6010,5368,5535,21847,14667,100.0,5.29355567135661,6.274969602223381,1.9150599270453361,14.855827688031962,34.937901684905334,13.049331248914363,11.655376063922182,12.017978113600835,47.43573041514678,31.846013548723295
010222,01,02,22,38165,2234,2641,770,5573,12550,5017,3944,5436,18395,11562,100.0,5.853530721865583,6.919952836368401,2.017555351762086,14.602384383597537,32.88353203196646,13.145552207519978,10.334075723830734,14.243416743089218,48.19861129306957,30.294772697497706
010331,01,03,31,38995,2797,3577,1094,6012,13246,4931,3400,3938,18567,15825,100.0,7.172714450570586,9.17297089370432,2.805487883061931,15.417361200153865,33.968457494550584,12.645210924477496,8.719066546993204,10.098730606488012,47.61379664059495,40.582125913578665
010332,01,03,32,38074,2752,3755,1180,5036,11951,4759,3710,4931,18463,12768,100.0,7.228029626516783,9.862373273099752,3.0992278195093768,13.226873982245102,31.38887429742081,12.499343383936544,9.744182381677785,12.951095235593844,48.49240951830646,33.534695592792986
010441,01,04,41,46054,2592,2867,892,5999,14774,5970,5384,7576,22667,13565,100.0,5.628175619924437,6.225300733921049,1.9368567333999216,13.026012941329743,32.07973248794893,12.963043383853737,11.690624050028228,16.450254049593955,49.218308941677165,29.45455335041473
010442,01,04,42,57638,3387,4353,1375,9317,21147,6976,5235,5848,26745,24101,100.0,5.876331586800375,7.55230924043166,2.3855789583261044,16.16468302161768,36.689336895797915,12.103126409660293,9.082549706790658,10.146084180575315,46.401679447586666,41.81442798153996
020101,02,01,01,40450,2704,4038,1322,5411,12263,5631,4095,4986,19682,14435,100.0,6.6847960444993815,9.982694684796044,3.26823238566131,13.3770086526576,30.31644004944376,13.92088998763906,10.123609394313968,12.326328800988875,48.65760197775031,35.68603213844252
020202,02,02,02,64928,4108,4569,1305,6641,24049,9826,7861,6569,31878,16910,100.0,6.327008378511582,7.037025628388369,2.0099186791522916,10.228252833908329,37.03948989650074,15.133686545096106,12.107257269590932,10.11736076885165,49.097461803844254,26.044233612617052
020303,02,03,03,22158,1209,1716,561,2399,7983,3431,2536,2323,10690,7718,100.0,5.45626861630111,7.744381261846738,2.5318169509883566,10.826789421427927,36.02761982128351,15.48424948100009,11.445076270421518,10.483798176730751,48.244426392273674,34.83166350753678
020304,02,03,04,26474,1593,1756,513,2745,10895,3961,2762,2249,12729,8568,100.0,6.017224446626879,6.632922867719272,1.9377502455239102,10.368663594470046,41.15358464908967,14.961849361637833,10.432877540228148,8.495127294704238,48.081136209110824,32.363828662083556
020405,02,04,05,23844,1497,1412,349,2081,8891,2952,2252,4410,12108,4055,100.0,6.2783090085556115,5.921825197114578,1.4636805905049488,8.727562489515183,37.288206676732095,12.380473074987417,9.444724039590673,18.495218922999495,50.78007045797685,17.006374769334005
020407,02,04,07,24668,1460,1499,404,2799,9446,2868,2259,3933,12228,5876,100.0,5.918598994648939,6.076698556834765,1.6377493108480623,11.346683963029026,38.29252472839306,11.626398573050105,9.157613101994487,15.943732771201557,49.57029349764878,23.82033403599805
020506,02,05,06,30699,2219,1840,439,3032,15974,3736,1903,1556,14671,6521,100.0,7.228248477149093,5.993680575914525,1.430014006970911,9.876543209876543,52.03426821720577,12.16977751718297,6.198898986937685,5.0685690087625,47.78983028763152,21.2417342584449
020508,02,05,08,52742,3669,3084,716,5636,27592,6385,3057,2603,25160,11933,100.0,6.956505251981343,5.847332296841227,1.3575518562056805,10.685980812255886,52.3150430397027,12.106101399264343,5.796139698911683,4.935345644837132,47.70391718175268,22.625232262712828
030101,03,01,01,16598,1208,1384,411,1381,4441,1990,1988,3795,8408,2162,100.0,7.2779852994336665,8.338354018556453,2.4762019520424148,8.320279551753224,26.756235691047113,11.989396312808772,11.977346668273286,22.86420050608507,50.656705627183996,13.025665742860584
030202,03,02,02,28643,1971,2772,754,2084,7228,5097,3714,5023,14636,2580,100.0,6.881262437593827,9.677757218168487,2.632405823412352,7.27577418566491,25.23478685891841,17.79492371609119,12.966518870230074,17.53657088992075,51.09799951122438,9.007436371888419
030203,03,02,03,18242,1247,1751,559,1189,4395,3225,2712,3164,9319,930,100.0,6.835873259511019,9.598728209626138,3.064356978401491,6.5179256660453895,24.092752987611007,17.67898256770091,14.86679092204802,17.344589409056024,51.08540730183094,5.0981252055695645
030304,03,03,04,19605,1459,1822,566,1382,4831,3069,2785,3691,10117,1349,100.0,7.441979086967611,9.293547564396839,2.8870186176995665,7.049222137209895,24.641673042591176,15.654169854628922,14.205559806171895,18.8268298903341,51.60418260647794,6.880897730170875
030307,03,03,07,15644,848,1284,437,1091,3132,2841,2571,3440,7673,1225,100.0,5.420608540015341,8.20761953464587,2.7934032216824343,6.973919713628228,20.020455126566095,18.160317054461775,16.434415750447457,21.9892610585528,49.04755816926617,7.830478138583483
030405,03,04,05,17941,961,1699,595,1358,3923,3289,2440,3676,9247,1220,100.0,5.356446128978318,9.469929212418483,3.3164260632071794,7.569254779555208,21.866116715902123,18.332311465358675,13.60013377180759,20.489381862772422,51.541162699960985,6.800066885903795
030406,03,04,06,36065,2682,3545,877,2456,10784,5696,3603,6422,19102,2828,100.0,7.436572854568141,9.829474559822543,2.431720504644392,6.809926521558298,29.901566615832525,15.793705808956052,9.990295300152502,17.80673783446555,52.965478996256756,7.841397476778039
030408,03,04,08,34701,2322,2626,664,2555,11629,5214,3755,5936,18118,3599,100.0,6.691449814126393,7.567505259214431,1.9134895247975563,7.362900204605055,33.512002535949975,15.02550358779286,10.821013803636783,17.106135269876948,52.21175182271405,10.371459035762658
030509,03,05,09,38278,2884,3321,791,3142,13422,5829,3796,5093,19251,4867,100.0,7.534353936987303,8.676001880976017,2.0664611526203043,8.208370343278123,35.06452792726893,15.228068342128637,9.916923559224621,13.305292857516065,50.29259626939756,12.714875385338836
030510,03,05,10,15336,862,1073,265,1200,4173,2179,1874,3710,8016,1320,100.0,5.6207616066771,6.99660928534168,1.7279603547209181,7.82472613458529,27.210485133020345,14.208398539384454,12.21961398017736,24.191444966092853,52.26917057902973,8.607198748043817
030611,03,06,11,26108,1811,1881,361,2677,11883,4199,1647,1649,12802,5439,100.0,6.9365711659261535,7.204688218170675,1.3827179408610386,10.253562126551248,45.51478474030948,16.08319289106787,6.308411214953271,6.316071702160257,49.03477861191972,20.83269495939942
