id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
0101,01,01,100.0,4141.0,4373.0,1044.0,7289.0,23004.0,5818.0,3090.0,2743.0,25030.0,35105.0
0102,01,02,100.0,3122.0,4085.0,1130.0,6523.999999999999,15100.0,5224.0,3458.0,3390.0,19800.0,26229.000000000004
0103,01,03,100.0,4483.0,6416.0,1882.9999999999998,6727.0,15679.0,6159.0,3599.0,3472.0,23012.0,28593.0
0104,01,04,100.0,4446.0,5905.0,1755.9999999999998,8497.0,20739.0,7461.0,4665.0,4052.0000000000005,26537.0,37666.0
0201,02,01,100.0,2330.0,3670.0000000000005,1094.0,3522.9999999999995,8833.0,3964.0,2257.0,2262.0,13522.999999999998,14435.0
0202,02,02,100.0,2098.0,2556.0,749.0,3419.0,10988.0,3620.0000000000005,2164.0,2052.0,13350.0,16910.0
0203,02,03,100.0,1632.9999999999998,2399.0,750.0,3124.0,10045.0,3564.0,1971.0,2484.0,12482.0,16286.000000000002
0204,02,04,100.0,1416.0,1413.0,368.0,2553.0,6592.0,1392.0,828.9999999999999,797.0,7517.0,9931.0
0205,02,05,100.0,2196.0,1676.0000000000002,404.0,3960.0,14360.0,2004.0,877.9999999999999,561.0,12450.0,18454.0
0301,03,01,100.0,356.0,334.0,91.0,466.0,1066.0,237.0,175.0,238.0,1264.0,2162.0
0302,03,02,100.0,795.0,947.0000000000001,231.0,827.0,2118.0,785.0,430.99999999999994,606.0,3432.0,3510.0
0303,03,03,100.0,626.0,594.0,187.0,608.0,1353.0,453.0,296.0,447.0,2137.0,2574.0
0304,03,04,100.0,1639.9999999999998,1707.0,397.0,1525.0,5368.0,1489.0,758.0,1098.0,7048.0,7647.0
0305,03,05,100.0,1079.0,1063.0,268.0,1356.0,3686.9999999999995,911.9999999999999,471.0,470.0,4405.0,6187.0
0306,03,06,100.0,2719.0,2622.0,521.0,3749.0,13716.999999999998,2897.0,1031.0,1010.0,14061.000000000002,19012.0
0307,03,07,100.0,1950.0,1982.0,403.0,2036.0,9237.0,2202.0,750.0,589.0,9569.0,12803.0
0401,04,01,100.0,866.0,1120.0,294.0,1070.0,3057.0,1343.0,950.0,883.0,4768.0,5217.0
0402,04,02,100.0,953.9999999999999,1349.0,360.0,2193.0,4469.0,1787.0,1247.0,1443.0,6613.0,8556.0
0403,04,03,100.0,4441.0,5634.0,1610.0000000000002,7173.0,21978.0,9542.0,7198.0,8286.0,32757.0,40260.0
0404,04,04,100.0,1259.0,1928.0,499.0,1505.0,4895.0,2676.0,1942.0000000000002,2243.0,8736.0,9189.0
0405,04,05,100.0,2358.0,3041.0,921.0000000000001,3576.0,10831.0,4762.0,3729.9999999999995,4295.0,16709.0,19936.0
0406,04,06,100.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,13.0
0501,05,01,100.0,3911.0,5227.0,1459.0,4455.0,11932.0,5153.0,3639.0,3409.0000000000005,19200.0,21477.0
0502,05,02,100.0,3156.0,4374.0,1224.0,3797.0,9096.0,4090.0,2874.0,2593.0,15077.000000000002,17134.0
0503,05,03,100.0,1191.0,1592.0,413.0,1316.0,3822.0,1743.0,1335.0,1229.0,6241.0,6095.0
0504,05,04,100.0,344.0,666.0,172.0,314.0,772.0,486.00000000000006,385.0,426.0,1787.0,1512.0
0601,06,01,100.0,2023.0,2486.0,641.0,2320.0,7448.0,3272.9999999999995,2437.0,2591.0,11877.0,12015.0
0602,06,02,100.0,1913.0,2538.0,706.0,2346.0,6187.0,2866.0,2251.0,2391.0,10796.0,10705.0
0603,06,03,100.0,1764.0,2966.0,818.0,2707.0,5914.0,3064.0,2151.0,2308.0,10973.0,11627.0
0604,06,04,100.0,1300.0,2305.0,681.0,2377.0,4137.0,2388.0,1679.0,2085.0,8737.0,9283.0
0701,07,01,100.0,1741.0,2550.0,747.0,3103.0,8340.0,3822.9999999999995,2780.0,2981.0,12495.0,15905.000000000002
0702,07,02,100.0,1574.0,1939.9999999999998,585.0,2480.0,7291.0,2828.0,1907.9999999999998,1920.0,9995.0,11909.0
0703,07,03,100.0,1214.0,1714.0,476.0,1811.0,4729.0,2092.0,1483.0,1436.0,7627.0,7856.0
0704,07,04,100.0,2356.0,2867.0,741.0,3054.0,8729.0,3333.0,2096.0,2134.0,12245.0,13921.0
0705,07,05,100.0,1648.0,2041.0,579.0,1901.0000000000002,5533.0,2427.0,1822.0,1754.0,8798.0,8778.0
0706,07,06,100.0,1103.0,1654.0,436.00000000000006,1180.0,3244.0,1506.0,1270.0,1295.0,5836.0,5285.0
0707,07,07,100.0,1242.0,1814.9999999999998,538.0,1163.0,3096.0,1764.0,1269.0,1233.0,6114.0,5777.0
0801,08,01,100.0,7531.0,10313.0,2909.0,11318.0,35714.0,11211.0,6584.999999999999,6197.0,43929.0,56936.0
0802,08,02,100.0,2671.0,3484.0000000000005,993.0,3232.0,8048.0,3524.0,2274.0,2137.0,12621.0,13404.0
0803,08,03,100.0,1804.0,2372.0,678.0,1871.0,5070.0,2385.0,2017.0000000000002,1832.0,9077.0,7234.0
0804,08,04,100.0,1441.0,1959.0,611.0,1534.0,3745.0000000000005,2208.0,1433.0,1411.0,7123.0,5816.0
0901,09,01,100.0,1209.0,1182.0,308.0,1481.0,4451.0,1247.0,642.0,830.0000000000001,5464.0,6455.0
0902,09,02,100.0,1555.0,1352.0,379.0,2513.0,4780.0,1168.0,619.0,699.0,6108.0,9142.0
0903,09,03,100.0,720.0,972.0000000000001,221.0,765.0,2073.0,836.9999999999999,537.0,711.0,3313.0000000000005,3500.0
0904,09,04,100.0,434.99999999999994,484.0,139.0,451.99999999999994,1150.0,408.0,258.0,542.0,1843.0,2141.0
0905,09,05,100.0,507.0,514.0,123.0,578.0,1472.0,527.0,301.0,632.0,2320.0,2481.0
1001,10,01,100.0,2850.0,3631.0,978.9999999999999,3222.9999999999995,8036.0,2723.0,2302.0,2350.0,12537.0,13144.999999999998
1002,10,02,100.0,2284.0,2325.0,526.0,2118.0,5399.0,1664.9999999999998,1226.0,1278.0,8213.0,10050.0
1003,10,03,100.0,349.0,467.0,134.0,776.0,1210.0,409.0,321.0,463.99999999999994,2007.9999999999998,2310.0
