id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,395656,228441,247848,167215,80633,147808,100.0,57.73727682633398,62.64229532725398,42.26272317366601,20.379572153587965,37.357704672746024
02,02,292866,143628,202641,149238,53403,90225,100.0,49.042224088832434,69.1923951568294,50.957775911167566,18.234619245661836,30.8076048431706
03,03,425840,124361,342443,301479,40964,83397,100.0,29.203691527334207,80.41588390005636,70.79630847266579,9.61957542739057,19.584116099943643
04,04,343136,157368,249590,185768,63822,93546,100.0,45.861699151356895,72.73792315583324,54.138300848643105,18.599622307190153,27.262076844166742
05,05,257491,114588,189347,142903,46444,68144,100.0,44.501749575713326,73.53538570280126,55.498250424286674,18.037135278514587,26.464614297198736
06,06,310127,100831,254326,209296,45030,55801,100.0,32.512809268460984,82.00704872519967,67.48719073153902,14.519857993660661,17.992951274800323
07,07,355948,148894,273467,207054,66413,82481,100.0,41.830267342420804,76.82779507119018,58.169732657579196,18.658062413610978,23.172204928809826
08,08,329319,167020,235791,162299,73492,93528,100.0,50.716782208132535,71.5995736656555,49.283217791867465,22.31635587378803,28.40042633434451
09,09,295435,73564,245496,221871,23625,49939,100.0,24.900231861492376,83.09645099598897,75.09976813850763,7.996682857481341,16.903549004011033
10,10,292901,83963,236790,208938,27852,56111,100.0,28.66599977466789,80.8430152167456,71.3340002253321,9.509014991413482,19.156984783254412
11,11,313131,110987,235306,202144,33162,77825,100.0,35.4442709281419,75.14618482360417,64.55572907185811,10.590455751746074,24.85381517639582
12,12,274196,111837,208044,162359,45685,66152,100.0,40.787247078732,75.87419218369341,59.212752921268,16.661439262425418,24.125807816306583
