id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
0110,01,10,124331,65633,79714,58698,21016,44617,100.0,52.78892633373816,64.11433994739848,47.21107366626183,16.903266281136645,35.88566005260152
0120,01,20,89877,49650,57815,40227,17588,32062,100.0,55.24216429119797,64.32680218520868,44.75783570880203,19.568966476406644,35.67319781479132
0130,01,30,78592,51574,47715,27018,20697,30877,100.0,65.62245521172639,60.712286237785015,34.37754478827362,26.3347414495114,39.287713762214985
0140,01,40,102856,61584,62604,41272,21332,40252,100.0,59.873998599984446,60.86567628529206,40.126001400015554,20.7396748852765,39.13432371470794
0210,02,10,41369,29197,25495,12172,13323,15874,100.0,70.577002103024,61.62827237786749,29.422997896975993,32.20527448089149,38.37172762213251
0220,02,20,64694,29825,46706,34869,11837,17988,100.0,46.101647757133584,72.19525767459115,53.89835224286642,18.296905431724735,27.80474232540885
0230,02,30,45865,25032,30445,20833,9612,15420,100.0,54.57756459173662,66.37959228169629,45.42243540826338,20.9571568734329,33.62040771830372
0240,02,40,52843,23223,37276,29620,7656,15567,100.0,43.94716424124292,70.54103665575384,56.05283575875707,14.488200896996764,29.458963344246165
0250,02,50,88095,36351,62719,51744,10975,25376,100.0,41.26340882002384,71.19473295873773,58.73659117997616,12.458141778761563,28.805267041262272
0310,03,10,17751,4925,13948,12826,1122,3803,100.0,27.74491577939271,78.57585488141513,72.25508422060729,6.320770660807843,21.42414511858487
0320,03,20,48949,10507,42497,38442,4055,6452,100.0,21.465198471878892,86.81893399252283,78.53480152812111,8.284132464401724,13.18106600747717
0330,03,30,37544,8080,32057,29464,2593,5487,100.0,21.521414873215427,85.38514809290433,78.47858512678457,6.906562966119753,14.614851907095675
0340,03,40,95050,22981,80897,72069,8828,14153,100.0,24.17780115728564,85.10994213571804,75.82219884271436,9.287743293003683,14.890057864281959
0350,03,50,57350,15663,46238,41687,4551,11112,100.0,27.311246730601567,80.62423714036618,72.68875326939843,7.935483870967743,19.375762859633827
0360,03,60,108165,39397,80857,68768,12089,27308,100.0,36.423057366061116,74.7533860306014,63.57694263393889,11.176443396662506,25.246613969398602
0370,03,70,61031,22808,45949,38223,7726,15082,100.0,37.371172027330374,75.28796840949681,62.62882797266963,12.659140436827185,24.712031590503187
0410,04,10,19532,11099,13091,8433,4658,6441,100.0,56.824697931599424,67.02334630350194,43.175302068400576,23.848044235101373,32.976653696498055
0420,04,20,41101,15198,31967,25903,6064,9134,100.0,36.97720250115569,77.77669643074377,63.022797498844305,14.753898931899467,22.223303569256224
0430,04,30,109830,54898,76434,54932,21502,33396,100.0,49.9845215332787,69.59300737503415,50.0154784667213,19.577528908312846,30.406992624965856
0440,04,40,54253,20814,42764,33439,9325,11489,100.0,38.364698726337714,78.8232908779238,61.63530127366229,17.187989604261517,21.176709122076197
0450,04,50,118420,55359,85334,63061,22273,33086,100.0,46.74801553791589,72.06046275966898,53.25198446208411,18.80847829758487,27.939537240331024
0510,05,10,112355,53422,79389,58933,20456,32966,100.0,47.54750567397979,70.65907169240354,52.45249432602021,18.20657736638334,29.34092830759646
0520,05,20,91916,39145,68030,52771,15259,23886,100.0,42.5877975542887,74.013229470386,57.4122024457113,16.601027024674703,25.986770529613995
0530,05,30,33169,17851,23572,15318,8254,9597,100.0,53.81832433899123,71.06635714070367,46.181675661008775,24.884681479694894,28.93364285929633
0540,05,40,20051,4170,18356,15881,2475,1695,100.0,20.796967732282678,91.54655628148221,79.20303226771732,12.343524013764899,8.453443718517779
0610,06,10,76193,27957,60760,48236,12524,15433,100.0,36.692347066003435,79.7448584515638,63.307652933996565,16.43720551756723,20.25514154843621
