id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0110,01,10,124331,6549,8603,2579,12867,46858,16453,14121,16301,60837,44617,100.0,5.2673910770443415,6.919432804368983,2.0743016624976875,10.348987782612543,37.688106747311615,13.233224216004052,11.357585799197304,13.110969910963476,48.931481287852584,35.88566005260152
0120,01,20,89877,4584,5974,1885,11321,33934,9848,10240,12091,42944,32062,100.0,5.1003037484562235,6.646861822268211,2.0973107691622994,12.596103563759359,37.75604437175251,10.957197058201764,11.393348687650901,13.452829978748735,47.780856058835965,35.67319781479132
0130,01,30,78592,4594,7442,2514,10862,26199,9520,8270,9191,38172,30877,100.0,5.845378664495114,9.469157166123779,3.198798859934853,13.820745114006513,33.33545399022802,12.113192182410423,10.522699511400651,11.694574511400651,48.56982899022802,39.287713762214985
0140,01,40,102856,5403,7237,2417,13408,37669,11392,11582,13748,49764,40252,100.0,5.252975033055923,7.036050400560007,2.349887220969122,13.035700396671073,36.62304581162013,11.075678618651319,11.260402893365482,13.366259625106947,48.38220424671385,39.13432371470794
0210,02,10,41369,2240,3698,1431,5309,13137,5375,4962,5217,20368,15874,100.0,5.414682491720853,8.939060649278446,3.459111895380599,12.833280959172328,31.755662452561097,12.99282071116053,11.994488626749499,12.61089221397665,49.234934371147475,38.37172762213251
0220,02,20,64694,3328,4718,1611,6241,22722,8964,8877,8233,31967,17988,100.0,5.144217392648468,7.292793767582774,2.4901845611648685,9.646953349615112,35.12226790737935,13.855999010727423,13.721519769994126,12.726064240887872,49.41261940829134,27.80474232540885
0230,02,30,45865,1996,3157,1106,4578,16379,7191,6098,5360,22022,15420,100.0,4.351902322032051,6.883244303935462,2.4114248337512265,9.981467349831027,35.71132671972092,15.678622042952142,13.295541262400523,11.68647116537665,48.014826120135176,33.62040771830372
0240,02,40,52843,2908,3636,1051,5498,20508,6098,5241,7903,26216,15567,100.0,5.503094071116326,6.880759987131692,1.9889105463353707,10.40440550309407,38.80930302972958,11.539844444864977,9.918059156368866,14.955623261359122,49.61111216244347,29.458963344246165
0250,02,50,88095,5032,6287,1606,8280,42396,12364,7095,5035,42209,25376,100.0,5.712015437879562,7.136613882740224,1.8230319541404167,9.39894432147114,48.125319257619616,14.034848742834441,8.053805550825812,5.715420852488791,47.91304841364436,28.805267041262272
0310,03,10,17751,1153,1696,467,1721,4712,1992,2101,3909,8856,3803,100.0,6.495408709368486,9.554391301898486,2.6308376992845472,9.695228437834489,26.544983381217957,11.221902991380766,11.835952904061743,22.021294574953522,49.89014703396992,21.42414511858487
