id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01100101,01,10,01,01,100.0,134.0,171.0,38.0,362.0,1016.0,272.0,186.0,252.99999999999997,1187.0,1663.0
01100102,01,10,01,02,100.0,83.0,109.00000000000001,31.0,151.0,643.0,190.0,141.0,92.0,677.0,1096.0
01100103,01,10,01,03,100.0,239.0,291.0,90.0,400.0,1284.0,424.0,353.0,405.0,1709.0,2171.0
01100104,01,10,01,04,100.0,195.0,299.0,105.0,496.0,1271.0,401.0,291.0,243.00000000000003,1573.0,2023.9999999999998
01100205,01,10,02,05,100.0,112.00000000000001,148.0,48.0,279.0,908.0,227.0,121.0,166.0,919.9999999999999,1502.0
01100206,01,10,02,06,100.0,63.0,82.0,25.0,108.0,422.0,138.0,106.0,55.00000000000001,512.0,676.0
01100207,01,10,02,07,100.0,373.0,463.0,108.0,501.0,2229.0,559.0,364.0,422.0,2527.0,3290.0
01100308,01,10,03,08,100.0,271.0,284.0,50.0,420.0,1795.0,442.0,212.0,181.0,1807.9999999999998,2576.0
01100309,01,10,03,09,100.0,392.0,501.0,197.0,541.0,2481.0,806.0,436.00000000000006,210.0,2783.0,3622.0
01100310,01,10,03,10,100.0,364.0,417.0,113.99999999999999,687.0,2662.0,576.0,396.0,280.0,2592.0,3884.0000000000005
01100311,01,10,03,11,100.0,407.0,586.0,168.0,916.0,1982.9999999999998,562.0,342.0,320.0,2657.0,3489.0
01100312,01,10,03,12,100.0,451.0,478.0,102.0,530.0,2615.0,632.0,353.0,303.0,2595.0,3668.0
01100313,01,10,03,13,100.0,385.0,446.0,129.0,1128.0,2593.0,594.0,358.0,258.0,2909.0,4108.0
01100414,01,10,04,14,100.0,322.0,383.0,64.0,266.0,1793.0,311.0,95.0,55.00000000000001,1651.0000000000002,2491.0
01100415,01,10,04,15,100.0,413.0,602.0,187.0,740.0,2922.0,767.0,391.0,204.99999999999997,3121.0,4312.0
01100416,01,10,04,16,100.0,479.0,561.0,169.0,528.0,2952.0,802.9999999999999,358.0,227.0,3077.0,4045.0000000000005
