id,district_id,forecast_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
0110,01,10,100.0,17976.0,2117.0,815.0,2669.0,1197.0,1705.9999999999998,2327.0,1220.0,939.0,398.0,1913.0,1939.0,351.0,565.0,10543.0,4417.0,3304.0,419.00000000000006,14454.0,4059.0000000000005,1019.0,6403.0,647.0,1943.0,2232.0,3014.0,2032.0
0120,01,20,100.0,13238.999999999998,1229.0,720.0,1583.0,559.0,801.0,2928.0,1492.0,857.0,577.0,894.9999999999999,2773.0,501.0,936.0,5155.0,1821.0,1948.9999999999998,204.99999999999997,16660.0,6310.0,838.0000000000001,6756.999999999999,1755.0,1595.0,423.00000000000006,961.0,2624.0
0130,01,30,100.0,11148.0,728.0,772.0,1089.0,324.0,583.0,2467.0,2046.0,992.0,523.0,539.0,3270.0000000000005,797.0,952.9999999999999,3819.0,1316.0,1291.0,313.0,24582.0,13072.0,373.0,8126.000000000001,2314.0,1939.9999999999998,272.0,618.0,3890.0
0140,01,40,100.0,16261.000000000002,1210.0,1017.0,1559.0,516.0,749.0,3594.0,3367.0,1240.0,653.0,821.0000000000001,3945.0000000000005,1025.0,1155.0,4212.0,1310.0,1664.0,189.0,25140.0,12423.0,551.0,8347.0,2021.0,1938.0,440.00000000000006,741.0,3731.0
0210,02,10,100.0,4378.0,374.0,365.0,561.0,172.0,250.99999999999997,882.0,636.0,222.00000000000003,181.0,287.0,893.0,300.0,213.0,2746.0,607.0,1446.0,88.0,15194.999999999998,9704.0,338.0,4089.0,1227.0,917.0,229.0,326.0,3200.0
0220,02,20,100.0,9474.0,1260.0,560.0,1621.0,574.0,859.0,1281.0,442.0,356.0,411.00000000000006,1106.0,1224.0,256.0,305.0,1860.0000000000002,626.0,713.0,87.0,8809.0,4664.0,350.0,2768.0,878.9999999999999,648.0,147.0,1459.0,1673.9999999999998
0230,02,30,100.0,6188.0,828.9999999999999,345.0,1064.0,384.0,631.0,687.0,425.0,190.0,139.0,761.0,647.0,163.0,180.0,1035.0,281.0,422.0,53.0,10967.0,8460.0,215.0,1537.0,328.0,434.99999999999994,55.00000000000001,831.0,1910.0000000000002
0240,02,40,100.0,6212.0,627.0,227.0,982.0,318.0,564.0,955.0000000000001,482.0,334.0,153.0,498.00000000000006,983.0,198.0,241.0,3343.0,1303.0,1002.9999999999999,229.99999999999997,5325.0,1224.0,291.0,2320.0,137.0,1072.0,2067.0,666.0,760.0
0250,02,50,100.0,13330.000000000002,1800.0,549.0,2371.0,699.0,1464.0,1642.0000000000002,508.0,615.0,281.0,1405.0,1377.0,361.0,372.0,3952.0000000000005,1541.0,1226.0,275.0,5968.0,1521.0,292.0,2563.0,140.0,1043.0,1370.0,1700.0,905.0000000000001
0310,03,10,100.0,917.0,27.0,21.0,38.0,66.0,36.0,379.0,117.0,43.0,15.0,30.0,191.0,51.0,56.00000000000001,1249.0,338.0,388.0,46.0,1929.0,296.0,88.0,851.0,24.0,386.0,196.0,30.0,82.0
