id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,16352.000000000002,21527.0,6730.0,27774.0,81470.0,25926.0,17256.0,15281.0,101690.0,134342.0
02,02,100.0,10283.0,12042.0,3781.0,14969.0,57488.0,16050.0,10012.0,8993.0,64713.0,82495.0
03,03,100.0,10708.0,11761.0,2889.0,10725.0,45062.0,11414.0,5375.0,4852.0,51295.00000000001,65470.00000000001
04,04,100.0,10336.0,14138.0,4228.0,15006.0,46355.0,19788.0,15310.0,17212.0,71736.0,81154.0
05,05,100.0,9615.0,13610.0,4115.0,10051.0,29752.0,13060.0,9478.0,9148.0,48630.0,54744.00000000001
06,06,100.0,7355.0,11461.0,3433.0,9672.0,26245.0,12622.0,9613.0,10646.0,46501.0,47784.0
07,07,100.0,11585.0,15388.0,4838.0,13572.0,43593.0,18574.0,13872.999999999998,14502.000000000002,67200.0,72389.0
08,08,100.0,13062.0,18597.0,5983.0,15974.0,56276.0,20576.0,14675.0,13130.000000000002,76661.0,86873.0
09,09,100.0,6239.0,6272.0,1701.0000000000002,6939.0,20945.0,5507.0,3159.0,3520.0000000000005,26314.0,34011.0
10,10,100.0,7548.0,8958.0,2506.0,7603.0,21192.0,6954.000000000001,4819.0,5370.0,31586.0,38720.0
11,11,100.0,10051.0,10678.0,2815.0,12745.0,34037.0,8645.0,5859.0,5168.0,43100.0,59941.0
12,12,100.0,9303.0,12930.000000000002,4059.0000000000005,10640.0,29581.0,12749.0,9165.0,8482.0,46971.0,53411.0
