id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
0110,01,10,100.0,4640.0,5064.0,1346.0,7220.999999999999,26639.999999999996,6673.0,3756.0,3098.0,28627.999999999996,39324.0
0120,01,20,100.0,3236.0,4211.0,1382.0,6211.0,17878.0,5530.0,3892.0,3842.0,21806.0,29025.0
0130,01,30,100.0,4164.0,6473.999999999999,2083.0,6390.0,16088.0,6321.0,4298.0,3811.0,23893.0,28867.0
0140,01,40,100.0,4312.0,5778.0,1919.0000000000002,7952.0,20864.0,7402.0,5310.0,4530.0,27363.0,37126.0
0210,02,10,100.0,2116.0,3399.0,1206.0,2968.0,8959.0,3947.0,2806.0,2452.0,13693.0,14311.000000000002
0220,02,20,100.0,2062.0,2549.0,836.9999999999999,2939.0,11440.0,3890.9999999999995,2582.0,2299.0,13857.0,17146.0
0230,02,30,100.0,1438.0,2116.0,795.0,2546.0,9695.0,3709.0000000000005,2439.0,2595.0,12111.0,15551.0
0240,02,40,100.0,1780.9999999999998,1707.0,463.0,2860.0,9059.0,1723.0,994.0,928.9999999999999,9478.0,12951.0
0250,02,50,100.0,2886.0,2271.0,480.0,3656.0,18335.0,2780.0,1191.0,718.0,15574.0,22536.0
0310,03,10,100.0,428.0,450.0,112.00000000000001,412.0,1216.0,345.0,186.0,241.0,1535.0,2393.0
0320,03,20,100.0,864.0,1183.0,318.0,933.0,2510.0,949.0,536.0,655.0,4064.0,4285.0
0330,03,30,100.0,767.0,927.9999999999999,193.0,636.0,1839.9999999999998,607.0,353.0,447.0,2851.0,3420.0000000000005
0340,03,40,100.0,2135.0,2368.0,543.0,1782.0,7581.0,1980.9999999999998,1022.0000000000001,1154.0,9382.0,10650.0
0350,03,50,100.0,1470.0,1474.0,372.0,1399.0,5533.0,1220.0,625.0,551.0,6133.0,8563.0
0360,03,60,100.0,3074.0,3218.0,751.0,3506.0,16468.0,3665.0,1583.0,1133.0,16658.0,22458.0
0370,03,70,100.0,1970.0,2140.0,600.0,2057.0,9914.0,2647.0,1070.0,671.0,10672.0,13701.0
0410,04,10,100.0,890.0,1243.0,341.0,1038.0,3165.0,1447.0,1035.0,977.9999999999999,5021.0,5655.0
0420,04,20,100.0,980.0000000000001,1479.0,444.00000000000006,1938.0,4252.0,1809.0,1296.0,1479.0,6812.0,7914.0
0430,04,30,100.0,3381.0,4288.0,1339.0,5452.0,17119.0,6730.0,5242.0,5954.0,24816.0,28943.0
0440,04,40,100.0,1502.0,2271.0,658.0,1628.0,5273.0,2755.0,2058.0,2331.0,9535.0,9694.0
0450,04,50,100.0,3583.0,4857.0,1446.0,4950.0,16546.0,7047.0,5679.0,6470.0,25552.0,28948.0
0510,05,10,100.0,4533.0,6150.0,1812.0,4729.0,14036.000000000002,5948.0,4201.0,4186.0,22397.0,26069.0
0520,05,20,100.0,3329.0,4918.0,1504.0,3581.0,10091.0,4439.0,3350.0,2981.0,16755.0,19487.0
0530,05,30,100.0,1408.0,1869.0000000000002,586.0,1493.0,4845.0,2065.0,1527.0,1498.0,7526.000000000001,7837.0
0540,05,40,100.0,345.0,673.0,213.0,248.0,780.0,608.0,400.0,483.0,1952.0,1351.0
0610,06,10,100.0,2041.0,2809.0,765.0,2367.0,8066.0,3568.0,2687.0,2938.0,13052.000000000002,13136.000000000002
