id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
011001,01,10,01,100.0,635.0,882.0,252.0,1466.0,4276.0,1270.0,948.0,983.0,5158.0,7055.0
011002,01,10,02,100.0,576.0,699.0,185.0,901.0,3529.9999999999995,965.0,633.0,584.0,4004.0,5610.0
011003,01,10,03,100.0,2316.0,2643.0,741.0,4223.0,13969.999999999998,3538.0000000000005,1993.0,1510.0,15158.000000000002,21216.0
011004,01,10,04,100.0,1232.0,1563.0,426.0,1494.0,7701.000000000001,1867.0000000000002,764.0,480.99999999999994,7838.0,10850.0
012005,01,20,05,100.0,1565.0,2222.0,737.0,3385.0,9587.0,3063.0,2310.0,2145.0,11672.0,16515.0
012006,01,20,06,100.0,1718.0,2201.0,714.0,3095.0,10029.0,2813.0,1946.0,1889.9999999999998,11808.0,15472.999999999998
013007,01,30,07,100.0,1870.0,3072.0,1072.0,3297.9999999999995,8620.0,3285.0,2287.0,1839.9999999999998,11963.0,16593.0
013008,01,30,08,100.0,1963.0,3378.0,1144.0,3544.0,8424.0,3438.0000000000005,2476.0,2161.0,12966.0,14672.0
014009,01,40,09,100.0,1838.0,2292.0,761.0,3032.0,9174.0,3073.0,2276.0,1961.0,11639.0,15518.0
014010,01,40,10,100.0,2315.0,3559.0000000000005,1293.0,5424.0,13555.000000000002,4645.0,3602.0000000000005,2919.0,17426.0,24907.0
021001,02,10,01,100.0,1953.0,3318.0,1301.0,3174.0,9384.0,4217.0,3126.0,2495.0,14305.000000000002,15622.999999999998
022002,02,20,02,100.0,1994.0000000000002,2614.0,885.0,3178.0,11884.0,4040.0,2710.0,2338.0,14507.0,17824.0
023003,02,30,03,100.0,564.0,980.0000000000001,395.0,1047.0,3872.0,1869.0000000000002,1276.0,1254.0,5434.0,6697.0
023004,02,30,04,100.0,729.0,1080.0,384.0,1425.0,5763.0,2064.0,1222.0,1176.0,6578.0,8781.0
024005,02,40,05,100.0,924.0,994.0,292.0,1003.9999999999999,4796.0,953.9999999999999,557.0,450.0,5028.0,6315.0
024006,02,40,06,100.0,941.0,1008.0,267.0,2235.0,5942.0,1116.0,665.0,560.0,6071.0,8919.0
025007,02,50,07,100.0,923.0,992.0,231.0,1259.0,6894.0,1135.0,517.0,331.0,6060.0,8445.0
025008,02,50,08,100.0,1828.0,1727.0,429.0,2772.0,13657.0,2142.0,892.0,496.0,11403.0,16921.0
031001,03,10,01,100.0,552.0,610.0,163.0,744.0,1746.0,493.0,257.0,256.0,2122.0,3751.0
032002,03,20,02,100.0,624.0,919.0,210.0,1115.0,2261.0,713.0,434.0,359.0,3285.0,4387.0
032003,03,20,03,100.0,405.0,503.0,181.0,260.0,1142.0,436.00000000000006,260.0,287.0,1797.0,1794.0000000000002
033004,03,30,04,100.0,501.99999999999994,731.0,163.0,409.99999999999994,1214.0,450.0,234.0,263.0,1994.0000000000002,2476.0
033005,03,30,05,100.0,441.0,530.0,136.0,428.0,1377.0,317.0,159.0,136.0,1716.0,2518.0
034006,03,40,06,100.0,459.0,605.0,186.0,471.0,1399.0,574.0,331.0,301.0,2171.0,2170.0
034007,03,40,07,100.0,985.0,1185.0,326.0,866.0,3621.0,889.0,461.00000000000006,418.0,4522.0,5331.0
034008,03,40,08,100.0,893.0,938.0000000000001,241.0,1219.0,4360.0,875.0,438.99999999999994,376.0,4686.0,6397.0
