id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01100101,01,10,01,01,3680,2426,2020,1254,766,1660,100.0,65.92391304347827,54.891304347826086,34.07608695652174,20.815217391304348,45.108695652173914
01100102,01,10,01,02,2040,1443,922,597,325,1118,100.0,70.73529411764706,45.19607843137255,29.264705882352942,15.931372549019606,54.80392156862746
01100103,01,10,01,03,5720,3517,3495,2203,1292,2225,100.0,61.48601398601399,61.10139860139861,38.51398601398601,22.587412587412587,38.8986013986014
01100104,01,10,01,04,4997,3326,2945,1671,1274,2052,100.0,66.55993596157694,58.935361216730044,33.44006403842306,25.495297178306984,41.06463878326996
01100205,01,10,02,05,2960,2012,1427,948,479,1533,100.0,67.97297297297298,48.20945945945946,32.027027027027025,16.182432432432435,51.79054054054054
01100206,01,10,02,06,1916,1051,1182,865,317,734,100.0,54.853862212943625,61.691022964509386,45.14613778705637,16.54488517745303,38.30897703549061
01100207,01,10,02,07,8806,5010,5463,3796,1667,3343,100.0,56.89302748126277,62.03724733136497,43.10697251873722,18.930274812627754,37.96275266863502
01100308,01,10,03,08,7446,3714,4794,3732,1062,2652,100.0,49.87912973408542,64.38356164383562,50.12087026591458,14.26269137792103,35.61643835616438
01100309,01,10,03,09,12575,5553,8943,7022,1921,3632,100.0,44.15904572564612,71.11729622266402,55.840954274353884,15.27634194831014,28.882703777335983
01100310,01,10,03,10,10190,5464,6293,4726,1567,3897,100.0,53.62119725220804,61.75662414131502,46.37880274779195,15.37782139352306,38.243375858684985
01100311,01,10,03,11,9720,5174,6267,4546,1721,3453,100.0,53.23045267489712,64.4753086419753,46.76954732510288,17.70576131687243,35.52469135802469
01100312,01,10,03,12,10271,5202,6750,5069,1681,3521,100.0,50.647453996689705,65.719014701587,49.352546003310295,16.3664686982767,34.28098529841301
01100313,01,10,03,13,11420,5827,7359,5593,1766,4061,100.0,51.0245183887916,64.43957968476357,48.9754816112084,15.464098073555165,35.56042031523643
01100414,01,10,04,14,5542,3287,3026,2255,771,2516,100.0,59.310718152291585,54.601226993865026,40.68928184770841,13.911945146156624,45.39877300613497
01100415,01,10,04,15,13469,6225,9174,7244,1930,4295,100.0,46.21723958720024,68.11196079887148,53.78276041279976,14.329200386071719,31.888039201128514
01100416,01,10,04,16,13560,6016,9521,7544,1977,4039,100.0,44.365781710914455,70.21386430678466,55.634218289085545,14.579646017699115,29.78613569321534
01200517,01,20,05,17,3898,2435,2141,1463,678,1757,100.0,62.46793227296049,54.92560287326834,37.53206772703951,17.393535146228835,45.07439712673166
01200518,01,20,05,18,7009,4534,3847,2475,1372,3162,100.0,64.68825795405907,54.88657440433728,35.31174204594093,19.574832358396346,45.11342559566272
01200519,01,20,05,19,9593,5519,5773,4074,1699,3820,100.0,57.53153340977797,60.17929740435734,42.468466590222036,17.710830814135306,39.82070259564266
01200520,01,20,05,20,9496,4728,6546,4768,1778,2950,100.0,49.7893850042123,68.93428812131424,50.210614995787694,18.72367312552654,31.065711878685764
01200521,01,20,05,21,5343,3289,3206,2054,1152,2137,100.0,61.55717761557178,60.00374321542205,38.44282238442822,21.560920830993823,39.99625678457795
01200522,01,20,05,22,11620,4509,8931,7111,1820,2689,100.0,38.80378657487091,76.85886402753873,61.19621342512909,15.66265060240964,23.141135972461274
01200623,01,20,06,23,11008,5892,7293,5116,2177,3715,100.0,53.524709302325576,66.25181686046511,46.475290697674424,19.7765261627907,33.74818313953488
01200624,01,20,06,24,6562,4766,3168,1796,1372,3394,100.0,72.6302956415727,48.277964035355076,27.36970435842731,20.908259676927766,51.72203596464493
01200625,01,20,06,25,6929,4242,4457,2687,1770,2472,100.0,61.22095540482032,64.32385625631404,38.77904459517968,25.544811661134364,35.676143743685955
01200626,01,20,06,26,5994,2760,4252,3234,1018,1742,100.0,46.046046046046044,70.9376042709376,53.953953953953956,16.98365031698365,29.062395729062395
01200627,01,20,06,27,3360,2250,2169,1110,1059,1191,100.0,66.96428571428571,64.55357142857143,33.035714285714285,31.517857142857142,35.44642857142858
01200628,01,20,06,28,3301,1540,2411,1761,650,890,100.0,46.65252953650409,73.03847318994244,53.3474704634959,19.691002726446534,26.961526810057556
01200629,01,20,06,29,5951,2956,3882,2995,887,2069,100.0,49.67232397916316,65.23273399428668,50.32767602083683,14.90505797344984,34.767266005713324
