id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
011001,01,10,01,100.0,2546.0,322.0,126.0,317.0,128.0,191.0,438.99999999999994,192.0,216.0,81.0,204.0,387.0,83.0,144.0,1876.0000000000002,776.0,598.0,87.0,3163.0,927.0,256.0,1457.0,225.99999999999997,312.0,79.0,257.0,487.0
011002,01,10,02,100.0,2016.0,168.0,99.0,246.0,111.00000000000001,166.0,263.0,327.0,92.0,27.0,153.0,184.0,41.0,62.0,1946.0,983.0,517.0,75.0,1723.9999999999998,425.0,120.0,844.0,96.0,229.99999999999997,264.0,231.0,243.00000000000003
011003,01,10,03,100.0,8263.0,957.0,343.0,1269.0,509.0,793.0,1080.0,564.0,425.0,154.0,857.0,911.0,127.0,266.0,4544.0,1845.0,1404.0,204.99999999999997,6762.0,1972.0,416.0,2968.0,235.0,989.0,1634.0,1457.0,983.0
011004,01,10,04,100.0,5218.0,701.0,242.0,838.0000000000001,451.0,509.0,579.0,181.0,216.0,110.00000000000001,708.0,385.0,62.0,100.0,2421.0,871.0000000000001,855.0000000000001,75.0,2569.0,614.0,240.0,1032.0,74.0,282.0,206.99999999999997,977.9999999999999,288.0
012005,01,20,05,100.0,7034.0,621.0,372.0,758.0,276.0,409.0,1569.0,955.0000000000001,549.0,377.0,447.0,1623.9999999999998,275.0,557.0,2235.0,663.0,952.9999999999999,78.0,8537.0,2942.0,382.0,3686.0,989.0,898.0,229.99999999999997,472.0,1219.0
012006,01,20,06,100.0,6261.0,590.0,356.0,726.0,292.0,407.0,1414.0,540.0,372.0,215.0,430.99999999999994,1151.0,252.99999999999997,337.0,2895.0,1121.0,994.9999999999999,147.0,8025.0,3384.0000000000005,437.0,2971.0,649.0,741.0,200.0,492.0,1456.0
013007,01,30,07,100.0,6402.0,331.0,585.0,518.0,156.0,302.0,1239.0,1498.0,709.0,252.99999999999997,279.0,1829.0,463.99999999999994,626.0,1701.0000000000002,528.0,657.0,96.0,11574.0,5995.0,162.0,3740.0,935.0,976.0,101.0,259.0,1548.0
013008,01,30,08,100.0,4840.0,331.0,217.0,566.0,167.0,290.0,1253.0,575.0,361.0,267.0,254.0,1519.0,365.0,403.0,2145.0,783.0,718.0,216.0,13365.0,7459.999999999999,182.0,4324.0,1388.0,964.0,139.0,361.0,2217.0
014009,01,40,09,100.0,6806.0,523.0,382.0,670.0,178.0,298.0,1757.9999999999998,1293.0,372.0,335.0,349.0,1705.9999999999998,371.0,437.0,1847.0,543.0,733.0,82.0,9331.0,4524.0,204.0,3019.0,582.0,778.0,200.99999999999997,316.0,1580.0
014010,01,40,10,100.0,9875.0,686.0,693.0,911.0,333.0,479.0,1962.0,2178.0,902.0,321.0,466.0,2239.0,667.0,694.0,2451.0,747.0,1016.0,118.0,15672.999999999998,7814.0,325.0,5247.0,1503.0,1158.0,270.0,450.0,2146.0
021001,02,10,01,100.0,4514.0,378.0,349.0,567.0,209.0,265.0,921.0000000000001,654.0,247.00000000000003,183.0,289.0,917.0,334.0,220.00000000000003,2636.0,622.0,1315.0,84.0,15177.000000000002,9777.0,279.0,4093.0,1250.0,885.0,192.0,332.0,3188.0
022002,02,20,02,100.0,9682.0,1353.0,549.0,1657.0,586.0,853.9999999999999,1262.0,497.0,345.0,455.99999999999994,1050.0,1252.0,227.99999999999997,317.0,1823.9999999999998,619.0,694.0,80.0,8443.0,4643.0,328.0,2580.0,802.9999999999999,584.0,126.0,1517.0,1743.0
023003,02,30,03,100.0,2343.0,312.0,129.0,378.0,178.0,204.99999999999997,236.0,200.99999999999997,61.0,64.0,288.0,254.99999999999997,72.0,62.0,405.0,89.0,185.0,16.0,5763.0,4729.0,90.0,675.0,124.0,174.0,30.0,248.0,1022.0000000000001
023004,02,30,04,100.0,3978.0,558.0,214.0,721.0,240.0,409.99999999999994,447.0,231.99999999999997,105.0,67.0,513.0,362.0,86.0,95.0,575.0,185.0,224.00000000000003,31.0,5138.0,3729.9999999999995,142.0,867.0,217.0,211.0,21.0,572.0,902.9999999999999
024005,02,40,05,100.0,2898.0,312.0,115.99999999999999,418.0,162.0,250.99999999999997,441.0,206.0,154.0,84.0,197.0,424.0,120.0,92.0,1400.0,535.0,448.00000000000006,98.0,1862.0,369.0,91.0,838.0000000000001,60.0,369.0,1071.0,276.0,381.0
024006,02,40,06,100.0,3299.0,328.0,124.0,499.0,151.0,344.0,487.0,292.0,176.0,66.0,295.0,569.0,92.0,135.0,1780.9999999999998,710.0,512.0,130.0,3269.0,811.9999999999999,183.0,1430.0,81.0,636.0,935.0,384.0,411.00000000000006
025007,02,50,07,100.0,4605.0,644.0,160.0,853.9999999999999,275.0,486.00000000000006,637.0,185.0,219.0,93.0,440.00000000000006,488.0,151.0,120.0,1447.0,574.0,486.00000000000006,106.0,1807.9999999999998,395.0,107.0,775.0,51.0,289.0,499.0,527.0,282.0
025008,02,50,08,100.0,8916.0,1174.0,364.0,1560.0,455.0,983.0,1046.0,407.0,405.99999999999994,149.0,942.0,885.0,211.0,283.0,2596.0,1038.0,780.0,172.0,4039.0,1023.0,219.0,1802.0,108.0,717.0,817.0,1133.0,492.0
