id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,397134,228258,248725,168876,79849,148409,100.0,57.47631781715995,62.629993906338925,42.52368218284005,20.10631172349887,37.370006093661075
02,02,293454,142641,203929,150813,53116,89525,100.0,48.607618229773664,69.49266324534679,51.392381770226336,18.10028147512046,30.507336754653195
03,03,424307,121077,342850,303230,39620,81457,100.0,28.535235100999984,80.80234358612985,71.46476489900002,9.337578687129836,19.197656413870146
04,04,343081,155359,251010,187722,63288,92071,100.0,45.28347533089853,73.16348034429187,54.71652466910146,18.446955675190406,26.83651965570813
05,05,257091,112550,190137,144541,45596,66954,100.0,43.77827306284545,73.95708134473786,56.22172693715455,17.735354407583305,26.04291865526214
06,06,310446,99480,255323,210966,44357,55123,100.0,32.04422025086488,82.24393292231177,67.95577974913512,14.288153173176655,17.75606707768823
07,07,355868,147362,274362,208506,65856,81506,100.0,41.409174188182135,77.09656389447773,58.59082581181787,18.50573808265986,22.903436105522275
08,08,330017,165948,236972,164069,72903,93045,100.0,50.28468230424493,71.80599787283685,49.71531769575507,22.090680177081786,28.19400212716315
09,09,294081,70981,245795,223100,22695,48286,100.0,24.13654741380776,83.58071415698396,75.86345258619224,7.717261570791721,16.41928584301604
10,10,291948,81491,237718,210457,27261,54230,100.0,27.912847493389233,81.42477427487087,72.08715250661076,9.337621768260101,18.575225725129133
11,11,311881,108019,235935,203862,32073,75946,100.0,34.6346843828255,75.64904562958307,65.3653156171745,10.28373001240858,24.350954370416922
12,12,268792,104778,208975,164014,44961,59817,100.0,38.98107086520432,77.74598946397214,61.01892913479568,16.727060329176464,22.254010536027856
