id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
010111,01,01,11,14592,8628,9028,5964,3064,5564,100.0,59.12828947368421,61.86951754385965,40.87171052631579,20.99780701754386,38.13048245614035
010112,01,01,12,10646,4790,7468,5856,1612,3178,100.0,44.99342476047342,70.1484125493143,55.006575239526576,15.141837309787714,29.851587450685702
010113,01,01,13,53149,19625,39770,33524,6246,13379,100.0,36.924495286835125,74.82737210483734,63.075504713164875,11.75186739167247,25.17262789516266
010114,01,01,14,29349,10780,21698,18569,3129,7651,100.0,36.73038263654639,73.93096868717844,63.26961736345361,10.661351323724828,26.06903131282156
010221,01,02,21,45485,21519,31601,23966,7635,13884,100.0,47.31010223150489,69.47565131361988,52.68989776849511,16.785753545124766,30.524348686380126
010222,01,02,22,37468,18356,26400,19112,7288,11068,100.0,48.99113910536991,70.46012597416463,51.00886089463008,19.451265079534537,29.539874025835378
010331,01,03,31,38460,23182,23434,15278,8156,15026,100.0,60.27561102444098,60.93083723348934,39.72438897555902,21.206448257930315,39.069162766510665
010332,01,03,32,37536,23214,25110,14322,10788,12426,100.0,61.844629156010235,66.8957800511509,38.15537084398977,28.74040920716113,33.10421994884911
010441,01,04,41,45072,19688,32575,25384,7191,12497,100.0,43.6812211572595,72.27325168619099,56.3187788427405,15.954472843450478,27.72674831380902
010442,01,04,42,56365,34418,33500,21947,11553,22865,100.0,61.06271622460747,59.4340459505012,38.93728377539253,20.496762175108664,40.56595404949881
020101,02,01,01,40839,27839,26378,13000,13378,14461,100.0,68.16768285217562,64.59022013271628,31.832317147824384,32.75790298489189,35.409779867283724
020202,02,02,02,64257,26579,47659,37678,9981,16598,100.0,41.36358684656925,74.16935119909115,58.63641315343075,15.532938045660394,25.83064880090885
020303,02,03,03,22546,12883,14553,9663,4890,7993,100.0,57.14095626718708,64.54803512818238,42.85904373281292,21.688991395369467,35.451964871817616
020304,02,03,04,26245,12457,18069,13788,4281,8176,100.0,47.46427891026862,68.84739950466755,52.53572108973138,16.31167841493618,31.152600495332443
020405,02,04,05,23506,5452,20029,18054,1975,3477,100.0,23.19407810771718,85.20803199183187,76.80592189228283,8.40211009954905,14.791968008168126
020407,02,04,07,24100,7190,19228,16910,2318,4872,100.0,29.83402489626556,79.78423236514523,70.16597510373444,9.618257261410788,20.21576763485477
020506,02,05,06,29579,7714,24186,21865,2321,5393,100.0,26.079313026133406,81.76747016464384,73.9206869738666,7.84678319077724,18.232529835356164
020508,02,05,08,50004,13623,40161,36381,3780,9843,100.0,27.24382049436045,80.31557475401968,72.75617950563955,7.559395248380129,19.68442524598032
030101,03,01,01,15929,2159,14341,13770,571,1588,100.0,13.553895410885804,90.03076150417478,86.44610458911419,3.5846569150605814,9.969238495825225
030202,03,02,02,27660,3350,25673,24310,1363,1987,100.0,12.111352133044107,92.81634128705713,87.88864786695589,4.927693420101229,7.183658712942878
030203,03,02,03,17766,1892,17093,15874,1219,673,100.0,10.649555330406395,96.21186536080153,89.35044466959361,6.861420691207925,3.788134639198469
030304,03,03,04,19226,1798,18302,17428,874,924,100.0,9.351919275980443,95.19400811401228,90.64808072401955,4.545927389992718,4.8059918859877255
030307,03,03,07,14746,991,14278,13755,523,468,100.0,6.7204665672046655,96.82625796826258,93.27953343279533,3.5467245354672454,3.1737420317374205
030405,03,04,05,17763,2451,16800,15312,1488,963,100.0,13.79834487417666,94.57861847660868,86.20165512582334,8.37696335078534,5.421381523391319
030406,03,04,06,35188,4096,32899,31092,1807,2289,100.0,11.64033193134023,93.494941457315,88.35966806865977,5.135273388655223,6.505058542685006
030408,03,04,08,33983,4518,30994,29465,1529,2989,100.0,13.29488273548539,91.20442574228291,86.70511726451461,4.499308477768296,8.795574257717094
030509,03,05,09,37180,6097,32907,31083,1824,4273,100.0,16.398601398601397,88.50726196880044,83.6013986013986,4.905863367401829,11.49273803119957
030510,03,05,10,15248,1629,14111,13619,492,1137,100.0,10.68336831059811,92.54328436516265,89.31663168940189,3.226652675760756,7.456715634837356
030611,03,06,11,25595,6878,20748,18717,2031,4847,100.0,26.87243602266068,81.06270756007032,73.12756397733932,7.935143582731002,18.937292439929674
030612,03,06,12,27156,5790,23197,21366,1831,3959,100.0,21.321254971277064,85.4212697009869,78.67874502872293,6.742524672263957,14.57873029901311
030613,03,06,13,22374,6246,18209,16128,2081,4165,100.0,27.916331456154463,81.38464288906768,72.08366854384553,9.300974345222132,18.615357110932333
030614,03,06,14,26151,5070,22710,21081,1629,3441,100.0,19.387403923368133,86.84180337271997,80.61259607663187,6.229207296088104,13.158196627280027
030715,03,07,15,26166,8473,20250,17693,2557,5916,100.0,32.38171673163647,77.39050676450356,67.61828326836353,9.772223496140029,22.609493235496444
030716,03,07,16,32685,8686,26922,23999,2923,5763,100.0,26.5748814440875,82.36805874254244,73.42511855591249,8.942940186629952,17.63194125745755
040101,04,01,01,19457,9074,14424,10383,4041,5033,100.0,46.63617207174796,74.13270288328107,53.363827928252036,20.768874955029037,25.86729711671892
