district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,1,11,1,3187,100.0,1841.0,57.8,1911.0,60.0,1346.0,42.2,565.0,17.7,1276.0,40.0
1,1,11,2,188,100.0,76.0,40.4,124.0,66.0,112.0,59.6,12.0,6.4,64.0,34.0
1,1,11,3,5192,100.0,2924.0,56.3,3358.0,64.7,2268.0,43.7,1090.0,21.0,1834.0,35.3
1,1,11,4,4685,100.0,3000.0,64.0,2892.0,61.7,1685.0,36.0,1207.0,25.8,1793.0,38.3
1,1,11,5,1180,100.0,707.0,59.9,688.0,58.3,473.0,40.1,215.0,18.2,492.0,41.7
1,1,12,1,2236,100.0,1212.0,54.2,1435.0,64.2,1024.0,45.8,411.0,18.4,801.0,35.8
1,1,12,2,620,100.0,300.0,48.4,385.0,62.1,320.0,51.6,65.0,10.5,235.0,37.9
1,1,12,3,1039,100.0,541.0,52.1,646.0,62.2,498.0,47.9,148.0,14.2,393.0,37.8
1,1,12,4,7707,100.0,3515.0,45.6,5381.0,69.8,4192.0,54.4,1189.0,15.4,2326.0,30.2
1,1,13,1,6611,100.0,2702.0,40.9,4671.0,70.7,3909.0,59.1,762.0,11.5,1940.0,29.3
1,1,13,2,12604,100.0,4780.0,37.9,9308.0,73.8,7824.0,62.1,1484.0,11.8,3296.0,26.2
1,1,13,3,9580,100.0,4252.0,44.4,6457.0,67.4,5328.0,55.6,1129.0,11.8,3123.0,32.6
1,1,13,4,8598,100.0,3140.0,36.5,6604.0,76.8,5458.0,63.5,1146.0,13.3,1994.0,23.2
1,1,13,5,7752,100.0,2744.0,35.4,5941.0,76.6,5008.0,64.6,933.0,12.0,1811.0,23.4
1,1,13,6,9983,100.0,4101.0,41.1,7178.0,71.9,5882.0,58.9,1296.0,13.0,2805.0,28.1
