district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,1,11,1,3225,100.0,1879.0,58.3,1922.0,59.6,1346.0,41.7,576.0,17.9,1303.0,40.4
1,1,11,2,185,100.0,77.0,41.6,123.0,66.5,108.0,58.4,15.0,8.1,62.0,33.5
1,1,11,3,5173,100.0,2942.0,56.9,3306.0,63.9,2231.0,43.1,1075.0,20.8,1867.0,36.1
1,1,11,4,4786,100.0,3138.0,65.6,2876.0,60.1,1648.0,34.4,1228.0,25.7,1910.0,39.9
1,1,11,5,1225,100.0,733.0,59.8,706.0,57.6,492.0,40.2,214.0,17.5,519.0,42.4
1,1,12,1,2310,100.0,1304.0,56.5,1432.0,62.0,1006.0,43.5,426.0,18.4,878.0,38.0
1,1,12,2,607,100.0,301.0,49.6,378.0,62.3,306.0,50.4,72.0,11.9,229.0,37.7
1,1,12,3,1086,100.0,565.0,52.0,681.0,62.7,521.0,48.0,160.0,14.7,405.0,37.3
1,1,12,4,7869,100.0,3719.0,47.3,5385.0,68.4,4150.0,52.7,1235.0,15.7,2484.0,31.6
1,1,13,1,6781,100.0,2844.0,41.9,4725.0,69.7,3937.0,58.1,788.0,11.6,2056.0,30.3
1,1,13,2,12677,100.0,4931.0,38.9,9291.0,73.3,7746.0,61.1,1545.0,12.2,3386.0,26.7
1,1,13,3,9898,100.0,4501.0,45.5,6582.0,66.5,5397.0,54.5,1185.0,12.0,3316.0,33.5
1,1,13,4,8666,100.0,3288.0,37.9,6561.0,75.7,5378.0,62.1,1183.0,13.7,2105.0,24.3
1,1,13,5,7833,100.0,2866.0,36.6,5911.0,75.5,4967.0,63.4,944.0,12.1,1922.0,24.5
1,1,13,6,10328,100.0,4340.0,42.0,7351.0,71.2,5988.0,58.0,1363.0,13.2,2977.0,28.8
1,1,14,1,17364,100.0,7155.0,41.2,12158.0,70.0,10209.0,58.8,1949.0,11.2,5206.0,30.0
1,1,14,2,13507,100.0,5148.0,38.1,9954.0,73.7,8359.0,61.9,1595.0,11.8,3553.0,26.3
1,2,21,1,3627,100.0,1933.0,53.3,2288.0,63.1,1694.0,46.7,594.0,16.4,1339.0,36.9
1,2,21,2,6517,100.0,3925.0,60.2,3799.0,58.3,2592.0,39.8,1207.0,18.5,2718.0,41.7
1,2,21,3,258,100.0,186.0,72.1,123.0,47.7,72.0,27.9,51.0,19.8,135.0,52.3
1,2,21,4,18820,100.0,9335.0,49.6,12741.0,67.7,9485.0,50.4,3256.0,17.3,6079.0,32.3
1,2,21,5,5354,100.0,3119.0,58.3,3367.0,62.9,2235.0,41.7,1132.0,21.1,1987.0,37.1
1,2,21,6,11463,100.0,3940.0,34.4,9190.0,80.2,7523.0,65.6,1667.0,14.5,2273.0,19.8
1,2,22,1,11020,100.0,5429.0,49.3,7657.0,69.5,5591.0,50.7,2066.0,18.7,3363.0,30.5
1,2,22,2,1618,100.0,1050.0,64.9,1082.0,66.9,568.0,35.1,514.0,31.8,536.0,33.1
1,2,22,3,7122,100.0,4234.0,59.4,4659.0,65.4,2888.0,40.6,1771.0,24.9,2463.0,34.6
1,2,22,4,6010,100.0,2519.0,41.9,4428.0,73.7,3491.0,58.1,937.0,15.6,1582.0,26.3
1,2,22,5,3329,100.0,2029.0,60.9,2244.0,67.4,1300.0,39.1,944.0,28.4,1085.0,32.6
1,2,22,6,3012,100.0,1214.0,40.3,2338.0,77.6,1798.0,59.7,540.0,17.9,674.0,22.4
1,2,22,7,5727,100.0,2563.0,44.8,3897.0,68.0,3164.0,55.2,733.0,12.8,1830.0,32.0
1,3,31,1,26808,100.0,16654.0,62.1,15875.0,59.2,10154.0,37.9,5721.0,21.3,10933.0,40.8
1,3,31,2,12120,100.0,7398.0,61.0,7418.0,61.2,4722.0,39.0,2696.0,22.2,4702.0,38.8
1,3,32,1,13477,100.0,8970.0,66.6,9340.0,69.3,4507.0,33.4,4833.0,35.9,4137.0,30.7
1,3,32,2,9789,100.0,5436.0,55.5,7176.0,73.3,4353.0,44.5,2823.0,28.8,2613.0,26.7
1,3,32,3,14473,100.0,9180.0,63.4,8693.0,60.1,5293.0,36.6,3400.0,23.5,5780.0,39.9
1,4,41,1,20920,100.0,10041.0,48.0,14448.0,69.1,10879.0,52.0,3569.0,17.1,6472.0,30.9
1,4,41,2,16420,100.0,6405.0,39.0,12581.0,76.6,10015.0,61.0,2566.0,15.6,3839.0,23.4
1,4,41,3,8676,100.0,4573.0,52.7,5476.0,63.1,4103.0,47.3,1373.0,15.8,3200.0,36.9
1,4,42,1,24302,100.0,16508.0,67.9,13662.0,56.2,7794.0,32.1,5868.0,24.1,10640.0,43.8
1,4,42,2,16926,100.0,9796.0,57.9,10072.0,59.5,7130.0,42.1,2942.0,17.4,6854.0,40.5
1,4,42,3,16657,100.0,9833.0,59.0,9994.0,60.0,6824.0,41.0,3170.0,19.0,6663.0,40.0
2,1,1,1,6647,100.0,4717.0,71.0,3787.0,57.0,1930.0,29.0,1857.0,27.9,2860.0,43.0
2,1,1,2,13433,100.0,9128.0,68.0,8978.0,66.8,4305.0,32.0,4673.0,34.8,4455.0,33.2
2,1,1,3,15380,100.0,10703.0,69.6,9956.0,64.7,4677.0,30.4,5279.0,34.3,5424.0,35.3
2,1,1,4,5015,100.0,3249.0,64.8,3363.0,67.1,1766.0,35.2,1597.0,31.8,1652.0,32.9
2,2,2,1,976,100.0,498.0,51.0,678.0,69.5,478.0,49.0,200.0,20.5,298.0,30.5
2,2,2,2,5998,100.0,2564.0,42.7,4333.0,72.2,3434.0,57.3,899.0,15.0,1665.0,27.8
2,2,2,3,10920,100.0,4215.0,38.6,8303.0,76.0,6705.0,61.4,1598.0,14.6,2617.0,24.0
2,2,2,4,12564,100.0,5258.0,41.8,9225.0,73.4,7306.0,58.2,1919.0,15.3,3339.0,26.6
2,2,2,5,15003,100.0,6053.0,40.3,11298.0,75.3,8950.0,59.7,2348.0,15.7,3705.0,24.7
2,2,2,6,19041,100.0,8669.0,45.5,13820.0,72.6,10372.0,54.5,3448.0,18.1,5221.0,27.4
2,3,3,1,9040,100.0,5679.0,62.8,5638.0,62.4,3361.0,37.2,2277.0,25.2,3402.0,37.6
2,3,3,2,13131,100.0,7062.0,53.8,8821.0,67.2,6069.0,46.2,2752.0,21.0,4310.0,32.8
2,3,4,1,15264,100.0,7390.0,48.4,10429.0,68.3,7874.0,51.6,2555.0,16.7,4835.0,31.7
2,3,4,2,11118,100.0,5548.0,49.9,7495.0,67.4,5570.0,50.1,1925.0,17.3,3623.0,32.6
2,4,5,1,5397,100.0,1361.0,25.2,4621.0,85.6,4036.0,74.8,585.0,10.8,776.0,14.4
2,4,5,2,7269,100.0,2002.0,27.5,5994.0,82.5,5267.0,72.5,727.0,10.0,1275.0,17.5
2,4,5,3,11101,100.0,2743.0,24.7,9303.0,83.8,8358.0,75.3,945.0,8.5,1798.0,16.2
2,4,7,1,12528,100.0,4752.0,37.9,9405.0,75.1,7776.0,62.1,1629.0,13.0,3123.0,24.9
2,4,7,2,10764,100.0,2686.0,25.0,8936.0,83.0,8078.0,75.0,858.0,8.0,1828.0,17.0
2,4,7,3,1170,100.0,800.0,68.4,473.0,40.4,370.0,31.6,103.0,8.8,697.0,59.6
2,5,6,1,8948,100.0,2643.0,29.5,7071.0,79.0,6305.0,70.5,766.0,8.6,1877.0,21.0
2,5,6,2,21484,100.0,6183.0,28.8,17189.0,80.0,15301.0,71.2,1888.0,8.8,4295.0,20.0
2,5,8,1,19292,100.0,6298.0,32.6,14683.0,76.1,12994.0,67.4,1689.0,8.8,4609.0,23.9
2,5,8,2,20813,100.0,6313.0,30.3,16174.0,77.7,14500.0,69.7,1674.0,8.0,4639.0,22.3
2,5,8,3,7208,100.0,2225.0,30.9,5649.0,78.4,4983.0,69.1,666.0,9.2,1559.0,21.6
2,5,8,4,4470,100.0,1015.0,22.7,3903.0,87.3,3455.0,77.3,448.0,10.0,567.0,12.7
3,1,1,1,4036,100.0,483.0,12.0,3709.0,91.9,3553.0,88.0,156.0,3.9,327.0,8.1
3,1,1,2,12319,100.0,2229.0,18.1,10558.0,85.7,10090.0,81.9,468.0,3.8,1761.0,14.3
3,1,1,4,229,100.0,52.0,22.7,199.0,86.9,177.0,77.3,22.0,9.6,30.0,13.1
3,2,2,3,2169,100.0,208.0,9.6,2035.0,93.8,1961.0,90.4,74.0,3.4,134.0,6.2
3,2,2,9,14963,100.0,2220.0,14.8,13629.0,91.1,12743.0,85.2,886.0,5.9,1334.0,8.9
3,2,2,10,11290,100.0,1479.0,13.1,10442.0,92.5,9811.0,86.9,631.0,5.6,848.0,7.5
3,2,3,7,18246,100.0,2204.0,12.1,17355.0,95.1,16042.0,87.9,1313.0,7.2,891.0,4.9
3,3,4,5,11426,100.0,1746.0,15.3,10406.0,91.1,9680.0,84.7,726.0,6.4,1020.0,8.9
3,3,4,6,8185,100.0,608.0,7.4,7910.0,96.6,7577.0,92.6,333.0,4.1,275.0,3.4
3,3,7,11,6855,100.0,404.0,5.9,6671.0,97.3,6451.0,94.1,220.0,3.2,184.0,2.7
3,3,7,15,7509,100.0,1287.0,17.1,6594.0,87.8,6222.0,82.9,372.0,5.0,915.0,12.2
3,3,7,16,1123,100.0,31.0,2.8,1107.0,98.6,1092.0,97.2,15.0,1.3,16.0,1.4
3,4,5,8,4611,100.0,902.0,19.6,4331.0,93.9,3709.0,80.4,622.0,13.5,280.0,6.1
3,4,5,12,9826,100.0,1388.0,14.1,9171.0,93.3,8438.0,85.9,733.0,7.5,655.0,6.7
3,4,5,13,3386,100.0,453.0,13.4,3165.0,93.5,2933.0,86.6,232.0,6.9,221.0,6.5
3,4,6,14,35951,100.0,4905.0,13.6,33203.0,92.4,31046.0,86.4,2157.0,6.0,2748.0,7.6
3,4,8,18,34461,100.0,5269.0,15.3,31019.0,90.0,29192.0,84.7,1827.0,5.3,3442.0,10.0
3,5,9,19,5583,100.0,1037.0,18.6,4749.0,85.1,4546.0,81.4,203.0,3.6,834.0,14.9
3,5,9,20,7383,100.0,990.0,13.4,6798.0,92.1,6393.0,86.6,405.0,5.5,585.0,7.9
3,5,9,23,9385,100.0,1845.0,19.7,8140.0,86.7,7540.0,80.3,600.0,6.4,1245.0,13.3
3,5,9,24,6091,100.0,1399.0,23.0,5081.0,83.4,4692.0,77.0,389.0,6.4,1010.0,16.6
3,5,9,25,9692,100.0,1657.0,17.1,8630.0,89.0,8035.0,82.9,595.0,6.1,1062.0,11.0
3,5,10,17,4236,100.0,794.0,18.7,3659.0,86.4,3442.0,81.3,217.0,5.1,577.0,13.6
3,5,10,21,6506,100.0,683.0,10.5,6026.0,92.6,5823.0,89.5,203.0,3.1,480.0,7.4
3,5,10,22,4561,100.0,319.0,7.0,4379.0,96.0,4242.0,93.0,137.0,3.0,182.0,4.0
3,6,11,26,15220,100.0,4078.0,26.8,12429.0,81.7,11142.0,73.2,1287.0,8.5,2791.0,18.3
3,6,11,31,10691,100.0,3490.0,32.6,8221.0,76.9,7201.0,67.4,1020.0,9.5,2470.0,23.1
3,6,12,27,14581,100.0,3591.0,24.6,12234.0,83.9,10990.0,75.4,1244.0,8.5,2347.0,16.1
3,6,12,28,12640,100.0,2758.0,21.8,10751.0,85.1,9882.0,78.2,869.0,6.9,1889.0,14.9
3,6,13,32,22670,100.0,6819.0,30.1,18140.0,80.0,15851.0,69.9,2289.0,10.1,4530.0,20.0
3,6,14,29,10058,100.0,1393.0,13.8,9166.0,91.1,8665.0,86.2,501.0,5.0,892.0,8.9
3,6,14,30,3871,100.0,1423.0,36.8,2654.0,68.6,2448.0,63.2,206.0,5.3,1217.0,31.4
3,6,14,34,6317,100.0,1541.0,24.4,5238.0,82.9,4776.0,75.6,462.0,7.3,1079.0,17.1
3,6,14,35,3898,100.0,1057.0,27.1,3185.0,81.7,2841.0,72.9,344.0,8.8,713.0,18.3
3,6,14,41,2589,100.0,668.0,25.8,2237.0,86.4,1921.0,74.2,316.0,12.2,352.0,13.6
3,7,15,36,10864,100.0,3808.0,35.1,8282.0,76.2,7056.0,64.9,1226.0,11.3,2582.0,23.8
3,7,15,37,15674,100.0,5224.0,33.3,12022.0,76.7,10450.0,66.7,1572.0,10.0,3652.0,23.3
3,7,16,33,3188,100.0,895.0,28.1,2599.0,81.5,2293.0,71.9,306.0,9.6,589.0,18.5
3,7,16,38,17526,100.0,5328.0,30.4,13974.0,79.7,12198.0,69.6,1776.0,10.1,3552.0,20.3
3,7,16,39,12480,100.0,3169.0,25.4,10480.0,84.0,9311.0,74.6,1169.0,9.4,2000.0,16.0
4,1,1,1,10656,100.0,4879.0,45.8,7881.0,74.0,5777.0,54.2,2104.0,19.7,2775.0,26.0
4,1,1,2,919,100.0,412.0,44.8,562.0,61.2,507.0,55.2,55.0,6.0,357.0,38.8
4,1,1,3,7876,100.0,4170.0,52.9,5819.0,73.9,3706.0,47.1,2113.0,26.8,2057.0,26.1
4,2,2,4,187,100.0,65.0,34.8,151.0,80.7,122.0,65.2,29.0,15.5,36.0,19.3
4,2,2,5,1347,100.0,355.0,26.4,1123.0,83.4,992.0,73.6,131.0,9.7,224.0,16.6
4,2,2,6,2800,100.0,695.0,24.8,2370.0,84.6,2105.0,75.2,265.0,9.5,430.0,15.4
4,2,2,7,2558,100.0,734.0,28.7,2136.0,83.5,1824.0,71.3,312.0,12.2,422.0,16.5
4,2,2,8,2912,100.0,771.0,26.5,2492.0,85.6,2141.0,73.5,351.0,12.1,420.0,14.4
4,2,2,9,3195,100.0,1218.0,38.1,2270.0,71.0,1977.0,61.9,293.0,9.2,925.0,29.0
4,2,3,10,624,100.0,331.0,53.0,350.0,56.1,293.0,47.0,57.0,9.1,274.0,43.9
4,2,3,11,14969,100.0,4767.0,31.8,12071.0,80.6,10202.0,68.2,1869.0,12.5,2898.0,19.4
4,2,3,12,5498,100.0,1710.0,31.1,4422.0,80.4,3788.0,68.9,634.0,11.5,1076.0,19.6
4,2,3,13,7620,100.0,3023.0,39.7,5664.0,74.3,4597.0,60.3,1067.0,14.0,1956.0,25.7
4,2,3,14,8,100.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0
4,3,4,15,2975,100.0,1534.0,51.6,1824.0,61.3,1441.0,48.4,383.0,12.9,1151.0,38.7
4,3,4,16,10570,100.0,5061.0,47.9,7724.0,73.1,5509.0,52.1,2215.0,21.0,2846.0,26.9
4,3,4,17,10947,100.0,4159.0,38.0,8429.0,77.0,6788.0,62.0,1641.0,15.0,2518.0,23.0
4,3,5,18,9473,100.0,4165.0,44.0,6996.0,73.9,5308.0,56.0,1688.0,17.8,2477.0,26.1
4,3,5,19,5825,100.0,2588.0,44.4,4252.0,73.0,3237.0,55.6,1015.0,17.4,1573.0,27.0
4,3,6,20,8778,100.0,3852.0,43.9,6520.0,74.3,4926.0,56.1,1594.0,18.2,2258.0,25.7
4,3,6,21,3008,100.0,1664.0,55.3,1977.0,65.7,1344.0,44.7,633.0,21.0,1031.0,34.3
4,3,6,22,10709,100.0,4921.0,46.0,7820.0,73.0,5788.0,54.0,2032.0,19.0,2889.0,27.0
4,3,6,23,5012,100.0,2775.0,55.4,3403.0,67.9,2237.0,44.6,1166.0,23.3,1609.0,32.1
4,3,7,24,6569,100.0,2406.0,36.6,5101.0,77.7,4163.0,63.4,938.0,14.3,1468.0,22.3
4,3,7,25,12287,100.0,4976.0,40.5,9017.0,73.4,7311.0,59.5,1706.0,13.9,3270.0,26.6
4,3,7,26,5695,100.0,2505.0,44.0,4101.0,72.0,3190.0,56.0,911.0,16.0,1594.0,28.0
4,3,8,27,12360,100.0,6526.0,52.8,8081.0,65.4,5834.0,47.2,2247.0,18.2,4279.0,34.6
4,3,8,28,9595,100.0,4237.0,44.2,6847.0,71.4,5358.0,55.8,1489.0,15.5,2748.0,28.6
4,3,9,29,6079,100.0,2626.0,43.2,4423.0,72.8,3453.0,56.8,970.0,16.0,1656.0,27.2
4,3,9,30,5553,100.0,2440.0,43.9,4002.0,72.1,3113.0,56.1,889.0,16.0,1551.0,27.9
4,3,9,31,3791,100.0,2136.0,56.3,2320.0,61.2,1655.0,43.7,665.0,17.5,1471.0,38.8
4,3,10,32,15346,100.0,6245.0,40.7,11635.0,75.8,9101.0,59.3,2534.0,16.5,3711.0,24.2
4,4,11,33,40,100.0,9.0,22.5,34.0,85.0,31.0,77.5,3.0,7.5,6.0,15.0
4,4,11,34,5277,100.0,2072.0,39.3,4088.0,77.5,3205.0,60.7,883.0,16.7,1189.0,22.5
4,4,11,35,2792,100.0,953.0,34.1,2256.0,80.8,1839.0,65.9,417.0,14.9,536.0,19.2
4,4,11,36,3045,100.0,1004.0,33.0,2477.0,81.3,2041.0,67.0,436.0,14.3,568.0,18.7
