id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3225,1879,1922,1346,576,1303,3225,144,105,22,493,977,376,393,715,1552,1303,1879,123,90,16,393,710,208,189,150,889,1303,1879,554,46,54,56,22,87,23,102,21,21,20,96,19,36,301,105,61,22,428,77,37,249,13,53,16,41,69
01011102,185,77,123,108,15,62,185,9,3,3,25,61,33,26,25,73,62,77,6,0,3,19,30,12,3,4,27,62,77,35,3,0,3,0,7,4,6,0,3,0,3,0,3,6,3,0,0,12,0,3,9,3,3,0,9,0
01011103,5173,2942,3306,2231,1075,1867,5173,252,349,130,596,1483,683,771,909,2379,1867,2942,206,298,109,373,969,361,333,293,1380,1867,2942,1024,145,37,102,24,40,49,200,83,127,34,177,22,78,415,178,88,25,945,324,62,366,49,91,42,40,99
01011104,4786,3138,2876,1648,1228,1910,4786,292,406,147,914,1671,615,395,346,2179,1910,3138,235,348,125,660,1104,315,186,165,1457,1910,3138,726,103,48,95,26,51,36,120,64,26,13,102,46,15,307,126,76,10,1350,425,71,670,206,100,23,50,182
01011105,1225,733,706,492,214,519,1225,79,52,13,105,370,219,189,198,570,519,733,67,42,7,78,269,127,87,56,363,519,733,182,12,12,25,9,16,9,42,7,10,7,17,0,7,189,103,30,12,230,30,3,147,7,6,0,33,25
01011201,2310,1304,1432,1006,426,878,2310,94,139,52,273,676,347,349,380,1102,878,1304,75,111,42,199,484,172,145,76,614,878,1304,363,37,3,39,15,25,15,18,86,38,9,27,0,9,305,144,87,6,279,44,29,167,26,10,52,28,36
01011202,607,301,378,306,72,229,607,23,52,12,52,227,95,81,65,256,229,301,23,39,9,30,144,26,17,13,133,229,301,143,19,6,13,19,9,9,4,3,27,3,16,0,7,39,24,6,0,12,3,0,6,0,0,0,26,3
01011203,1086,565,681,521,160,405,1086,55,49,24,106,341,201,125,185,503,405,565,40,40,15,63,235,87,51,34,266,405,565,199,11,13,19,18,15,20,21,14,15,0,3,0,3,212,133,16,3,58,15,3,19,0,3,10,22,12
01011204,7869,3719,5385,4150,1235,2484,7869,418,367,110,750,2598,1063,966,1597,3888,2484,3719,317,301,86,469,1538,450,315,243,1845,2484,3719,1251,93,65,107,66,90,86,203,232,31,24,102,20,28,757,391,114,45,776,183,24,401,32,146,129,99,100
01011301,6781,2844,4725,3937,788,2056,6781,459,385,68,659,2998,991,621,600,3291,2056,2844,246,189,24,353,1451,321,157,103,1394,2056,2844,1265,144,40,107,118,113,105,162,51,78,27,79,18,19,393,194,59,29,382,89,58,140,0,30,25,166,47
01011302,12677,4931,9291,7746,1545,3386,12677,681,1041,287,1089,5022,2373,1173,1011,6144,3386,4931,364,494,101,547,2400,648,224,153,2442,3386,4931,2310,349,66,267,160,172,311,225,106,71,50,162,9,60,461,223,82,21,571,172,30,228,12,82,101,418,75
01011303,9898,4501,6582,5397,1185,3316,9898,445,449,110,1241,3910,1267,944,1532,4658,3316,4501,294,303,92,737,2257,443,233,142,2095,3316,4501,1684,188,75,199,91,181,153,209,104,90,19,113,21,31,521,231,111,42,835,141,60,438,40,131,288,228,83
01011304,8666,3288,6561,5378,1183,2105,8666,447,504,175,820,2172,935,982,2631,4602,2105,3288,332,369,127,504,1198,373,245,140,1672,2105,3288,728,59,38,98,12,114,36,113,39,35,12,223,42,22,339,137,59,24,725,235,21,283,18,96,655,50,133
01011305,7833,2866,5911,4967,944,1922,7833,387,360,94,689,2515,1009,848,1931,3866,1922,2866,256,228,55,365,1267,389,173,133,1311,1922,2866,824,88,13,114,43,70,69,112,90,34,21,69,0,18,440,235,63,24,597,139,12,326,25,90,89,79,103
01011306,10328,4340,7351,5988,1363,2977,10328,623,464,140,1382,3646,1416,1115,1542,5022,2977,4340,363,276,98,1014,1782,451,215,141,2094,2977,4340,1423,136,46,161,64,102,118,267,65,63,33,173,27,43,404,151,83,32,1124,572,31,394,27,122,135,273,212
01011401,17364,7155,12158,10209,1949,5206,17364,1198,1326,296,1711,7788,2742,1318,985,8469,5206,7155,623,645,147,905,3707,690,278,160,3542,5206,7155,3202,421,133,414,224,250,312,332,111,124,39,201,27,51,702,301,142,24,1189,196,74,581,27,188,83,441,107
01011402,13507,5148,9954,8359,1595,3553,13507,1029,1056,180,1091,6276,2296,770,809,6730,3553,5148,495,428,63,578,2768,548,143,125,2601,3553,5148,2722,377,118,399,198,236,317,223,80,74,42,115,12,36,421,175,85,12,455,88,38,201,12,46,50,446,81
01022101,3627,1933,2288,1694,594,1339,3627,201,230,59,658,1363,443,376,297,1621,1339,1933,146,193,47,315,740,232,154,106,849,1339,1933,805,41,54,48,27,24,30,284,80,86,30,133,34,48,98,35,19,3,682,173,21,398,155,79,3,28,97
01022102,6517,3925,3799,2592,1207,2718,6517,354,429,124,1141,2398,850,628,593,2980,2718,3925,295,355,109,614,1469,518,311,254,1814,2718,3925,1297,79,83,118,30,40,50,358,199,67,70,331,53,123,197,56,28,19,1527,558,24,693,185,110,44,25,216
01022103,258,186,123,72,51,135,258,24,37,11,35,76,21,30,24,115,135,186,24,28,0,35,61,9,21,8,90,135,186,21,0,0,0,0,0,3,3,9,3,0,0,0,0,6,3,0,0,119,32,16,39,12,15,12,0,18
01022104,18820,9335,12741,9485,3256,6079,18820,996,1134,348,2832,6814,2470,2101,2125,8806,6079,9335,641,853,249,1451,3399,1216,810,716,4246,6079,9335,3129,243,158,330,111,144,163,805,262,241,190,769,114,269,543,216,124,28,3265,1394,111,1356,415,304,121,165,520
01022105,5354,3119,3367,2235,1132,1987,5354,304,358,144,864,1915,669,548,552,2517,1987,3119,236,319,124,474,1087,404,253,222,1445,1987,3119,1026,67,52,92,17,49,31,200,250,118,32,196,29,121,219,69,57,11,1246,497,44,534,194,87,17,46,198
01022106,11463,3940,9190,7523,1667,2273,11463,546,695,242,1300,3451,1713,1609,1907,5789,2273,3940,252,358,119,534,1515,500,374,288,1916,2273,3940,1445,151,66,144,67,86,81,315,82,121,76,235,48,65,412,173,95,21,1061,433,56,411,118,54,27,111,164
01022201,11020,5429,7657,5591,2066,3363,11020,698,669,216,1777,4317,1392,989,962,5148,3363,5429,451,502,156,867,2063,676,400,314,2531,3363,5429,1781,187,75,199,81,97,107,366,118,178,76,311,59,105,370,129,72,18,2022,1026,92,695,144,238,40,95,363
01022202,1618,1050,1082,568,514,536,1618,99,174,62,218,486,255,137,187,808,536,1050,76,148,48,138,333,156,70,81,517,536,1050,153,6,10,20,12,0,6,37,12,7,0,28,12,9,60,35,19,3,557,356,6,171,65,23,9,12,125
01022203,7122,4234,4659,2888,1771,2463,7122,472,642,186,1049,2211,906,680,976,3487,2463,4234,360,537,164,587,1328,551,311,396,2085,2463,4234,1082,50,46,78,22,55,54,294,165,71,49,328,109,88,260,88,66,24,1929,1059,26,708,252,138,25,33,374
01022204,6010,2519,4428,3491,937,1582,6010,327,304,111,744,1970,844,697,1013,2955,1582,2519,185,188,65,391,994,302,218,176,1171,1582,2519,1010,89,71,83,36,47,64,236,82,72,20,102,22,27,254,104,58,16,691,268,32,289,64,54,15,70,111
01022205,3329,2029,2244,1300,944,1085,3329,249,323,111,424,889,388,397,548,1610,1085,2029,212,270,93,259,627,210,179,179,979,1085,2029,366,16,10,62,9,13,6,142,22,9,22,175,28,86,316,106,98,22,921,313,33,424,114,114,9,10,147
01022206,3012,1214,2338,1798,540,674,3012,154,206,47,321,964,484,387,449,1413,674,1214,94,125,28,158,427,167,120,95,584,674,1214,471,35,30,49,19,29,29,148,33,9,3,29,10,4,130,58,18,21,334,141,24,101,15,19,22,19,76
01022207,5727,2563,3897,3164,733,1830,5727,217,251,82,1018,1499,767,635,1258,2779,1830,2563,139,143,48,747,863,264,185,174,1219,1830,2563,1066,109,59,101,43,127,55,195,78,45,27,141,18,48,272,107,67,16,411,148,33,132,12,37,48,75,64
01033101,26808,16654,15875,10154,5721,10933,26808,1992,2508,771,4078,9049,3362,2360,2688,12671,10933,16654,1626,2145,660,2444,5483,2121,1188,987,7766,10933,16654,4972,191,568,296,116,176,117,1143,1127,531,180,1423,369,509,744,332,102,63,7677,4305,77,2337,602,486,71,137,924
01033102,12120,7398,7418,4722,2696,4702,12120,835,1044,344,1986,4118,1591,965,1237,5861,4702,7398,636,908,290,1231,2398,992,486,457,3539,4702,7398,2005,121,135,159,70,58,92,460,400,180,94,614,148,245,301,103,57,34,3548,2256,36,901,223,190,33,67,544
01033201,13477,8970,9340,4507,4833,4137,13477,1063,1576,477,1668,4046,1687,1289,1671,6662,4137,8970,901,1432,430,1025,2712,1133,690,647,4379,4137,8970,1330,95,50,135,44,89,61,408,106,53,51,417,94,104,595,225,111,116,5469,3417,34,1539,741,215,33,69,865
01033202,9789,5436,7176,4353,2823,2613,9789,650,861,258,1057,2804,1290,1062,1807,4933,2613,5436,528,737,199,611,1745,728,427,461,2679,2613,5436,1108,61,50,102,28,48,46,440,69,42,89,320,38,119,437,172,95,57,2821,1869,36,596,168,120,19,49,546
01033203,14473,9180,8693,5293,3400,5780,14473,1003,1291,425,2296,4962,1807,1214,1475,6719,5780,9180,804,1163,386,1413,3095,1145,614,560,4234,5780,9180,2355,124,101,228,47,118,96,610,349,235,106,699,217,192,531,250,78,50,4412,2367,41,1575,539,346,50,96,601
01044101,20920,10041,14448,10879,3569,6472,20920,1146,1373,421,2945,6716,2861,2387,3071,10106,6472,10041,796,1026,288,1387,3658,1367,873,646,4652,6472,10041,3497,243,157,345,88,109,115,987,620,206,199,867,192,269,480,198,87,39,3767,2187,79,1033,219,211,75,141,666
01044102,16420,6405,12581,10015,2566,3839,16420,923,948,287,1836,4574,2121,1986,3745,8445,3839,6405,605,625,174,794,2327,809,580,491,3048,3839,6405,2125,139,102,166,39,57,68,868,280,61,100,578,119,143,328,130,55,16,2509,1417,39,763,153,176,57,52,460
01044103,8676,4573,5476,4103,1373,3200,8676,480,519,188,1404,3293,1135,886,771,4090,3200,4573,341,431,164,759,1708,581,325,264,2157,3200,4573,1587,140,95,141,53,65,42,304,353,113,68,251,49,56,262,116,54,13,1731,818,46,625,70,232,55,65,222
01044201,24302,16508,13662,7794,5868,10640,24302,1574,2131,727,4040,8345,3067,2020,2398,11323,10640,16508,1331,1950,657,2459,5549,2274,1234,1054,7613,10640,16508,4632,250,312,394,112,154,168,1020,997,448,147,1222,415,396,759,304,123,53,7724,4379,67,2409,754,456,89,158,1151
01044202,16926,9796,10072,7130,2942,6854,16926,938,1038,329,3154,6830,2002,1449,1186,7762,6854,9796,673,857,287,1911,3873,1116,664,415,4390,6854,9796,3146,200,189,274,109,178,127,802,568,192,81,547,110,190,451,149,90,49,3747,1593,78,1380,390,229,69,145,502
01044203,16657,9833,9994,6824,3170,6663,16657,946,1201,373,2432,5802,2089,1622,2192,7818,6663,9833,737,1025,317,1436,3437,1299,812,770,4522,6663,9833,3376,174,239,201,73,145,114,760,767,314,111,670,188,250,434,179,64,45,4134,2565,66,1054,346,192,50,120,526
02010101,6647,4717,3787,1930,1857,2860,6647,420,525,183,1186,2285,849,600,599,3005,2860,4717,368,483,174,851,1641,595,344,261,2170,2860,4717,928,44,52,122,30,63,46,202,112,66,34,187,68,47,483,192,78,54,2262,957,120,949,258,157,35,52,342
02010102,13433,9128,8978,4305,4673,4455,13433,929,1390,456,1764,3997,1869,1269,1759,6681,4455,9128,785,1296,413,1099,2819,1312,706,698,4584,4455,9128,1526,103,125,162,68,57,88,305,230,63,91,386,102,120,557,191,129,28,4959,2950,65,1730,669,250,44,209,1068
02010103,15380,10703,9956,4677,5279,5424,15380,1074,1592,530,1962,4455,2206,1549,2012,7572,5424,10703,961,1437,475,1305,3316,1559,829,821,5177,5424,10703,1310,71,106,181,58,85,61,329,175,28,32,272,108,80,263,97,57,21,6879,5543,37,1059,263,227,47,71,1443
02010104,5015,3249,3363,1766,1597,1652,5015,276,560,188,607,1458,734,583,609,2501,1652,3249,223,476,164,378,1005,485,272,246,1585,1652,3249,481,46,32,55,19,42,42,47,92,15,12,80,21,29,37,15,6,0,2022,1419,18,519,160,98,6,52,402
02020201,976,498,678,478,200,298,976,113,54,19,80,490,106,56,58,449,298,498,71,42,16,37,252,27,16,37,232,298,498,139,20,7,10,10,3,13,13,6,6,0,0,0,0,94,47,22,7,106,34,7,49,0,0,3,16,28
02020202,5998,2564,4333,3434,899,1665,5998,381,482,172,708,2013,947,693,602,2852,1665,2564,191,242,115,393,906,344,205,168,1213,1665,2564,874,123,45,128,30,53,81,125,49,27,68,147,36,28,96,43,19,7,912,410,24,388,85,119,7,122,167
02020203,10920,4215,8303,6705,1598,2617,10920,713,738,184,1081,4135,1637,1296,1136,5341,2617,4215,322,404,103,500,1754,538,358,236,2046,2617,4215,1746,194,93,323,92,114,190,258,47,32,95,266,42,75,126,63,6,15,1109,574,37,373,95,65,16,219,217
02020204,12564,5258,9225,7306,1919,3339,12564,773,803,262,1377,4770,1896,1468,1215,6072,3339,5258,407,407,145,710,2200,637,415,337,2468,3339,5258,2020,198,112,268,95,165,182,349,115,128,82,301,49,125,231,106,38,21,1512,889,81,431,103,96,34,221,287
02020205,15003,6053,11298,8950,2348,3705,15003,812,970,324,1701,5178,2494,1961,1563,7435,3705,6053,398,534,177,911,2206,851,487,489,2943,3705,6053,2118,255,138,300,135,190,232,206,48,78,116,295,50,61,157,69,32,6,1798,1298,55,338,97,84,12,489,486
02020206,19041,8669,13820,10372,3448,5221,19041,1249,1441,390,1891,7273,2841,2137,1819,9436,5221,8669,646,905,264,1027,3497,1167,594,569,4224,5221,8669,3043,388,166,400,182,237,307,372,240,70,110,369,83,112,277,98,48,9,3177,1942,51,1005,518,81,20,363,494
02030301,9040,5679,5638,3361,2277,3402,9040,477,723,234,1025,3186,1477,959,959,4331,3402,5679,325,579,213,674,1888,869,477,654,2765,3402,5679,994,143,66,141,53,79,105,96,62,33,20,137,62,31,71,15,24,6,3350,2975,32,266,69,50,4,110,637
02030302,13131,7062,8821,6069,2752,4310,13131,749,1000,322,1429,4797,2005,1457,1372,6305,4310,7062,468,723,221,864,2657,954,549,626,3381,4310,7062,1741,215,88,234,124,160,196,128,135,42,70,197,49,51,115,43,23,12,3612,2975,31,494,85,103,12,194,595
02030401,15264,7390,10429,7874,2555,4835,15264,942,1039,290,1639,6174,2302,1543,1335,7366,4835,7390,481,669,234,977,3068,958,463,540,3530,4835,7390,2401,254,97,383,186,205,254,269,113,69,51,258,59,86,164,57,21,18,2901,2127,65,553,135,101,15,324,443
02030402,11118,5548,7495,5570,1925,3623,11118,679,690,235,1180,4693,1658,1104,879,5353,3623,5548,370,440,152,672,2327,733,357,497,2645,3623,5548,1871,240,90,286,87,189,214,216,120,35,36,125,25,42,166,62,31,6,2125,1818,28,183,32,43,6,224,405
02040501,5397,1361,4621,4036,585,776,5397,251,373,115,339,1198,678,691,1752,2842,776,1361,137,203,66,152,469,167,109,58,701,776,1361,291,15,7,41,16,14,18,56,43,19,4,44,3,21,204,93,34,15,291,42,6,132,6,47,291,24,66
02040502,7269,2002,5994,5267,727,1275,7269,423,406,100,714,2670,905,712,1339,3732,1275,2002,191,213,46,317,846,212,120,57,1016,1275,2002,727,66,18,84,47,54,40,131,67,49,12,105,20,43,248,114,22,37,346,69,25,138,7,42,309,25,45
02040503,11101,2743,9303,8358,945,1798,11101,825,611,148,1012,4959,1334,865,1347,5554,1798,2743,305,223,61,393,1354,240,112,55,1343,1798,2743,1169,144,40,144,76,92,110,190,31,33,26,132,41,35,203,90,39,28,340,89,9,150,12,54,268,107,89
02040701,12528,4752,9405,7776,1629,3123,12528,728,716,230,1581,4003,1337,1220,2713,6392,3123,4752,454,454,145,973,1854,459,272,141,2302,3123,4752,1066,49,24,101,30,97,60,223,164,55,12,356,59,92,624,267,116,57,1350,281,41,596,64,196,525,65,154
02040702,10764,2686,8936,8078,858,1828,10764,616,663,149,1052,4658,1495,897,1234,5216,1828,2686,198,194,58,509,1345,222,123,37,1267,1828,2686,1350,135,59,220,70,134,121,156,67,47,24,64,6,16,247,119,42,27,349,117,10,117,3,40,77,138,54
02040703,1170,800,473,370,103,697,1170,102,107,22,204,578,79,60,18,511,697,800,93,95,13,156,364,43,27,9,349,697,800,445,9,10,13,0,36,28,39,12,227,7,47,6,3,74,31,15,0,127,61,3,36,0,11,7,16,12
02050601,8948,2643,7071,6305,766,1877,8948,565,449,91,958,4801,1008,583,493,4167,1877,2643,204,181,43,392,1461,200,111,51,1262,1877,2643,1190,173,54,166,71,113,110,147,33,58,16,103,24,34,198,78,46,16,335,57,16,168,21,68,183,117,61
02050602,21484,6183,17189,15301,1888,4295,21484,1590,1358,335,2128,11052,2695,1299,1027,10402,4295,6183,563,437,119,892,3326,523,214,109,3032,4295,6183,3013,384,67,455,199,295,253,371,107,104,65,268,84,70,607,209,115,82,786,174,40,347,28,131,237,306,85
02050801,19292,6298,14683,12994,1689,4609,19292,1256,1182,277,2252,10138,2207,1126,854,9184,4609,6298,500,483,127,1045,3328,475,257,83,2982,4609,6298,2758,333,90,433,154,320,213,315,90,111,48,322,97,112,455,191,70,60,990,143,33,589,9,286,348,285,134
02050802,20813,6313,16174,14500,1674,4639,20813,1376,1072,257,2255,11500,2597,1017,739,9895,4639,6313,446,309,75,1052,3699,479,179,74,2987,4639,6313,3434,499,80,535,182,333,413,371,87,104,44,182,45,44,438,169,86,46,675,172,54,255,27,81,96,338,109
02050803,7208,2225,5649,4983,666,1559,7208,497,331,97,830,3732,730,479,512,3407,1559,2225,200,97,42,401,1216,169,62,38,1021,1559,2225,1117,123,33,190,43,84,99,149,41,94,41,105,12,27,189,80,47,21,369,134,13,132,7,36,45,98,55
02050804,4470,1015,3903,3455,448,567,4470,456,387,96,290,1674,750,339,478,2149,567,1015,153,104,22,133,411,121,29,42,435,567,1015,382,24,18,33,22,24,46,59,13,28,6,37,6,19,94,37,19,3,211,27,3,135,0,28,30,42,38
03010101,4036,483,3709,3553,156,327,4036,349,288,86,270,1279,592,540,632,1995,327,483,52,51,16,54,213,52,33,12,223,327,483,218,6,3,9,20,3,10,73,21,20,10,48,19,12,79,40,20,6,69,15,15,24,0,12,6,16,6
03010102,12319,2229,10558,10090,468,1761,12319,831,1073,309,1095,3090,1347,1426,3148,6323,1761,2229,290,281,67,426,813,154,117,81,914,1761,2229,460,6,10,18,6,24,12,246,35,16,3,116,15,43,411,195,48,61,1118,53,45,500,12,191,46,18,16
03010104,229,52,199,177,22,30,229,9,17,15,13,96,61,18,0,86,30,52,3,7,3,0,27,9,3,0,14,30,52,40,0,4,7,3,0,0,3,0,4,0,0,0,0,9,3,0,0,6,3,0,3,0,0,0,0,0
03020203,2169,208,2035,1961,74,134,2169,106,196,61,127,421,380,350,528,1051,134,208,18,38,9,32,78,12,15,6,73,134,208,45,0,0,3,3,0,3,12,6,6,3,10,0,4,22,4,3,3,124,9,0,52,3,18,6,4,3
03020209,14963,2220,13629,12743,886,1334,14963,1024,1442,412,1217,3754,2733,1819,2562,7710,1334,2220,249,296,74,459,704,252,126,60,1139,1334,2220,922,74,82,66,66,20,61,239,61,59,21,65,9,22,227,82,54,21,352,65,22,140,6,59,43,175,21
03020210,11290,1479,10442,9811,631,848,11290,810,1062,286,735,3028,2063,1409,1897,5751,848,1479,222,203,46,143,556,156,94,59,730,848,1479,536,45,15,36,18,9,29,144,31,73,9,52,24,3,262,119,44,32,409,106,12,182,21,93,19,24,34
03020307,18246,2204,17355,16042,1313,891,18246,1264,1724,546,1181,4453,3291,2670,3117,9320,891,2204,266,332,102,202,657,305,194,146,1148,891,2204,747,29,28,45,21,29,19,344,55,28,27,117,34,27,693,307,73,159,577,120,12,212,21,107,33,25,70
03030405,11426,1746,10406,9680,726,1020,11426,1031,1140,316,878,3379,1613,1241,1828,5891,1020,1746,277,247,90,220,562,180,101,69,793,1020,1746,435,18,19,20,27,3,6,203,20,28,12,86,11,24,382,175,36,111,700,34,21,351,3,195,34,3,24
03030406,8185,608,7910,7577,333,275,8185,418,662,268,481,1474,1543,1481,1858,4188,275,608,78,81,18,63,191,68,60,49,316,275,608,230,9,12,3,15,9,12,85,16,6,3,31,0,13,172,73,9,50,129,10,3,27,0,9,3,25,6
03030711,6855,404,6671,6451,220,184,6855,362,588,184,375,1305,1330,1144,1567,3455,184,404,49,73,21,31,115,64,30,21,210,184,404,154,15,12,3,15,0,9,73,12,0,0,12,0,9,53,24,4,7,109,22,3,55,0,3,6,6,15
03030715,7509,1287,6594,6222,372,915,7509,446,594,231,610,1639,1372,1135,1482,3595,915,1287,151,171,69,241,426,116,73,40,504,915,1287,233,18,0,20,24,10,3,62,33,0,3,40,3,19,151,67,19,13,690,62,18,387,18,129,20,12,37
03030716,1123,31,1107,1092,15,16,1123,33,86,16,46,168,203,215,356,567,16,31,3,3,3,3,7,6,6,0,18,16,31,16,3,0,0,0,0,0,3,6,4,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,3,0
03040508,4611,902,4331,3709,622,280,4611,294,474,176,369,974,909,681,734,2283,280,902,99,148,60,61,231,131,106,66,436,280,902,258,22,10,12,6,3,6,127,22,12,10,23,0,10,211,76,15,74,388,184,9,68,7,21,18,6,51
03040512,9826,1388,9171,8438,733,655,9826,522,799,284,720,2236,1768,1291,2206,5144,655,1388,161,189,64,173,493,171,88,49,728,655,1388,532,35,16,27,22,24,33,163,31,22,22,74,12,19,176,55,45,44,392,180,9,113,12,36,10,19,89
03040513,3386,453,3165,2933,232,221,3386,161,386,144,241,688,643,445,678,1747,221,453,45,76,40,28,146,54,40,24,212,221,453,216,25,7,16,34,6,15,48,10,9,3,16,7,3,61,24,3,19,93,24,6,19,0,13,0,22,27
03040614,35951,4905,33203,31046,2157,2748,35951,2719,3489,864,2407,10743,5685,3547,6497,19084,2748,4905,657,684,139,532,1915,551,253,174,2481,2748,4905,2162,174,46,213,116,119,173,553,134,111,50,224,43,56,723,328,123,77,843,161,69,321,37,95,90,204,86
