district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
11,3,6,18,16427,100.0,4960.0,30.2,13291.0,80.9,11467.0,69.8,1824.0,11.1,3136.0,19.1
11,3,6,19,11266,100.0,3811.0,33.8,8934.0,79.3,7455.0,66.2,1479.0,13.1,2332.0,20.7
11,3,7,20,6359,100.0,3600.0,56.6,3176.0,49.9,2759.0,43.4,417.0,6.6,3183.0,50.1
11,3,7,21,25044,100.0,6832.0,27.3,20499.0,81.9,18212.0,72.7,2287.0,9.1,4545.0,18.1
11,3,8,24,9956,100.0,3763.0,37.8,7591.0,76.2,6193.0,62.2,1398.0,14.0,2365.0,23.8
11,4,9,25,4218,100.0,1043.0,24.7,3538.0,83.9,3175.0,75.3,363.0,8.6,680.0,16.1
11,4,9,26,29849,100.0,7406.0,24.8,24866.0,83.3,22443.0,75.2,2423.0,8.1,4983.0,16.7
11,4,10,22,5824,100.0,2133.0,36.6,4277.0,73.4,3691.0,63.4,586.0,10.1,1547.0,26.6
11,4,10,23,6756,100.0,2506.0,37.1,5279.0,78.1,4250.0,62.9,1029.0,15.2,1477.0,21.9
11,4,10,27,3195,100.0,995.0,31.1,2538.0,79.4,2200.0,68.9,338.0,10.6,657.0,20.6
11,4,11,28,27002,100.0,7772.0,28.8,22097.0,81.8,19230.0,71.2,2867.0,10.6,4905.0,18.2
11,5,12,29,4244,100.0,962.0,22.7,3692.0,87.0,3282.0,77.3,410.0,9.7,552.0,13.0
11,5,13,30,10346,100.0,2345.0,22.7,8718.0,84.3,8001.0,77.3,717.0,6.9,1628.0,15.7
11,5,13,31,10640,100.0,1410.0,13.3,9950.0,93.5,9230.0,86.7,720.0,6.8,690.0,6.5
11,5,13,32,7252,100.0,1088.0,15.0,6670.0,92.0,6164.0,85.0,506.0,7.0,582.0,8.0
12,10,31,15,7702,100.0,3446.0,44.7,5708.0,74.1,4256.0,55.3,1452.0,18.9,1994.0,25.9
12,10,31,16,9986,100.0,5025.0,50.3,6879.0,68.9,4961.0,49.7,1918.0,19.2,3107.0,31.1
12,10,31,17,10985,100.0,6043.0,55.0,7296.0,66.4,4942.0,45.0,2354.0,21.4,3689.0,33.6
12,10,32,18,14057,100.0,6520.0,46.4,10306.0,73.3,7537.0,53.6,2769.0,19.7,3751.0,26.7
12,10,32,19,8869,100.0,4188.0,47.2,6536.0,73.7,4681.0,52.8,1855.0,20.9,2333.0,26.3
12,10,32,20,4661,100.0,1515.0,32.5,3859.0,82.8,3146.0,67.5,713.0,15.3,802.0,17.2
12,21,41,25,7783,100.0,2612.0,33.6,6379.0,82.0,5171.0,66.4,1208.0,15.5,1404.0,18.0
12,21,41,26,8091,100.0,3329.0,41.1,6316.0,78.1,4762.0,58.9,1554.0,19.2,1775.0,21.9
12,21,44,21,2753,100.0,1099.0,39.9,2070.0,75.2,1654.0,60.1,416.0,15.1,683.0,24.8
12,21,44,22,8270,100.0,4990.0,60.3,5295.0,64.0,3280.0,39.7,2015.0,24.4,2975.0,36.0
12,21,44,23,5667,100.0,2444.0,43.1,4381.0,77.3,3223.0,56.9,1158.0,20.4,1286.0,22.7
12,21,44,24,11022,100.0,5976.0,54.2,7288.0,66.1,5046.0,45.8,2242.0,20.3,3734.0,33.9
12,21,45,27,10959,100.0,2657.0,24.2,9431.0,86.1,8302.0,75.8,1129.0,10.3,1528.0,13.9
12,21,45,28,266,100.0,105.0,39.5,198.0,74.4,161.0,60.5,37.0,13.9,68.0,25.6
12,22,42,29,6011,100.0,854.0,14.2,5660.0,94.2,5157.0,85.8,503.0,8.4,351.0,5.8
12,22,42,30,18099,100.0,2584.0,14.3,17091.0,94.4,15515.0,85.7,1576.0,8.7,1008.0,5.6
12,23,11,1,16726,100.0,2555.0,15.3,15535.0,92.9,14171.0,84.7,1364.0,8.2,1191.0,7.1
12,23,11,2,16689,100.0,2307.0,13.8,15764.0,94.5,14382.0,86.2,1382.0,8.3,925.0,5.5
