district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
2,20,2,7,829,87.0,104.0,21.0,74.0,380.0,68.0,40.0,55.0,371.0,480.0
2,20,2,8,2663,180.0,254.0,83.0,300.0,1033.0,333.0,236.0,244.0,1279.0,1691.0
2,20,2,9,4456,370.0,411.0,103.0,491.0,1802.0,625.0,380.0,274.0,2155.0,2727.0
2,20,2,10,5420,365.0,449.0,137.0,549.0,2303.0,709.0,494.0,414.0,2581.0,3433.0
2,20,2,11,6176,414.0,509.0,177.0,638.0,2406.0,900.0,585.0,547.0,3047.0,3644.0
2,20,2,12,4332,318.0,460.0,173.0,468.0,1573.0,606.0,401.0,333.0,2110.0,2334.0
2,20,2,13,4687,321.0,389.0,139.0,491.0,2042.0,594.0,362.0,349.0,2311.0,3005.0
2,30,3,14,4625,244.0,381.0,172.0,486.0,1446.0,736.0,519.0,641.0,2222.0,2795.0
2,30,3,15,5039,340.0,440.0,182.0,570.0,1808.0,721.0,470.0,508.0,2383.0,3039.0
2,30,3,16,2081,113.0,206.0,55.0,172.0,798.0,303.0,207.0,227.0,1016.0,1222.0
2,30,4,17,4646,247.0,458.0,148.0,495.0,1838.0,636.0,390.0,434.0,2202.0,2893.0
2,30,4,18,3702,221.0,277.0,86.0,379.0,1644.0,517.0,285.0,293.0,1790.0,2346.0
2,30,4,19,5590,323.0,409.0,150.0,607.0,2330.0,754.0,450.0,567.0,2614.0,3634.0
2,40,5,20,1726,168.0,223.0,59.0,200.0,606.0,205.0,134.0,131.0,906.0,964.0
2,40,5,21,2670,241.0,264.0,61.0,313.0,1262.0,251.0,147.0,131.0,1322.0,1679.0
2,40,5,22,3329,372.0,268.0,52.0,358.0,1696.0,287.0,145.0,151.0,1668.0,2132.0
2,40,6,23,6080,626.0,522.0,147.0,1035.0,2519.0,561.0,346.0,324.0,2959.0,3936.0
2,40,6,24,3783,236.0,229.0,57.0,864.0,1849.0,276.0,161.0,111.0,1732.0,2707.0
2,40,6,25,782,66.0,104.0,21.0,99.0,411.0,43.0,28.0,10.0,363.0,691.0
2,50,7,26,3266,253.0,249.0,42.0,406.0,1883.0,244.0,121.0,68.0,1584.0,2295.0
2,50,7,27,2422,203.0,180.0,22.0,248.0,1390.0,188.0,98.0,93.0,1166.0,1717.0
2,50,7,28,3338,299.0,203.0,50.0,359.0,1950.0,302.0,107.0,68.0,1656.0,2353.0
2,50,7,29,1815,174.0,159.0,45.0,223.0,926.0,172.0,70.0,46.0,895.0,1189.0
2,50,8,30,1509,130.0,96.0,18.0,206.0,823.0,146.0,60.0,30.0,762.0,1031.0
2,50,8,31,2975,241.0,210.0,59.0,386.0,1656.0,239.0,128.0,56.0,1411.0,2150.0
