district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
2,20,2,7,2067,183.0,190.0,33.0,140.0,800.0,220.0,191.0,310.0,1018.0,480.0
2,20,2,8,6008,336.0,477.0,155.0,650.0,2080.0,817.0,788.0,705.0,2920.0,1691.0
2,20,2,9,10969,716.0,798.0,203.0,1002.0,4091.0,1565.0,1386.0,1208.0,5351.0,2727.0
2,20,2,10,12384,697.0,837.0,250.0,1208.0,4693.0,1737.0,1647.0,1315.0,5987.0,3433.0
2,20,2,11,14760,792.0,937.0,316.0,1403.0,5136.0,2228.0,2228.0,1720.0,7356.0,3644.0
2,20,2,12,8602,539.0,714.0,233.0,849.0,3042.0,1208.0,1114.0,903.0,4286.0,2334.0
2,20,2,13,10284,617.0,705.0,199.0,914.0,4013.0,1452.0,1274.0,1110.0,5124.0,3005.0
2,30,3,14,7587,352.0,518.0,212.0,803.0,2489.0,1212.0,1037.0,964.0,3599.0,2795.0
2,30,3,15,8723,493.0,659.0,233.0,963.0,3038.0,1305.0,1134.0,898.0,4189.0,3039.0
2,30,3,16,4215,198.0,312.0,77.0,371.0,1530.0,609.0,553.0,565.0,2052.0,1222.0
2,30,4,17,8433,418.0,644.0,196.0,828.0,3325.0,1191.0,969.0,862.0,4037.0,2893.0
2,30,4,18,7710,429.0,503.0,135.0,677.0,3108.0,1199.0,910.0,749.0,3729.0,2346.0
2,30,4,19,10903,593.0,686.0,209.0,1082.0,4458.0,1596.0,1265.0,1014.0,5161.0,3634.0
2,40,5,20,5451,255.0,393.0,108.0,422.0,1281.0,604.0,714.0,1674.0,2857.0,964.0
2,40,5,21,7858,493.0,496.0,121.0,760.0,3070.0,859.0,785.0,1274.0,3969.0,1679.0
2,40,5,22,11262,806.0,716.0,148.0,931.0,4940.0,1401.0,947.0,1373.0,5629.0,2132.0
2,40,6,23,13307,868.0,786.0,228.0,1614.0,4617.0,1332.0,1289.0,2573.0,6720.0,3936.0
2,40,6,24,11314,537.0,696.0,166.0,1383.0,4774.0,1448.0,1069.0,1241.0,5369.0,2707.0
2,40,6,25,1136,72.0,110.0,25.0,151.0,626.0,71.0,56.0,25.0,514.0,691.0
2,50,7,26,9134,584.0,563.0,106.0,860.0,4847.0,1051.0,611.0,512.0,4281.0,2295.0
2,50,7,27,6623,414.0,413.0,70.0,608.0,3312.0,809.0,506.0,491.0,3173.0,1717.0
2,50,7,28,10109,707.0,677.0,187.0,873.0,5262.0,1353.0,682.0,368.0,4905.0,2353.0
2,50,7,29,5441,410.0,419.0,117.0,476.0,2644.0,702.0,397.0,276.0,2614.0,1189.0
2,50,8,30,3931,242.0,214.0,51.0,430.0,1949.0,527.0,300.0,218.0,1893.0,1031.0
2,50,8,31,7877,498.0,495.0,110.0,816.0,4044.0,908.0,587.0,419.0,3759.0,2150.0
2,50,8,32,9064,740.0,635.0,148.0,904.0,4885.0,994.0,460.0,298.0,4305.0,2699.0
2,50,8,33,10190,577.0,471.0,105.0,1046.0,5763.0,1260.0,614.0,354.0,4814.0,2855.0
2,50,8,34,11378,764.0,792.0,164.0,1146.0,5737.0,1601.0,713.0,461.0,5397.0,2771.0
2,50,8,35,7868,490.0,446.0,89.0,882.0,4057.0,815.0,556.0,533.0,3688.0,2149.0
2,50,8,36,4709,503.0,448.0,95.0,229.0,1715.0,769.0,443.0,507.0,2323.0,502.0
3,10,1,1,4499,386.0,406.0,79.0,327.0,1412.0,616.0,592.0,681.0,2122.0,500.0
3,10,1,2,3214,275.0,209.0,67.0,326.0,840.0,320.0,402.0,775.0,1637.0,630.0
3,10,1,3,8979,608.0,871.0,246.0,722.0,2186.0,909.0,1056.0,2381.0,4726.0,1215.0
3,20,2,4,2058,90.0,193.0,43.0,102.0,353.0,344.0,389.0,544.0,1002.0,47.0
3,20,2,5,8696,471.0,839.0,232.0,758.0,1968.0,1483.0,1333.0,1612.0,4533.0,743.0
3,20,2,6,6404,451.0,644.0,214.0,542.0,1625.0,1064.0,768.0,1096.0,3279.0,784.0
3,20,2,7,11464,734.0,1205.0,334.0,773.0,2997.0,1849.0,1614.0,1958.0,5848.0,1086.0
3,20,3,8,5220,283.0,589.0,135.0,376.0,1138.0,866.0,884.0,949.0,2673.0,287.0
3,20,3,9,5238,349.0,512.0,147.0,358.0,1199.0,831.0,891.0,951.0,2575.0,396.0
3,20,3,10,7961,550.0,796.0,241.0,532.0,1979.0,1099.0,1321.0,1443.0,4115.0,541.0
3,30,4,11,11455,1011.0,1218.0,335.0,941.0,3222.0,1409.0,1427.0,1892.0,5936.0,1335.0
3,30,4,12,5138,254.0,402.0,112.0,327.0,958.0,786.0,1004.0,1295.0,2617.0,212.0
3,30,4,13,3101,155.0,327.0,100.0,215.0,526.0,498.0,589.0,691.0,1562.0,120.0
3,30,5,14,6875,339.0,672.0,195.0,393.0,1269.0,1077.0,1282.0,1648.0,3475.0,258.0
3,30,5,15,38,0.0,9.0,0.0,0.0,0.0,4.0,16.0,9.0,16.0,0.0
3,30,5,16,7779,476.0,651.0,191.0,661.0,1828.0,1144.0,1256.0,1572.0,3757.0,1085.0
3,30,5,17,1120,41.0,79.0,34.0,49.0,161.0,175.0,225.0,356.0,568.0,17.0
3,40,6,18,4742,274.0,492.0,169.0,433.0,989.0,811.0,794.0,780.0,2376.0,338.0
3,40,6,19,10438,598.0,843.0,281.0,826.0,2434.0,1609.0,1531.0,2316.0,5437.0,989.0
3,40,6,20,3509,157.0,385.0,120.0,302.0,672.0,612.0,523.0,738.0,1807.0,320.0
3,40,7,21,11438,875.0,1382.0,344.0,863.0,3712.0,1962.0,1092.0,1208.0,5893.0,1283.0
3,40,7,22,3607,203.0,404.0,120.0,255.0,760.0,609.0,454.0,802.0,1980.0,264.0
3,40,7,23,7112,559.0,702.0,180.0,572.0,2621.0,978.0,679.0,821.0,3613.0,946.0
3,40,7,24,7633,521.0,738.0,144.0,603.0,1976.0,1056.0,978.0,1617.0,4154.0,584.0
3,40,7,25,7450,457.0,645.0,156.0,506.0,1753.0,937.0,982.0,2014.0,4060.0,552.0
3,40,8,26,6620,445.0,619.0,121.0,511.0,1953.0,931.0,773.0,1267.0,3501.0,862.0
3,40,8,27,9628,627.0,761.0,169.0,777.0,3517.0,1445.0,994.0,1338.0,4905.0,1499.0
3,40,8,28,4615,276.0,293.0,75.0,379.0,1704.0,549.0,500.0,839.0,2378.0,738.0
3,40,8,29,5583,321.0,504.0,146.0,405.0,1638.0,746.0,707.0,1116.0,2935.0,589.0
3,40,8,30,9292,555.0,736.0,188.0,685.0,3076.0,1416.0,1182.0,1454.0,4916.0,837.0
3,40,8,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50,9,32,5096,321.0,353.0,100.0,408.0,1390.0,748.0,709.0,1067.0,2643.0,484.0
3,50,9,33,7551,472.0,691.0,168.0,551.0,2227.0,1083.0,912.0,1447.0,3956.0,775.0
