district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
2,4,5,1,1726,168.0,223.0,59.0,200.0,606.0,205.0,134.0,131.0,906.0,964.0
2,4,5,2,2670,241.0,264.0,61.0,313.0,1262.0,251.0,147.0,131.0,1322.0,1679.0
2,4,5,3,3329,372.0,268.0,52.0,358.0,1696.0,287.0,145.0,151.0,1668.0,2132.0
2,4,7,1,6080,626.0,522.0,147.0,1035.0,2519.0,561.0,346.0,324.0,2959.0,3936.0
2,4,7,2,3783,236.0,229.0,57.0,864.0,1849.0,276.0,161.0,111.0,1732.0,2707.0
2,4,7,3,782,66.0,104.0,21.0,99.0,411.0,43.0,28.0,10.0,363.0,691.0
2,5,6,1,3266,253.0,249.0,42.0,406.0,1883.0,244.0,121.0,68.0,1584.0,2295.0
2,5,6,2,7575,676.0,542.0,117.0,830.0,4266.0,662.0,275.0,207.0,3717.0,5259.0
2,5,8,1,8202,785.0,599.0,141.0,1047.0,4504.0,674.0,319.0,133.0,3943.0,5880.0
2,5,8,2,7742,585.0,403.0,64.0,1036.0,4669.0,633.0,229.0,123.0,3672.0,5626.0
2,5,8,3,3007,250.0,181.0,32.0,416.0,1732.0,224.0,103.0,69.0,1401.0,2149.0
2,5,8,4,1078,175.0,113.0,26.0,66.0,435.0,149.0,61.0,53.0,541.0,502.0
3,1,1,1,725,74.0,75.0,12.0,83.0,315.0,81.0,49.0,36.0,293.0,470.0
3,1,1,2,2527,373.0,335.0,66.0,358.0,869.0,226.0,132.0,168.0,1186.0,1842.0
3,1,1,4,55,6.0,6.0,4.0,9.0,24.0,6.0,0.0,0.0,19.0,33.0
3,2,2,3,127,12.0,18.0,7.0,3.0,40.0,22.0,10.0,15.0,52.0,47.0
3,2,2,9,2635,282.0,326.0,84.0,450.0,846.0,306.0,160.0,181.0,1392.0,1527.0
3,2,2,10,1922,222.0,316.0,61.0,179.0,673.0,217.0,121.0,133.0,981.0,1086.0
3,2,3,7,2700,305.0,426.0,112.0,213.0,779.0,363.0,234.0,268.0,1380.0,1224.0
3,3,4,5,2264,381.0,343.0,56.0,257.0,727.0,209.0,125.0,166.0,1100.0,1335.0
3,3,4,6,773,83.0,116.0,16.0,65.0,210.0,104.0,57.0,122.0,407.0,332.0
3,3,7,11,603,84.0,100.0,32.0,49.0,163.0,49.0,56.0,70.0,325.0,258.0
3,3,7,15,1591,178.0,226.0,49.0,246.0,569.0,157.0,69.0,97.0,700.0,1085.0
3,3,7,16,48,13.0,3.0,3.0,0.0,13.0,0.0,16.0,0.0,29.0,17.0
3,4,5,8,999,88.0,168.0,57.0,89.0,249.0,133.0,110.0,105.0,500.0,338.0
3,4,5,12,1998,246.0,257.0,72.0,205.0,690.0,242.0,126.0,160.0,1041.0,989.0
3,4,5,13,652,65.0,109.0,24.0,73.0,194.0,97.0,43.0,47.0,288.0,320.0
3,4,6,14,6568,848.0,916.0,181.0,609.0,2557.0,705.0,316.0,436.0,3304.0,3629.0
3,4,8,18,7037,791.0,735.0,143.0,729.0,3239.0,656.0,329.0,415.0,3511.0,4525.0
3,5,9,19,710,86.0,90.0,37.0,77.0,265.0,79.0,40.0,36.0,339.0,484.0
3,5,9,20,1302,156.0,152.0,42.0,110.0,527.0,138.0,88.0,89.0,656.0,775.0
3,5,9,23,2608,287.0,240.0,54.0,281.0,1296.0,265.0,110.0,75.0,1235.0,1724.0
3,5,9,24,1628,155.0,185.0,50.0,197.0,740.0,183.0,73.0,45.0,768.0,1101.0
3,5,9,25,2052,247.0,283.0,66.0,238.0,835.0,181.0,109.0,93.0,1041.0,1313.0
3,5,10,17,981,83.0,63.0,19.0,180.0,412.0,94.0,74.0,56.0,423.0,685.0
3,5,10,21,1119,155.0,118.0,29.0,143.0,442.0,101.0,54.0,77.0,565.0,750.0
3,5,10,22,548,66.0,82.0,19.0,56.0,191.0,62.0,28.0,44.0,281.0,322.0
3,6,11,26,5324,487.0,448.0,85.0,652.0,2737.0,539.0,217.0,159.0,2553.0,3598.0
3,6,11,31,3798,317.0,352.0,59.0,405.0,1966.0,444.0,149.0,106.0,1899.0,2607.0
3,6,12,27,4101,329.0,327.0,81.0,409.0,2214.0,481.0,166.0,94.0,2058.0,2676.0
3,6,12,28,3459,304.0,293.0,72.0,368.0,1792.0,321.0,160.0,149.0,1776.0,2305.0
3,6,13,32,7454,637.0,743.0,161.0,686.0,3728.0,986.0,360.0,153.0,3732.0,4940.0
3,6,14,29,1931,239.0,214.0,52.0,244.0,649.0,210.0,114.0,209.0,1018.0,1165.0
3,6,14,30,1673,233.0,291.0,76.0,261.0,534.0,111.0,77.0,90.0,798.0,1359.0
3,6,14,34,1927,165.0,152.0,29.0,205.0,1044.0,173.0,82.0,77.0,951.0,1355.0
3,6,14,35,1307,105.0,122.0,27.0,163.0,625.0,125.0,88.0,52.0,650.0,888.0
3,6,14,41,817,94.0,152.0,34.0,67.0,325.0,92.0,24.0,29.0,431.0,438.0
3,7,15,36,4314,367.0,416.0,148.0,499.0,2004.0,582.0,206.0,92.0,2153.0,2877.0
3,7,15,37,5747,591.0,592.0,156.0,539.0,2722.0,721.0,247.0,179.0,2908.0,3909.0
3,7,16,33,1040,108.0,135.0,28.0,82.0,493.0,96.0,40.0,58.0,497.0,700.0
3,7,16,38,5918,564.0,611.0,124.0,607.0,2870.0,670.0,285.0,187.0,3017.0,3870.0
3,7,16,39,3635,343.0,428.0,121.0,335.0,1629.0,464.0,187.0,128.0,1844.0,2253.0
4,1,1,1,5402,434.0,547.0,143.0,590.0,1829.0,787.0,541.0,531.0,2645.0,3146.0
4,1,1,2,323,19.0,45.0,12.0,60.0,107.0,31.0,33.0,16.0,84.0,270.0
4,1,1,3,4401,437.0,620.0,166.0,389.0,1277.0,644.0,480.0,388.0,2257.0,2206.0
4,2,2,4,66,0.0,20.0,6.0,9.0,13.0,6.0,0.0,12.0,35.0,41.0
4,2,2,5,337,12.0,36.0,12.0,45.0,95.0,68.0,50.0,19.0,153.0,188.0
4,2,2,6,900,85.0,90.0,21.0,76.0,317.0,118.0,81.0,112.0,431.0,583.0
4,2,2,7,829,49.0,80.0,33.0,99.0,257.0,141.0,94.0,76.0,421.0,480.0
4,2,2,8,840,61.0,130.0,43.0,86.0,168.0,132.0,102.0,118.0,423.0,426.0
4,2,2,9,1217,46.0,89.0,21.0,396.0,438.0,98.0,74.0,55.0,569.0,934.0
4,2,3,10,531,55.0,51.0,19.0,155.0,198.0,32.0,9.0,12.0,251.0,461.0
4,2,3,11,4924,323.0,498.0,167.0,582.0,1501.0,749.0,501.0,603.0,2466.0,2809.0
4,2,3,12,1885,136.0,224.0,72.0,209.0,591.0,268.0,174.0,211.0,903.0,1149.0
4,2,3,13,2803,199.0,271.0,66.0,377.0,972.0,338.0,252.0,328.0,1419.0,1679.0
4,2,3,14,6,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0
4,3,4,15,1858,100.0,108.0,34.0,290.0,748.0,230.0,164.0,184.0,858.0,1372.0
4,3,4,16,4992,384.0,483.0,181.0,462.0,1506.0,713.0,584.0,679.0,2563.0,2721.0
4,3,4,17,4203,281.0,414.0,129.0,422.0,1400.0,639.0,426.0,492.0,2118.0,2460.0
4,3,5,18,4538,323.0,351.0,106.0,510.0,1579.0,618.0,537.0,514.0,2235.0,2713.0
4,3,5,19,2784,185.0,278.0,73.0,276.0,1097.0,377.0,261.0,237.0,1321.0,1666.0
4,3,6,20,4032,252.0,362.0,101.0,400.0,1377.0,629.0,424.0,487.0,2008.0,2385.0
4,3,6,21,2044,126.0,168.0,37.0,245.0,835.0,259.0,189.0,185.0,960.0,1278.0
4,3,6,22,5276,360.0,446.0,145.0,503.0,1747.0,764.0,598.0,713.0,2636.0,3077.0
4,3,6,23,2984,218.0,245.0,84.0,270.0,1083.0,400.0,319.0,365.0,1543.0,1713.0
4,3,7,24,2527,152.0,190.0,78.0,239.0,855.0,320.0,260.0,433.0,1299.0,1510.0
4,3,7,25,5053,330.0,414.0,127.0,577.0,1803.0,713.0,561.0,528.0,2501.0,3153.0
4,3,7,26,2575,172.0,225.0,73.0,247.0,783.0,424.0,318.0,333.0,1321.0,1535.0
4,3,8,27,6690,404.0,505.0,166.0,820.0,2303.0,974.0,750.0,768.0,3223.0,4327.0
