district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,20,5,21,3087,943.0,60.0,48.0,110.0,18.0,46.0,180.0,266.0,71.0,43.0,31.0,201.0,33.0,107,229.0,74.0,72.0,15.0,1239.0,429.0,35.0,617.0,242.0,128.0,18.0,53.0,171.0
1,20,5,22,4035,1276.0,145.0,59.0,165.0,64.0,84.0,244.0,99.0,127.0,59.0,116.0,197.0,32.0,60,436.0,167.0,114.0,34.0,1095.0,399.0,83.0,414.0,112.0,55.0,26.0,137.0,182.0
1,20,6,23,5466,1541.0,148.0,73.0,200.0,75.0,98.0,355.0,114.0,138.0,72.0,108.0,315.0,71.0,72,355.0,145.0,85.0,15.0,2088.0,985.0,64.0,737.0,169.0,226.0,31.0,114.0,321.0
1,20,6,24,3486,758.0,47.0,41.0,125.0,51.0,45.0,119.0,59.0,39.0,27.0,85.0,88.0,9.0,21,427.0,199.0,100.0,35.0,1039.0,531.0,67.0,312.0,66.0,64.0,45.0,86.0,275.0
1,20,6,25,4169,925.0,55.0,60.0,72.0,27.0,42.0,237.0,174.0,56.0,67.0,49.0,344.0,86.0,104,265.0,119.0,64.0,16.0,1953.0,1022.0,39.0,712.0,232.0,163.0,21.0,52.0,371.0
1,20,6,26,2546,803.0,86.0,46.0,85.0,24.0,52.0,202.0,45.0,64.0,21.0,62.0,104.0,17.0,41,315.0,144.0,78.0,8.0,657.0,263.0,42.0,272.0,55.0,55.0,12.0,89.0,118.0
1,20,6,27,2125,359.0,15.0,7.0,50.0,15.0,22.0,144.0,25.0,19.0,12.0,14.0,170.0,31.0,76,276.0,104.0,78.0,13.0,1016.0,352.0,40.0,468.0,129.0,140.0,7.0,6.0,169.0
1,20,6,28,1328,477.0,44.0,29.0,48.0,12.0,41.0,148.0,41.0,16.0,3.0,24.0,27.0,6.0,9,121.0,51.0,21.0,18.0,342.0,144.0,13.0,127.0,12.0,12.0,25.0,37.0,85.0
1,20,6,29,2781,941.0,106.0,42.0,79.0,58.0,117.0,185.0,44.0,39.0,27.0,64.0,111.0,24.0,26,312.0,130.0,70.0,12.0,617.0,154.0,45.0,272.0,30.0,66.0,28.0,79.0,79.0
1,30,7,30,5687,1473.0,57.0,95.0,64.0,32.0,48.0,320.0,436.0,197.0,80.0,62.0,462.0,116.0,162,251.0,147.0,16.0,15.0,2794.0,1481.0,15.0,900.0,205.0,185.0,15.0,24.0,377.0
1,30,7,31,4979,1396.0,71.0,132.0,126.0,49.0,52.0,311.0,263.0,185.0,64.0,55.0,386.0,121.0,125,255.0,101.0,35.0,28.0,2301.0,1246.0,39.0,761.0,189.0,207.0,12.0,43.0,307.0
