id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01022103,266,209,120,57,63,146,266,23,39,12,27,78,38,27,22,112,146,209,23,33,6,27,67,26,15,12,91,146,209,36,3,3,0,0,0,7,6,11,3,0,3,0,0,6,6,0,0,130,38,11,42,12,7,10,0,13
01022104,18736,9343,12697,9393,3304,6039,18736,989,1120,343,2798,6840,2392,2094,2160,8781,6039,9343,629,848,240,1415,3432,1180,804,795,4260,6039,9343,3156,270,164,343,110,158,165,820,265,203,175,709,120,234,546,219,114,36,3327,1458,109,1303,376,307,95,169,497
01022105,5318,3126,3323,2192,1131,1995,5318,304,393,111,836,1934,632,569,539,2472,1995,3126,229,334,96,464,1115,397,260,231,1438,1995,3126,1033,60,61,96,24,39,28,206,268,107,31,194,28,104,192,71,53,3,1273,541,28,547,222,79,19,43,186
01022106,11512,4046,9177,7466,1711,2335,11512,580,713,212,1298,3461,1664,1650,1934,5836,2335,4046,282,372,90,521,1542,464,395,380,1994,2335,4046,1442,146,72,164,69,84,90,292,77,117,64,233,43,73,364,143,93,25,1086,449,61,430,130,53,24,116,202
01022201,10990,5438,7638,5552,2086,3352,10990,660,681,197,1763,4335,1388,991,975,5142,3352,5438,423,492,139,851,2083,682,404,364,2572,3352,5438,1814,210,71,203,77,102,114,354,112,180,66,316,69,94,336,134,72,16,2035,1001,76,697,152,221,34,76,331
01022202,2058,1288,1401,770,631,657,2058,145,190,59,317,706,273,181,187,1024,657,1288,105,172,43,166,468,167,83,84,642,657,1288,243,15,10,43,18,7,21,47,13,13,4,19,3,6,76,43,18,6,627,392,15,176,52,29,3,9,186
01022203,7021,4164,4662,2857,1805,2359,7021,489,645,161,1010,2183,858,674,1001,3460,2359,4164,389,532,134,548,1317,510,307,427,2078,2359,4164,1007,61,59,78,29,55,42,282,137,61,65,332,97,103,288,92,73,30,1942,1052,24,735,243,142,18,26,375
01022204,6008,2544,4446,3464,982,1562,6008,323,340,96,707,1982,843,707,1010,2965,1562,2544,172,225,52,360,990,334,220,191,1193,1562,2544,1003,99,61,92,41,56,59,238,94,49,16,99,15,27,299,143,53,15,675,253,39,274,46,65,12,89,105
01022205,3310,2050,2232,1260,972,1078,3310,247,339,114,415,865,418,387,525,1606,1078,2050,202,299,93,250,594,249,180,183,997,1078,2050,426,21,17,64,15,12,9,162,28,21,21,173,27,82,283,107,74,12,936,325,32,447,121,124,6,16,142
01022206,3048,1237,2369,1811,558,679,3048,147,203,57,354,967,478,358,484,1437,679,1237,87,119,35,184,434,164,98,116,591,679,1237,478,33,26,49,29,33,17,159,27,19,6,45,12,3,136,57,24,28,339,137,27,112,13,25,18,22,70
