district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
1,1,11,1,3269,153.0,127.0,32.0,502.0,999.0,348.0,389.0,719.0,1584.0,1338.0
1,1,11,2,185,4.0,9.0,3.0,15.0,51.0,36.0,40.0,27.0,71.0,61.0
1,1,11,3,5073,254.0,329.0,122.0,578.0,1430.0,682.0,770.0,908.0,2336.0,1787.0
1,1,11,4,4781,277.0,396.0,135.0,912.0,1661.0,629.0,426.0,345.0,2160.0,1909.0
1,1,11,5,1322,83.0,64.0,13.0,103.0,455.0,199.0,185.0,220.0,602.0,605.0
1,1,12,1,2387,106.0,149.0,61.0,279.0,708.0,326.0,354.0,404.0,1113.0,964.0
1,1,12,2,635,30.0,39.0,9.0,43.0,240.0,89.0,93.0,92.0,274.0,238.0
1,1,12,3,1086,57.0,51.0,24.0,101.0,343.0,200.0,131.0,179.0,512.0,404.0
1,1,12,4,8117,432.0,401.0,104.0,769.0,2771.0,1057.0,973.0,1610.0,3994.0,2627.0
1,1,13,1,6841,453.0,390.0,84.0,639.0,2991.0,1043.0,605.0,636.0,3314.0,2077.0
1,1,13,2,12640,699.0,1016.0,291.0,1060.0,4985.0,2376.0,1238.0,975.0,6094.0,3406.0
1,1,13,3,9923,445.0,482.0,91.0,1251.0,3899.0,1272.0,940.0,1543.0,4671.0,3387.0
1,1,13,4,8765,469.0,530.0,173.0,829.0,2260.0,902.0,980.0,2622.0,4661.0,2233.0
1,1,13,5,8007,389.0,376.0,110.0,688.0,2611.0,1032.0,866.0,1935.0,3945.0,2005.0
1,1,13,6,10416,614.0,498.0,115.0,1416.0,3712.0,1382.0,1145.0,1534.0,5111.0,3044.0
1,1,14,1,17588,1244.0,1343.0,280.0,1720.0,7855.0,2788.0,1346.0,1012.0,8560.0,5395.0
1,1,14,2,13593,1040.0,1084.0,196.0,1001.0,6330.0,2315.0,831.0,796.0,6722.0,3625.0
1,2,21,1,3566,182.0,214.0,64.0,646.0,1333.0,465.0,377.0,285.0,1597.0,1336.0
1,2,21,2,6658,360.0,411.0,140.0,1237.0,2445.0,819.0,651.0,595.0,3049.0,2816.0
1,2,21,3,266,23.0,39.0,12.0,27.0,78.0,38.0,27.0,22.0,112.0,146.0
1,2,21,4,18736,989.0,1120.0,343.0,2798.0,6840.0,2392.0,2094.0,2160.0,8781.0,6039.0
