id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,391831,219381,251288,172450,78838,140543,100.0,55.988678792642744,64.1317302612606,44.01132120735725,20.12040905390334,35.86826973873941
02,02,291851,137621,206136,154230,51906,85715,100.0,47.154541187112606,70.63056148514138,52.8454588128874,17.785102672253995,29.369438514858608
03,03,418249,109572,346763,308677,38086,71486,100.0,26.197791267881094,82.90826756310237,73.8022087321189,9.106058830983457,17.09173243689764
04,04,339405,149030,252417,190375,62042,86988,100.0,43.90919403073025,74.37044239183277,56.09080596926975,18.279636422563016,25.629557608167236
05,05,251588,104005,192281,147583,44698,59307,100.0,41.339412054629,76.42693610188086,58.660587945371,17.76634815650985,23.57306389811915
06,06,310454,95683,258689,214771,43918,51765,100.0,30.82034697571943,83.3260321980068,69.17965302428057,14.14637917372622,16.673967801993207
07,07,351567,140021,275901,211546,64355,75666,100.0,39.82768576117781,78.47750215463908,60.17231423882219,18.3051879158169,21.522497845360913
08,08,329037,161388,239592,167649,71943,89445,100.0,49.048587240948585,72.81612706169824,50.951412759051415,21.864714302646814,27.18387293830177
09,09,284450,59217,246105,225233,20872,38345,100.0,20.818069959571105,86.5195992265776,79.1819300404289,7.337669186148708,13.480400773422394
10,10,281566,69415,238694,212151,26543,42872,100.0,24.653189660683463,84.77372978271525,75.34681033931653,9.426919443398706,15.226270217284757
11,11,304485,95891,239428,208594,30834,65057,100.0,31.492848580389836,78.63375864164081,68.50715141961015,10.126607222030643,21.366241358359197
12,12,267398,99989,211492,167409,44083,55906,100.0,37.393323809452575,79.09258857583077,62.606676190547425,16.48591238528336,20.90741142416922
