id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,391831,22955,29209,8875,49265,141554,47190,42723,50060,190034,140543,100.0,5.858393031689682,7.454489307890391,2.265007107656107,12.57302255309049,36.126289139960846,12.043457511018781,10.903425201170913,12.775916147522784,48.498970219303736,35.86826973873941
02,02,291851,17543,21390,6139,29567,116960,38681,31144,30427,142525,85715,100.0,6.010943940572416,7.329082305697085,2.1034706065766433,10.130854442849262,40.075243874442776,13.253680816581065,10.671198659589995,10.425525353690754,48.8348506600971,29.369438514858608
03,03,418249,25852,37970,10670,35021,131874,62904,51900,62058,213732,71486,100.0,6.181007007787227,9.078324156184474,2.5511118974582128,8.373241777027559,31.530021590009778,15.039844685821125,12.408876052303771,14.83757283340785,51.10161650117514,17.09173243689764
04,04,339405,16816,22935,7270,33653,89213,42319,48342,78857,176342,86988,100.0,4.954552820376836,6.757413709285368,2.1419837657076357,9.915292939114039,26.28511660111077,12.46858472915838,14.24316082556238,23.233894609684594,51.956217498269034,25.629557608167236
05,05,251588,15730,23065,7099,24971,61688,30391,35249,53395,128460,59307,100.0,6.252285482614433,9.16776634815651,2.8216767095409954,9.925354150436426,24.519452438113106,12.079669936562953,14.010604639330971,21.223190295244606,51.059668982622384,23.57306389811915
06,06,310454,15539,25624,8288,28588,66671,39916,46265,79563,164093,51765,100.0,5.005250375256882,8.253718747382866,2.669638658223118,9.208449560965553,21.475323236292656,12.85729931004271,14.902368788934913,25.6279513229013,52.85581760904997,16.673967801993207
07,07,351567,20208,27061,8376,33949,93379,44045,50351,74198,179676,75666,100.0,5.7479797591924155,7.697252586278007,2.382476170971678,9.656480841489673,26.560797799565943,12.528195194657062,14.321878902172275,21.104938745672943,51.10718582802141,21.522497845360913
08,08,329037,19355,26419,8203,31612,104905,39660,41260,57623,165145,89445,100.0,5.8823171862131005,8.029188206797413,2.4930326984503264,9.607430167427978,31.882432674744788,12.053355701638417,12.53962320346952,17.51262016125846,50.19040411868574,27.18387293830177
09,09,284450,17425,22812,6311,24650,79854,33848,39383,60167,145007,38345,100.0,6.125856916857093,8.019687115486025,2.2186676041483566,8.665846370188083,28.073123571805237,11.899455088767798,13.845315521181226,21.15204781156618,50.97802777289506,13.480400773422394
10,10,281566,17832,26164,7420,23670,71821,30361,43944,60354,141985,42872,100.0,6.333151019654363,9.292315123274827,2.6352613596812113,8.40655476868656,25.50769624173373,10.782907027126855,15.606998004020372,21.435116455822083,50.42689813400766,15.226270217284757
11,11,304485,20243,25634,6981,29155,94047,32684,37437,58304,153265,65057,100.0,6.6482749560733705,8.418805524081646,2.292723779496527,9.575184327635187,30.887235824424845,10.734190518416343,12.295186955022414,19.148398114849662,50.33581293002939,21.366241358359197
12,12,267398,15599,23075,7414,25971,61825,32681,38807,62026,135983,55906,100.0,5.8336262799273,8.629458709489226,2.7726460182948265,9.71248850028796,23.120965751426713,12.22185655838862,14.512823581328208,23.19613460085715,50.854157473129945,20.90741142416922
