id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,16756.0,22379.0,6993.000000000001,28487.0,84449.0,26518.0,17894.0,15905.000000000002,105707.0,140543.0
02,02,100.0,10491.0,12469.0,3936.9999999999995,15459.0,59342.99999999999,16419.0,10364.0,9139.0,67176.0,85715.0
03,03,100.0,11215.0,12723.0,3293.0,11478.0,47602.0,12060.0,5941.0,5260.0,55477.0,71486.0
04,04,100.0,10881.0,15166.999999999998,4657.0,15719.999999999998,48511.0,20350.0,15780.000000000002,17964.0,76306.0,86988.0
05,05,100.0,10009.0,14444.0,4384.0,10637.0,31520.0,13656.0,9819.0,9536.0,51483.00000000001,59307.00000000001
06,06,100.0,7720.0,12232.0,3724.0,10197.0,27962.0,13066.999999999998,9937.0,10844.0,49520.0,51765.0
07,07,100.0,11987.0,16071.0,5017.0,14022.0,45266.0,18919.0,14116.0,14622.999999999998,69714.0,75666.0
08,08,100.0,13201.0,18838.0,6223.0,16186.000000000002,57329.0,21037.0,15038.0,13536.000000000002,78471.0,89445.0
09,09,100.0,6592.0,7006.999999999999,1878.0,7409.0,23186.0,5950.0,3408.0,3786.9999999999995,29012.0,38345.0
10,10,100.0,8067.0,9687.0,2689.0,8050.0,22753.0,7483.0,5115.0,5571.0,34129.0,42872.0
11,11,100.0,10712.0,11561.0,3038.0,13215.0,36525.0,9275.0,6062.0,5503.0,46471.0,65057.00000000001
12,12,100.0,9584.0,13455.000000000002,4258.0,10872.0,30673.0,13057.0,9352.0,8738.0,48989.0,55905.99999999999
