id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01100101,01,10,01,01,3503,2223,1994,1280,714,1509,100.0,63.45989152155296,56.922637739080784,36.540108478447046,20.382529260633742,43.07736226091921
01100102,01,10,01,02,1996,1392,931,604,327,1065,100.0,69.73947895791584,46.64328657314629,30.26052104208417,16.382765531062123,53.35671342685371
01100103,01,10,01,03,5537,3352,3443,2185,1258,2094,100.0,60.53819757991692,62.18168683402564,39.461802420083075,22.719884413942566,37.81831316597435
01100104,01,10,01,04,4850,3215,2876,1635,1241,1974,100.0,66.28865979381443,59.29896907216495,33.71134020618557,25.587628865979383,40.70103092783505
01100205,01,10,02,05,2981,2010,1429,971,458,1552,100.0,67.4270379067427,47.93693391479369,32.572962093257296,15.3639718215364,52.06306608520631
01100206,01,10,02,06,1893,1049,1170,844,326,723,100.0,55.41468568409932,61.806656101426306,44.58531431590069,17.22134178552562,38.193343898573694
01100207,01,10,02,07,8814,4908,5497,3906,1591,3317,100.0,55.684138869979584,62.3666893578398,44.31586113002042,18.05082822781938,37.6333106421602
01100308,01,10,03,08,7371,3510,4851,3861,990,2520,100.0,47.61904761904761,65.8119658119658,52.38095238095239,13.431013431013431,34.18803418803419
01100309,01,10,03,09,12518,5335,8997,7183,1814,3521,100.0,42.618629173989454,71.87250359482346,57.381370826010546,14.491132768812909,28.127496405176544
01100310,01,10,03,10,10276,5368,6382,4908,1474,3894,100.0,52.23822499026859,62.1058777734527,47.76177500973141,14.344102763721292,37.894122226547296
01100311,01,10,03,11,9437,4671,6386,4766,1620,3051,100.0,49.49666207481191,67.66981032107662,50.503337925188085,17.166472395888523,32.33018967892339
01100312,01,10,03,12,10136,4940,6826,5196,1630,3310,100.0,48.737174427782165,67.34411996842937,51.26282557221784,16.081294396211522,32.65588003157064
01100313,01,10,03,13,11016,5312,7383,5704,1679,3633,100.0,48.22076978939724,67.020697167756,51.779230210602755,15.241466957153232,32.97930283224401
01100414,01,10,04,14,5560,3203,3132,2357,775,2428,100.0,57.60791366906475,56.330935251798564,42.39208633093525,13.93884892086331,43.66906474820144
01100415,01,10,04,15,12997,5531,9273,7466,1807,3724,100.0,42.55597445564361,71.34723397707164,57.44402554435639,13.903208432715243,28.65276602292837
01100416,01,10,04,16,13400,5656,9626,7744,1882,3774,100.0,42.208955223880594,71.83582089552239,57.791044776119406,14.044776119402986,28.16417910447761
01200517,01,20,05,17,3771,2237,2195,1534,661,1576,100.0,59.32113497745956,58.20737204985414,40.67886502254044,17.52850702731371,41.79262795014585
01200518,01,20,05,18,6935,4437,3870,2498,1372,3065,100.0,63.979812545061286,55.803893294881036,36.02018745493872,19.78370583994232,44.19610670511896
01200519,01,20,05,19,9200,5095,5710,4105,1605,3490,100.0,55.3804347826087,62.06521739130435,44.619565217391305,17.445652173913043,37.93478260869565
01200520,01,20,05,20,9552,4698,6647,4854,1793,2905,100.0,49.18341708542713,69.58752093802345,50.81658291457286,18.770938023450586,30.412479061976548
01200521,01,20,05,21,5239,3176,3220,2063,1157,2019,100.0,60.62225615575492,61.46211108990265,39.37774384424508,22.084367245657567,38.537888910097344
01200522,01,20,05,22,11575,4370,9009,7205,1804,2566,100.0,37.75377969762419,77.83153347732181,62.24622030237581,15.585313174946005,22.168466522678184
01200623,01,20,06,23,10922,5710,7389,5212,2177,3533,100.0,52.27980223402307,67.6524446072148,47.72019776597693,19.93224684123787,32.3475553927852
01200624,01,20,06,24,6396,4526,3190,1870,1320,3206,100.0,70.76297686053785,49.87492182614134,29.237023139462163,20.637898686679172,50.12507817385866
01200625,01,20,06,25,6927,4189,4552,2738,1814,2375,100.0,60.47350945575285,65.71387324960301,39.52649054424715,26.187382705355855,34.286126750396996
01200626,01,20,06,26,5905,2612,4293,3293,1000,1612,100.0,44.23370025402201,72.70110076206605,55.76629974597799,16.93480101608806,27.298899237933956
01200627,01,20,06,27,3354,2236,2171,1118,1053,1183,100.0,66.66666666666666,64.72868217054264,33.33333333333333,31.3953488372093,35.27131782945737
01200628,01,20,06,28,3235,1455,2443,1780,663,792,100.0,44.97681607418856,75.5177743431221,55.02318392581144,20.494590417310665,24.482225656877898
01200629,01,20,06,29,5902,2866,3930,3036,894,1972,100.0,48.55981023381904,66.58759742460182,51.44018976618096,15.147407658420875,33.41240257539817
01300730,01,30,07,30,8042,5833,4203,2209,1994,3839,100.0,72.53170853021636,52.26311862720716,27.468291469783633,24.794827157423526,47.73688137279284
01300731,01,30,07,31,8694,5216,5292,3478,1814,3402,100.0,59.995399125833906,60.86956521739131,40.004600874166094,20.86496434322521,39.130434782608695
01300732,01,30,07,32,9845,6214,5893,3631,2262,3952,100.0,63.11833417978669,59.857795835449465,36.88166582021331,22.97613001523616,40.142204164550535
01300733,01,30,07,33,11638,7306,7119,4332,2787,4519,100.0,62.77710946898093,61.170304175975254,37.222890531019075,23.94741364495618,38.829695824024746
01300834,01,30,08,34,14372,9700,9898,4672,5226,4474,100.0,67.49234622877817,68.87002504870581,32.507653771221825,36.362371277483994,31.12997495129418
01300835,01,30,08,35,10764,6601,7252,4163,3089,3512,100.0,61.32478632478633,67.37272389446302,38.675213675213676,28.69751021924935,32.62727610553697
01300836,01,30,08,36,14964,9843,8827,5121,3706,6137,100.0,65.77786688051323,58.98823843892007,34.22213311948677,24.766105319433308,41.01176156107992
01400937,01,40,09,37,10840,5513,7403,5327,2076,3437,100.0,50.85793357933579,68.29335793357933,49.14206642066421,19.15129151291513,31.706642066420663
01400938,01,40,09,38,9690,5200,6333,4490,1843,3357,100.0,53.66357069143447,65.35603715170278,46.33642930856553,19.019607843137255,34.643962848297214
01400939,01,40,09,39,6011,3236,3727,2775,952,2284,100.0,53.83463649975045,62.00299451006488,46.16536350024954,15.83763100981534,37.99700548993512
01400940,01,40,09,40,6803,2636,5600,4167,1433,1203,100.0,38.747611347934736,82.31662501837424,61.25238865206527,21.06423636630898,17.683374981625754
01400941,01,40,09,41,3854,1829,2809,2025,784,1045,100.0,47.457187337830824,72.88531395952256,52.54281266216917,20.3425012973534,27.114686040477427
01400942,01,40,09,42,8739,4802,5444,3937,1507,3295,100.0,54.949078841972764,62.29545714612655,45.050921158027236,17.244535988099326,37.70454285387344
01401043,01,40,10,43,7746,5269,4486,2477,2009,3260,100.0,68.02220500903692,57.9137619416473,31.977794990963076,25.935966950684225,42.0862380583527
01401044,01,40,10,44,10137,6932,5637,3205,2432,4500,100.0,68.38315083357995,55.60816809707014,31.616849166420046,23.991318930650092,44.391831902929866
01401045,01,40,10,45,5593,4086,3076,1507,1569,2517,100.0,73.05560522081173,54.997318076166636,26.94439477918827,28.052923296978367,45.002681923833364
01401046,01,40,10,46,8867,4520,5957,4347,1610,2910,100.0,50.975527235818205,67.18168489906394,49.024472764181795,18.157212134882148,32.818315100936054
01401047,01,40,10,47,7860,5484,3894,2376,1518,3966,100.0,69.77099236641222,49.54198473282443,30.229007633587784,19.31297709923664,50.45801526717557
01401048,01,40,10,48,9445,5753,5698,3692,2006,3747,100.0,60.91053467443091,60.32821598729486,39.08946532556909,21.23875066172578,39.67178401270514
01401049,01,40,10,49,6729,4126,3925,2603,1322,2804,100.0,61.31668895824045,58.32961807103582,38.68331104175955,19.646307029276265,41.67038192896418
02100101,02,10,01,01,6381,4555,3698,1826,1872,2683,100.0,71.38379564331609,57.95329885597869,28.616204356683905,29.33709449929478,42.04670114402131
02100102,02,10,01,02,8705,6198,5562,2507,3055,3143,100.0,71.20045950603102,63.89431361286617,28.799540493968983,35.09477311889719,36.10568638713383
