id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,16626.0,21269.0,6396.0,27289.999999999996,76815.0,25145.0,16163.0,14646.0,97550.0,128676.0
02,02,100.0,10104.0,12006.0,3615.0,15709.0,55524.0,15386.000000000002,9335.0,8762.0,63144.00000000001,80838.0
03,03,100.0,10013.0,10647.0,2464.0,10394.0,41130.0,10334.0,4723.0,4675.0,46914.0,59935.0
04,04,100.0,10366.0,13818.0,4088.0000000000005,15408.000000000002,47920.0,21126.0,16196.0,18860.0,73499.0,88729.0
05,05,100.0,9187.0,12740.0,3772.0,9884.0,27835.000000000004,12358.0,8879.0,8546.0,45878.0,50945.0
06,06,100.0,7312.0,11029.0,3246.0,9997.0,25654.000000000004,12193.0,9222.0,10228.0,45102.0,47002.0
07,07,100.0,11503.0,15080.000000000002,4599.0,14250.0,42795.0,18252.0,13471.0,14019.0,66240.0,72353.0
08,08,100.0,13236.000000000002,18521.0,5743.0,16544.0,54945.00000000001,19918.0,13779.0,12595.0,75084.0,85241.0
09,09,100.0,5383.0,5275.0,1417.0,6366.0,17340.0,4919.0,2765.0,3425.0,22741.0,28666.000000000004
10,10,100.0,6583.0,7933.0,2184.0,6665.000000000001,18237.0,5991.0,4552.0,5011.0,27924.0,32177.0
11,11,100.0,9032.0,9745.0,2558.0,12246.0,29800.0,7837.0,5489.0,4829.0,39064.0,53104.99999999999
12,12,100.0,9226.0,12647.0,3785.0,10458.0,28050.0,12347.0,8528.0,8017.0,45074.0,50753.0
