id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0101,01,01,115917,6997,7676,2011,11511,43410,16408,12140,15764,56477,36022,100.0,6.03621556803575,6.621979519828843,1.734862013337129,9.930381221046094,37.44920934806801,14.154955701061967,10.473010861219665,13.599385767402538,48.7219303467136,31.075683463167614
0102,01,02,85694,4884,5601,1756,11567,30532,10316,9662,11376,40907,27239,100.0,5.699348845893528,6.53604686442458,2.0491516325530377,13.498027866595095,35.62909888673653,12.038182369827526,11.275001750414265,13.27514178355544,47.73613088430928,31.786356104278013
0103,01,03,77246,5471,7394,2291,10814,25424,9221,7666,8965,37301,28531,100.0,7.0825673821298185,9.572016674002537,2.9658493643683816,13.999430391217668,32.91303109546126,11.937187686093779,9.924138466716723,11.60577894000984,48.2885845221759,36.93524583797219
0104,01,04,102060,5948,7272,2274,13993,36082,12039,11023,13429,49126,36884,100.0,5.827944346462865,7.125220458553792,2.228101116990006,13.710562414266118,35.35371350186165,11.796002351557908,10.800509504213208,13.157946306094454,48.13443072702332,36.1395257691554
0201,02,01,40560,2528,3945,1308,5243,12542,5402,4518,5074,19916,14371,100.0,6.232741617357003,9.726331360946745,3.2248520710059174,12.926528599605522,30.922090729783037,13.31854043392505,11.139053254437869,12.509861932938856,49.1025641025641,35.43145956607495
0202,02,02,65395,4066,4700,1371,6266,23989,9320,8543,7140,32241,17436,100.0,6.217600734001071,7.1870938145118135,2.096490557382063,9.581772306751281,36.68323266304763,14.251854117287255,13.063689884547749,10.918265922471138,49.30193439865433,26.662588882942124
0203,02,03,47968,2554,3402,1061,4826,18257,7147,5788,4933,23023,16041,100.0,5.324382921947966,7.092228152101401,2.2118912608405603,10.060873915943963,38.060790527018014,14.899516344229486,12.066377585056705,10.283939292861909,47.99658105403603,33.4410440293529
0204,02,04,50260,3093,3121,782,5244,19297,5712,4805,8206,25037,11908,100.0,6.15399920413848,6.209709510545165,1.5559092717867091,10.43374452845205,38.39434938320732,11.364902506963787,9.560286510147234,16.327099084759254,49.814962196577795,23.692797453243138
0205,02,05,85900,6039,5428,1219,8183,44315,10651,5685,4380,40969,21082,100.0,7.030267753201397,6.318975552968569,1.4190919674039582,9.526193247962746,51.58905704307334,12.39930151338766,6.618160651920839,5.09895227008149,47.693830034924325,24.542491268917345
0301,03,01,16975,1272,1477,407,1455,4590,1880,2048,3846,8546,2643,100.0,7.493372606774669,8.701030927835053,2.397643593519882,8.571428571428571,27.039764359351988,11.075110456553755,12.06480117820324,22.65684830633284,50.34462444771724,15.569955817378498
0302,03,02,46991,3053,4725,1334,3424,11255,7670,7042,8488,24047,3711,100.0,6.496988785086506,10.055116937285863,2.8388414802834583,7.2865016705326555,23.95139494796876,16.32227447809155,14.985848353940115,18.063033346811093,51.17362899278586,7.897256921538166
0303,03,03,35511,2266,3371,963,2607,7967,5266,5692,7379,17929,3003,100.0,6.381121342682549,9.492833206612037,2.7118357691982764,7.341387175804679,22.43530173748979,14.829207851088395,16.028836135282027,20.779476781842245,50.48858100306946,8.45653459491425
0304,03,04,90649,5924,8328,2226,6899,26394,13707,10944,16227,47468,9231,100.0,6.535096912265994,9.187084248033624,2.455625544683339,7.610674138710852,29.11670288695959,15.120961069620185,12.072940683294906,17.90091451643151,52.36461516398416,10.183234233141016
0305,03,05,54282,3680,4605,1203,4349,17582,7713,6296,8854,27713,6752,100.0,6.779411222873144,8.483475185144247,2.2162042666077153,8.011863969640027,32.3901109023249,14.209130098375153,11.59868833130688,16.31111602372794,51.05375630964224,12.438745808923768
