id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,380917,23300,27943,8332,47885,135448,47984,40491,49534,183811,128676,100.0,6.116818099480989,7.335718804884003,2.1873531504238453,12.570980029770265,35.558402486630946,12.596969943583511,10.629874749617372,13.003882735609071,48.25486917097425,33.78058737205218
02,02,290083,18280,20596,5741,29762,118400,38232,29339,29733,141186,80838,100.0,6.3016447016888275,7.100036885994698,1.9790887435664966,10.25982218882182,40.81590441356439,13.179676161650287,10.114001854641602,10.249825050071875,48.67089763964107,27.867196629930053
03,03,409454,27031,36031,9511,32514,132246,63958,46853,61310,208474,59935,100.0,6.601718385948116,8.799767495249771,2.322849453174227,7.940818748870447,32.29813361207852,15.620313881412809,11.442799435345606,14.9735989879205,50.91512111250592,14.637785929554969
04,04,342950,16492,21737,6976,33056,88836,46748,48198,80907,176161,88729,100.0,4.808864265927978,6.338241726199155,2.034115760314915,9.638722845895902,25.903484472955242,13.63114156582592,14.053943723574866,23.591485639306022,51.366379938766585,25.872284589590322
05,05,244458,15111,21406,6595,24498,57941,31883,33515,53509,124825,50945,100.0,6.181429938885207,8.756514411473546,2.697804939907878,10.021353361313599,23.701821989871473,13.042322198496265,13.709921540714559,21.888831619337473,51.06194111053841,20.83998069197981
06,06,308582,15726,24523,8075,28472,65238,42901,43941,79706,162251,47002,100.0,5.096214296362069,7.946996260313304,2.6168084982273756,9.226720936412363,21.14122016190186,13.90262555819847,14.239651048991838,25.82976323959272,52.57954125645695,15.231607806028869
07,07,351062,20156,25881,8250,34180,91659,47646,48857,74433,179376,72353,100.0,5.7414359856663495,7.372202061174379,2.3500122485486896,9.736171958229601,26.10906335633022,13.571961647800105,13.9169149608901,21.20223778136056,51.09524813280844,20.609749844756767
08,08,328666,19871,25669,7883,32567,103909,41089,39676,58002,164768,85241,100.0,6.04595546846951,7.81005640985073,2.398483566903787,9.908843628486062,31.615378530179573,12.501749496449282,12.071829760303773,17.647703139357283,50.1323532096414,25.935448144925243
09,09,273817,17031,20421,5908,22877,75209,35455,37026,59890,139664,28666,100.0,6.2198475624230785,7.45790071471092,2.157645434724652,8.354850137135386,27.466884817231946,12.948429060284788,13.522169916404023,21.87227235708521,51.006329044580866,10.469035888933119
10,10,271311,17173,24102,6695,21380,68951,31247,44831,56932,136747,32177,100.0,6.329636468849402,8.883532182624368,2.467647828506769,7.880255500145589,25.414008278322665,11.517041328954594,16.523841642985357,20.984036769611258,50.40230584089846,11.85982138578974
11,11,294937,19710,23427,6404,27420,90082,32835,37407,57652,148419,53105,100.0,6.682783102832131,7.943052245055723,2.1713111613666647,9.296900694046526,30.54279388479574,11.132886006164028,12.683047566090385,19.547225339648808,50.322272214066054,18.005540166204987
12,12,266219,15741,22293,7193,25790,60062,35266,37033,62841,134963,50753,100.0,5.912801114871591,8.373932739586582,2.7019108328105808,9.687512912301525,22.56112448773378,13.246988381745856,13.910727634015604,23.60500189693448,50.696231298292005,19.064379326794857
