id,district_id,forecast_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
0101,01,01,100.0,16006.0,1859.0,662.0,2184.0,1064.0,1416.0,2350.0,1185.0,863.0000000000001,351.0,1845.0,1701.0000000000002,269.0,491.0,7143.000000000001,3379.0,1317.0,382.0,11402.0,3032.0,735.0,5268.0,505.99999999999994,1357.0,1963.0,2894.0,1801.0000000000002
0102,01,02,100.0,12320.0,1039.0,716.0,1367.0,504.0,725.0,2956.0,1349.0,863.0000000000001,609.0,729.0,2845.0,548.0,988.0000000000001,3494.0,1433.0,787.0,227.0,15813.999999999998,6422.0,584.0,6563.0,1767.0000000000002,1539.0,367.0,892.0,2698.0
0103,01,03,100.0,10861.0,596.0,833.0,1019.9999999999999,343.0,470.0,2768.0,1913.0,888.0000000000001,592.0,473.00000000000006,3554.9999999999995,831.0,1141.0,2716.0,1173.0,484.99999999999994,315.0,24353.0,13925.0,235.0,7506.999999999999,2253.0,1614.0,221.0,555.0,3826.0
0104,01,04,100.0,16226.0,1055.0,1066.0,1447.0,474.0,688.0,4015.0,3354.9999999999995,1312.0,686.0,738.0,4077.0000000000005,1097.0,1202.0,2726.0,1094.0,517.0,218.00000000000003,24335.0,12700.0,434.99999999999994,7867.0,1957.9999999999998,1705.9999999999998,424.0,729.0,3561.9999999999995
0201,02,01,100.0,4156.0,339.0,307.0,532.0,191.0,260.0,880.0000000000001,593.0,169.0,188.0,264.0,859.0,275.0,225.99999999999997,1448.0,582.0,306.0,89.0,15943.0,10418.0,254.99999999999997,4363.0,1365.0,840.0,175.0,298.0,3221.0
0202,02,02,100.0,9545.0,1350.0,579.0,1589.0,582.0,855.0000000000001,1305.0,521.0,372.0,448.00000000000006,1103.0,1335.0,257.0,378.0,1057.0,448.00000000000006,183.0,72.0,8805.0,5077.0,299.0,2745.0,877.9999999999999,554.0,91.0,1376.0,1568.0
0203,02,03,100.0,6329.0,899.0,328.0,1080.0,429.0,661.0,706.0,403.0,200.0,174.0,777.0,774.0,190.0,243.00000000000003,577.0,185.0,104.0,55.00000000000001,11659.0,9364.0,173.0,1524.0,342.0,337.0,47.0,960.0,2098.0
0204,02,04,100.0,5695.0,562.0,172.0,726.0,259.0,523.0,1018.0,447.0,484.99999999999994,147.0,504.0,952.9999999999999,171.0,302.0,2032.0,867.0,375.0,186.0,3536.9999999999995,805.0000000000001,150.0,1611.0,102.0,564.0,1621.0,468.0,613.0
0205,02,05,100.0,12522.0,1817.0000000000002,490.00000000000006,2097.0,724.0,1261.0,1689.9999999999998,462.0,580.0,243.00000000000003,1293.0,1176.0,301.0,348.0,2538.0,1038.0,478.0,286.0,4190.0,927.0,192.0,1966.0,98.0,778.0,1127.0,1510.0,530.0
0301,03,01,100.0,827.9999999999999,22.0,26.0,33.0,31.0,22.0,362.0,87.0,48.0,16.0,19.0,155.0,28.000000000000004,57.99999999999999,638.0,279.0,90.0,61.0,1474.0,139.0,62.0,645.0,26.0,238.0,213.0,45.0,30.0
