id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
09031201,09,03,12,01,100.0,21.0,18.0,13.0,3.0,43.0,26.0,24.0,53.0,105.0,71.0
09031202,09,03,12,02,100.0,31.0,41.0,6.0,19.0,88.0,33.0,17.0,37.0,140.0,128.0
09041301,09,04,13,01,100.0,76.0,68.0,12.0,41.0,211.0,96.0,44.0,133.0,343.0,337.0
09041302,09,04,13,02,100.0,18.0,40.0,13.0,12.0,46.0,22.0,13.0,30.0,102.0,87.0
09041401,09,04,14,01,100.0,64.0,50.0,6.0,43.0,147.0,48.0,41.0,102.0,262.0,222.00000000000003
09041402,09,04,14,02,100.0,37.0,39.0,9.0,13.0,68.0,22.0,14.000000000000002,31.0,127.0,124.0
09041403,09,04,14,03,100.0,59.0,67.0,26.0,101.0,192.0,43.0,42.0,79.0,254.99999999999997,403.0
09041501,09,04,15,01,100.0,182.0,206.0,62.0,168.0,470.0,169.0,117.0,60.0,718.0,923.0
09041601,09,04,16,01,100.0,61.0,62.0,15.0,37.0,166.0,79.0,51.0,72.0,270.0,222.00000000000003
09051701,09,05,17,01,100.0,73.0,28.999999999999996,6.0,57.99999999999999,142.0,46.0,34.0,57.99999999999999,198.0,280.0
09051702,09,05,17,02,100.0,157.0,157.0,62.0,132.0,371.0,165.0,77.0,176.0,684.0,618.0
09051801,09,05,18,01,100.0,95.0,158.0,53.0,86.0,250.0,126.0,66.0,118.0,461.00000000000006,504.0
09051901,09,05,19,01,100.0,200.0,133.0,34.0,241.0,701.0,174.0,76.0,166.0,886.9999999999999,1118.0
09052001,09,05,20,01,100.0,122.0,153.0,47.0,145.0,433.0,126.0,85.0,144.0,641.0,689.0
10010101,10,01,01,01,100.0,185.0,216.0,76.0,145.0,450.0,158.0,163.0,156.0,793.0,867.0
10010102,10,01,01,02,100.0,545.0,789.0,250.0,465.00000000000006,1517.0,549.0,476.0,451.0,2475.0,2532.0
10010203,10,01,02,03,100.0,103.0,107.0,16.0,171.0,296.0,67.0,28.000000000000004,15.0,250.0,746.0
10010204,10,01,02,04,100.0,341.0,400.0,111.00000000000001,285.0,819.9999999999999,266.0,210.0,268.0,1360.0,1344.0
10010205,10,01,02,05,100.0,129.0,198.0,64.0,153.0,449.0,171.0,115.99999999999999,124.0,691.0,805.0000000000001
10010206,10,01,02,06,100.0,535.0,617.0,174.0,561.0,1466.0,457.0,347.0,367.0,2136.0,2697.0
10010207,10,01,02,07,100.0,287.0,334.0,120.0,315.0,835.0,280.0,239.0,283.0,1346.0,1258.0
10010308,10,01,03,08,100.0,54.0,61.0,9.0,102.0,197.0,103.0,50.0,34.0,250.99999999999997,350.0
10010309,10,01,03,09,100.0,314.0,487.0,143.0,379.0,1173.0,416.0,310.0,382.0,1805.0,1614.0
10010310,10,01,03,10,100.0,441.0,601.0,157.0,531.0,1393.0,458.0,421.0,395.0,2174.0,2249.0
10010311,10,01,03,11,100.0,49.0,92.0,24.0,40.0,129.0,51.0,54.0,98.0,313.0,190.0
10020412,10,02,04,12,100.0,348.0,424.0,91.0,211.0,735.0,263.0,176.0,117.0,1214.0,1358.0
10020413,10,02,04,13,100.0,538.0,516.0,126.0,472.0,1303.0,347.0,233.0,272.0,1863.0,2605.0
10020414,10,02,04,14,100.0,68.0,120.0,57.99999999999999,78.0,278.0,87.0,77.0,59.0,420.0,440.00000000000006
10020415,10,02,04,15,100.0,291.0,343.0,76.0,358.0,775.0,209.0,135.0,101.0,1037.0,1816.0
10020416,10,02,04,16,100.0,196.0,214.0,70.0,215.0,672.0,243.00000000000003,144.0,82.0,823.0,1276.0
10020517,10,02,05,17,100.0,244.0,267.0,53.0,268.0,521.0,161.0,99.0,133.0,859.0,1143.0
