district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,10,1,1,2282,139.0,181.0,22.0,279.0,988.0,249.0,189.0,235.0,1117.0,1542.0
1,10,1,2,1418,98.0,119.0,20.0,144.0,640.0,184.0,115.0,98.0,692.0,1090.0
1,10,1,3,3472,227.0,273.0,85.0,492.0,1214.0,424.0,347.0,410.0,1693.0,2187.0
1,10,1,4,3363,201.0,313.0,122.0,547.0,1314.0,388.0,275.0,203.0,1576.0,2101.0
1,10,2,5,2046,129.0,160.0,46.0,294.0,904.0,231.0,119.0,163.0,962.0,1574.0
1,10,2,6,1072,94.0,85.0,35.0,105.0,440.0,161.0,80.0,72.0,547.0,745.0
1,10,2,7,4924,380.0,429.0,116.0,533.0,2176.0,507.0,396.0,387.0,2476.0,3301.0
1,10,3,8,3591,274.0,264.0,67.0,382.0,1849.0,392.0,182.0,181.0,1763.0,2547.0
1,10,3,9,5427,405.0,513.0,157.0,539.0,2507.0,741.0,375.0,190.0,2727.0,3580.0
1,10,3,10,5465,383.0,410.0,130.0,662.0,2713.0,545.0,362.0,260.0,2569.0,3970.0
1,10,3,11,4986,416.0,569.0,123.0,846.0,1930.0,465.0,355.0,282.0,2493.0,3296.0
1,10,3,12,5087,455.0,422.0,97.0,480.0,2483.0,562.0,302.0,286.0,2419.0,3414.0
1,10,3,13,5494,403.0,434.0,122.0,1016.0,2379.0,543.0,314.0,283.0,2740.0,3782.0
1,10,4,14,3232,348.0,334.0,70.0,283.0,1755.0,261.0,107.0,74.0,1629.0,2444.0
1,10,4,15,5950,436.0,582.0,155.0,718.0,2833.0,778.0,281.0,167.0,2937.0,4094.0
1,10,4,16,5860,511.0,600.0,141.0,502.0,2862.0,739.0,302.0,203.0,3018.0,3934.0
1,20,5,17,2573,201.0,272.0,83.0,358.0,1028.0,257.0,226.0,148.0,1134.0,1901.0
1,20,5,18,4503,283.0,386.0,126.0,721.0,1712.0,556.0,378.0,341.0,2084.0,3119.0
1,20,5,19,5408,339.0,491.0,157.0,698.0,2125.0,673.0,438.0,487.0,2490.0,3746.0
1,20,5,20,4724,259.0,419.0,117.0,675.0,1746.0,577.0,496.0,435.0,2181.0,2934.0
1,20,5,21,3238,206.0,338.0,125.0,478.0,1124.0,407.0,291.0,269.0,1444.0,2064.0
1,20,5,22,4456,309.0,383.0,158.0,508.0,1692.0,519.0,419.0,468.0,2241.0,2646.0
1,20,6,23,5810,388.0,476.0,186.0,757.0,2334.0,718.0,516.0,435.0,2790.0,3605.0
1,20,6,24,4691,430.0,365.0,78.0,503.0,2660.0,348.0,159.0,148.0,2220.0,3336.0
1,20,6,25,4236,281.0,522.0,174.0,478.0,1331.0,572.0,404.0,474.0,2075.0,2450.0
1,20,6,26,2661,164.0,206.0,61.0,276.0,1096.0,368.0,248.0,242.0,1257.0,1659.0
1,20,6,27,2314,226.0,322.0,98.0,276.0,686.0,255.0,221.0,230.0,1120.0,1230.0
1,20,6,28,1499,119.0,136.0,39.0,143.0,607.0,195.0,122.0,138.0,732.0,843.0
1,20,6,29,2948,154.0,168.0,62.0,635.0,1160.0,301.0,197.0,271.0,1411.0,2038.0
1,30,7,30,5796,452.0,760.0,218.0,795.0,1840.0,742.0,537.0,452.0,2739.0,3800.0
1,30,7,31,5411,427.0,668.0,229.0,710.0,1900.0,643.0,473.0,361.0,2520.0,3550.0
1,30,7,32,6367,579.0,804.0,264.0,838.0,2179.0,776.0,495.0,432.0,3051.0,4103.0
1,30,7,33,7362,499.0,921.0,321.0,879.0,2441.0,1052.0,652.0,597.0,3527.0,4562.0
1,30,8,34,9694,850.0,1426.0,494.0,927.0,2922.0,1249.0,914.0,912.0,4833.0,4513.0
1,30,8,35,6726,514.0,815.0,250.0,1113.0,2005.0,803.0,618.0,608.0,3367.0,3585.0
1,30,8,36,10035,747.0,1187.0,393.0,1373.0,3486.0,1311.0,837.0,701.0,4769.0,6341.0
1,40,9,37,5618,428.0,521.0,158.0,619.0,2069.0,737.0,561.0,525.0,2699.0,3528.0
1,40,9,38,5259,338.0,493.0,178.0,628.0,2101.0,668.0,470.0,383.0,2475.0,3404.0
1,40,9,39,3279,252.0,330.0,83.0,447.0,1261.0,399.0,297.0,210.0,1520.0,2317.0
1,40,9,40,2772,350.0,320.0,85.0,248.0,893.0,357.0,254.0,265.0,1421.0,1258.0
1,40,9,41,1887,180.0,174.0,54.0,223.0,635.0,213.0,197.0,211.0,895.0,1083.0
1,40,9,42,4910,309.0,442.0,154.0,726.0,1934.0,587.0,398.0,360.0,2377.0,3361.0
1,40,10,43,5329,331.0,569.0,233.0,797.0,1617.0,733.0,587.0,462.0,2543.0,3302.0
1,40,10,44,7122,540.0,791.0,263.0,859.0,2556.0,947.0,627.0,539.0,3326.0,4655.0
1,40,10,45,4179,323.0,491.0,148.0,561.0,1456.0,536.0,381.0,283.0,1919.0,2599.0
1,40,10,46,4607,325.0,382.0,134.0,657.0,1879.0,527.0,375.0,328.0,2107.0,2992.0
1,40,10,47,5668,348.0,491.0,172.0,1108.0,2235.0,606.0,401.0,307.0,2583.0,4120.0
1,40,10,48,5853,347.0,505.0,169.0,1007.0,2107.0,726.0,553.0,439.0,2741.0,3846.0
1,40,10,49,4220,272.0,406.0,134.0,495.0,1328.0,585.0,497.0,503.0,2015.0,2899.0
2,10,1,1,5123,359.0,547.0,183.0,619.0,1901.0,672.0,463.0,379.0,2504.0,3255.0
2,10,1,2,6331,460.0,773.0,304.0,803.0,1943.0,879.0,642.0,527.0,3195.0,3261.0
2,10,1,3,3524,287.0,454.0,165.0,327.0,1106.0,493.0,385.0,307.0,1786.0,1804.0
