district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,1,11,1,1700,115.0,91.0,21.0,365.0,609.0,189.0,177.0,133.0,801.0,1164.0
1,1,11,2,66,0.0,0.0,0.0,12.0,36.0,12.0,6.0,0.0,27.0,57.0
1,1,11,3,2838,211.0,294.0,75.0,454.0,916.0,366.0,298.0,224.0,1313.0,1791.0
1,1,11,4,2793,218.0,315.0,105.0,576.0,974.0,305.0,169.0,131.0,1324.0,1601.0
1,1,11,5,616,66.0,48.0,18.0,52.0,220.0,109.0,60.0,43.0,294.0,450.0
1,1,12,1,1014,57.0,102.0,31.0,151.0,360.0,131.0,117.0,65.0,466.0,646.0
1,1,12,2,202,10.0,26.0,9.0,15.0,97.0,18.0,21.0,6.0,100.0,149.0
1,1,12,3,466,33.0,22.0,9.0,69.0,172.0,82.0,45.0,34.0,224.0,349.0
1,1,12,4,2631,180.0,252.0,62.0,332.0,1010.0,344.0,265.0,186.0,1338.0,1708.0
1,1,13,1,2142,196.0,134.0,28.0,269.0,1072.0,248.0,123.0,72.0,1074.0,1519.0
1,1,13,2,4390,338.0,452.0,85.0,659.0,2058.0,534.0,171.0,93.0,2111.0,3044.0
1,1,13,3,3213,235.0,211.0,48.0,524.0,1553.0,355.0,187.0,100.0,1513.0,2263.0
1,1,13,4,2663,255.0,299.0,98.0,447.0,910.0,349.0,180.0,125.0,1342.0,1643.0
1,1,13,5,2195,178.0,191.0,55.0,270.0,979.0,292.0,131.0,99.0,1004.0,1406.0
1,1,13,6,3061,269.0,264.0,89.0,550.0,1273.0,339.0,171.0,106.0,1541.0,1974.0
1,1,14,1,5611,544.0,504.0,94.0,765.0,2859.0,510.0,211.0,124.0,2792.0,4046.0
1,1,14,2,4262,467.0,332.0,28.0,479.0,2389.0,365.0,122.0,80.0,2172.0,2940.0
1,2,21,1,1722,154.0,134.0,60.0,315.0,623.0,204.0,138.0,94.0,770.0,1199.0
1,2,21,2,3565,247.0,325.0,106.0,556.0,1339.0,477.0,291.0,224.0,1608.0,2449.0
1,2,21,3,179,19.0,24.0,6.0,15.0,76.0,13.0,10.0,16.0,81.0,133.0
1,2,21,4,8277,648.0,794.0,211.0,1191.0,2957.0,1138.0,736.0,602.0,3898.0,5202.0
1,2,21,5,2857,241.0,316.0,134.0,467.0,964.0,356.0,214.0,165.0,1358.0,1708.0
1,2,21,6,3832,314.0,395.0,133.0,510.0,1388.0,473.0,347.0,272.0,1853.0,2237.0
1,2,22,1,4832,395.0,461.0,171.0,813.0,1745.0,645.0,342.0,260.0,2286.0,2912.0
1,2,22,2,947,76.0,145.0,58.0,137.0,282.0,111.0,56.0,82.0,478.0,465.0
1,2,22,3,3876,358.0,489.0,161.0,511.0,1238.0,465.0,307.0,347.0,1937.0,2187.0
1,2,22,4,2207,153.0,195.0,54.0,337.0,838.0,304.0,191.0,135.0,1042.0,1391.0
1,2,22,5,1811,182.0,264.0,102.0,201.0,542.0,213.0,164.0,143.0,908.0,930.0
1,2,22,6,1140,109.0,131.0,24.0,133.0,390.0,162.0,105.0,86.0,545.0,610.0
1,2,22,7,2317,119.0,142.0,52.0,695.0,770.0,210.0,171.0,158.0,1125.0,1615.0
1,3,31,1,15446,1568.0,1968.0,685.0,2453.0,4951.0,1933.0,1037.0,851.0,7179.0,10010.0
1,3,31,2,6811,649.0,870.0,296.0,1033.0,2237.0,858.0,471.0,397.0,3214.0,4271.0
1,3,32,1,8337,898.0,1360.0,402.0,1017.0,2469.0,1033.0,639.0,519.0,4104.0,3839.0
1,3,32,2,5177,529.0,715.0,202.0,662.0,1605.0,696.0,390.0,378.0,2580.0,2506.0
1,3,32,3,8558,842.0,1132.0,363.0,1350.0,2771.0,1042.0,522.0,536.0,3954.0,5217.0
1,4,41,1,8880,712.0,945.0,244.0,1302.0,3090.0,1256.0,789.0,542.0,4080.0,5555.0
1,4,41,2,5645,524.0,544.0,153.0,791.0,1957.0,744.0,500.0,432.0,2681.0,3365.0
1,4,41,3,3919,319.0,371.0,108.0,594.0,1467.0,545.0,297.0,218.0,1840.0,2554.0
1,4,42,1,15406,1362.0,1980.0,651.0,2445.0,4970.0,2093.0,988.0,917.0,7198.0,9819.0
1,4,42,2,9289,678.0,841.0,331.0,1871.0,3532.0,1048.0,614.0,374.0,4219.0,6437.0
1,4,42,3,8916,697.0,962.0,307.0,1358.0,2987.0,1204.0,714.0,687.0,4047.0,5877.0
2,1,1,1,4237,312.0,465.0,172.0,808.0,1458.0,493.0,307.0,222.0,1991.0,2439.0
2,1,1,2,8731,852.0,1300.0,389.0,1090.0,2634.0,1205.0,629.0,632.0,4405.0,4069.0
2,1,1,3,10538,1001.0,1450.0,458.0,1421.0,3307.0,1407.0,741.0,753.0,5085.0,5335.0
2,1,1,4,3240,251.0,489.0,162.0,441.0,986.0,478.0,223.0,210.0,1592.0,1632.0
2,2,2,1,139,21.0,15.0,3.0,9.0,60.0,9.0,13.0,9.0,57.0,78.0
2,2,2,2,2330,172.0,203.0,114.0,378.0,823.0,298.0,197.0,145.0,1130.0,1517.0
2,2,2,3,3870,321.0,367.0,95.0,537.0,1513.0,495.0,293.0,249.0,1883.0,2341.0
2,2,2,4,4844,351.0,397.0,156.0,661.0,2009.0,608.0,363.0,299.0,2331.0,3061.0
