id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3126,1700,1962,1426,536,1164,3126,129,106,27,465,864,393,406,736,1504,1164,1700,115,91,21,365,609,189,177,133,801,1164,1700,536,36,56,58,18,54,21,110,28,41,15,64,9,25,296,118,42,29,428,66,74,216,12,37,36,9,71
01011102,199,66,142,133,9,57,199,6,9,0,21,57,40,36,30,85,57,66,0,0,0,12,36,12,6,0,27,57,66,33,0,0,3,3,6,0,6,0,0,0,3,0,3,6,0,3,0,6,3,0,3,0,3,6,0,3
01011103,5157,2838,3366,2319,1047,1791,5157,251,341,99,681,1468,746,740,831,2355,1791,2838,211,294,75,454,916,366,298,224,1313,1791,2838,911,148,34,73,9,41,55,204,79,111,33,180,34,71,414,162,89,31,892,287,51,336,36,86,42,49,149
01011104,4442,2793,2841,1649,1192,1601,4442,279,365,121,847,1545,654,339,292,2039,1601,2793,218,315,105,576,974,305,169,131,1324,1601,2793,732,91,31,70,25,48,33,162,73,30,6,94,57,12,246,101,53,13,1147,434,67,478,183,34,39,32,232
01011105,1118,616,668,502,166,450,1118,75,76,24,90,324,227,153,149,508,450,616,66,48,18,52,220,109,60,43,294,450,616,146,16,7,9,12,9,9,33,9,0,0,3,0,3,160,88,15,12,228,12,12,150,9,10,28,0,6
01011201,2062,1014,1416,1048,368,646,2062,73,137,41,246,539,353,318,355,986,646,1014,57,102,31,151,360,131,117,65,466,646,1014,300,22,9,34,9,10,21,28,104,21,3,12,3,3,275,114,73,10,191,36,3,130,21,6,27,28,67
01011202,499,202,350,297,53,149,499,19,33,9,42,165,92,75,64,239,149,202,10,26,9,15,97,18,21,6,100,149,202,80,15,3,6,10,6,6,6,0,4,0,9,0,6,25,19,3,0,9,3,0,0,0,0,28,0,0
01011203,946,466,597,480,117,349,946,51,38,12,99,279,192,126,149,471,349,466,33,22,9,69,172,82,45,34,224,349,466,182,18,16,20,9,15,12,19,10,6,3,12,0,3,191,124,9,0,30,12,3,9,0,0,18,3,13
01011204,6627,2631,4919,3996,923,1708,6627,261,321,97,616,1927,1010,868,1527,3304,1708,2631,180,252,62,332,1010,344,265,186,1338,1708,2631,960,62,43,76,58,65,44,154,215,39,19,85,15,36,531,259,82,37,524,98,19,309,19,83,79,69,83
01011301,5877,2142,4358,3735,623,1519,5877,405,291,53,573,2583,915,551,506,2848,1519,2142,196,134,28,269,1072,248,123,72,1074,1519,2142,975,115,25,85,82,82,69,135,33,55,22,61,9,18,301,151,57,13,258,65,37,100,3,22,124,15,47
