district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,1,11,1,1700,536.0,36.0,56.0,58.0,18.0,54.0,21.0,110.0,28.0,41.0,15.0,64.0,9.0,25,296.0,118.0,42.0,29.0,428.0,66.0,74.0,216.0,12.0,37.0,36.0,9.0,71.0
1,1,11,2,66,33.0,0.0,0.0,3.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3,6.0,0.0,3.0,0.0,6.0,3.0,0.0,3.0,0.0,3.0,6.0,0.0,3.0
1,1,11,3,2838,911.0,148.0,34.0,73.0,9.0,41.0,55.0,204.0,79.0,111.0,33.0,180.0,34.0,71,414.0,162.0,89.0,31.0,892.0,287.0,51.0,336.0,36.0,86.0,42.0,49.0,149.0
1,1,11,4,2793,732.0,91.0,31.0,70.0,25.0,48.0,33.0,162.0,73.0,30.0,6.0,94.0,57.0,12,246.0,101.0,53.0,13.0,1147.0,434.0,67.0,478.0,183.0,34.0,39.0,32.0,232.0
1,1,11,5,616,146.0,16.0,7.0,9.0,12.0,9.0,9.0,33.0,9.0,0.0,0.0,3.0,0.0,3,160.0,88.0,15.0,12.0,228.0,12.0,12.0,150.0,9.0,10.0,28.0,0.0,6.0
1,1,12,1,1014,300.0,22.0,9.0,34.0,9.0,10.0,21.0,28.0,104.0,21.0,3.0,12.0,3.0,3,275.0,114.0,73.0,10.0,191.0,36.0,3.0,130.0,21.0,6.0,27.0,28.0,67.0
1,1,12,2,202,80.0,15.0,3.0,6.0,10.0,6.0,6.0,6.0,0.0,4.0,0.0,9.0,0.0,6,25.0,19.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
1,1,12,3,466,182.0,18.0,16.0,20.0,9.0,15.0,12.0,19.0,10.0,6.0,3.0,12.0,0.0,3,191.0,124.0,9.0,0.0,30.0,12.0,3.0,9.0,0.0,0.0,18.0,3.0,13.0
1,1,12,4,2631,960.0,62.0,43.0,76.0,58.0,65.0,44.0,154.0,215.0,39.0,19.0,85.0,15.0,36,531.0,259.0,82.0,37.0,524.0,98.0,19.0,309.0,19.0,83.0,79.0,69.0,83.0
1,1,13,1,2142,975.0,115.0,25.0,85.0,82.0,82.0,69.0,135.0,33.0,55.0,22.0,61.0,9.0,18,301.0,151.0,57.0,13.0,258.0,65.0,37.0,100.0,3.0,22.0,124.0,15.0,47.0
1,1,13,2,4390,2087.0,313.0,43.0,276.0,166.0,186.0,266.0,191.0,77.0,61.0,39.0,163.0,15.0,45,380.0,154.0,64.0,22.0,568.0,179.0,30.0,233.0,16.0,56.0,337.0,51.0,73.0
1,1,13,3,3213,1246.0,183.0,53.0,121.0,71.0,154.0,98.0,160.0,75.0,43.0,9.0,90.0,18.0,39,369.0,160.0,63.0,27.0,555.0,88.0,33.0,274.0,37.0,78.0,139.0,224.0,77.0
1,1,13,4,2663,653.0,61.0,30.0,97.0,12.0,82.0,21.0,122.0,57.0,25.0,7.0,170.0,19.0,21,321.0,122.0,56.0,28.0,562.0,211.0,19.0,197.0,10.0,47.0,42.0,520.0,100.0
1,1,13,5,2195,675.0,61.0,14.0,78.0,38.0,63.0,55.0,89.0,83.0,27.0,19.0,62.0,3.0,15,357.0,186.0,54.0,16.0,426.0,163.0,6.0,185.0,22.0,18.0,57.0,96.0,86.0
